smiles,logD,pH
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,-0.27,7.4
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1.14,7.4
FC(F)(F)c1nnc2ccc(Cl)nn12,3.11,7.4
C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCNC(=O)CCCNC(=O)CCCc4ccc(N(CCCl)CCCl)cc4)[C@H]3[C@@H]1CC[C@@H]2O,4.85,7.4
C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCNC(=O)CCCc4ccc(N(CCCl)CCCl)cc4)[C@H]3[C@@H]1CC[C@@H]2O,5.07,7.4
C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCOC(=O)NCCCc4ccc(N(CCCl)CCCl)cc4)[C@H]3[C@@H]1CC[C@@H]2O,5.61,7.4
CN1CCN(c2nc(=N)c(-c3cc(Cl)cc(Cl)c3Cl)c[nH]2)CC1,3.39,7.4
Cc1cc(-c2nc(C(C)C)n(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)cc(C)c1Cl.[Na+],2.27,7.4
CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc(Cl)c1Cl,4.2,7.4
COc1cc(Cl)cc(C(=O)N=c2ccc(Cl)c[nH]2)c1NC(=O)c1scc(CN2CCN(C)CC2)c1Cl,2.75,7.4
CN1CCN(Cc2csc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cc3)c2Cl)CC1,2.96,7.4
CN1CCN(Cc2csc(C(=O)Nc3ccc(Cl)cc3C(=O)N=c3ccc(Cl)c[nH]3)c2Cl)CC1,3.11,7.4
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,2.18,7.4
O=C(N=C1NCCS1)c1sc2cc(F)ccc2c1Cl,5.16,7.4
C[C@H](N)Cn1ncc2ccc(O)c(Cl)c21,1.09,7.4
Cc1ccc2c(c1)c(-c1ccnc3c(Cl)cccc13)c(C)n2CC(=O)O,1.3,7.4
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0.41,7.4
Cc1ncc([N+](=O)[O-])n1CCNC(=O)N1CCC(c2cc(-c3ccc(Cl)cc3Cl)[nH]n2)CC1,3.4,7.4
COc1nc(-c2ccc(Cl)cc2Cl)c(CN)c(=N)[nH]1,1.6,7.4
Cc1nc(-c2ccc(Cl)cc2Cl)c(CN)c(=N)[nH]1,1.4,7.4
N=c1[nH]c(-c2ccc(Cl)cc2Cl)c(CN)c(=N)[nH]1,0.4,7.4
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.25,7.4
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,3.5,7.4
NCCC(=O)NC(Cc1ccc(Cl)cc1Cl)C(=O)N1CCN(c2ccccc2CNCCc2cccs2)CC1,1.1,7.4
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(Cl)cc2Cl)CC(C)N1,-0.03,7.4
O=C(O)c1cn(-c2ccc(Cl)cc2Cl)c2cc(N3CCNCC3)c(F)cc2c1=O,-0.55,7.4
CC1(C)N=C(N)N=C(N)N1OCCCOc1ccc(Cl)cc1Cl,3.39,7.4
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.33,7.4
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,5.79,7.4
CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.83,7.4
COc1cc2c(=Nc3ccc(Cl)cc3F)[nH]cnc2cc1OCCCN1CCN(C)CC1,2.4,7.4
COc1cc2c(=Nc3ccc(Cl)cc3F)[nH]cnc2cc1OCCCN1CCOCC1,3.4,7.4
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,4.83,7.4
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,2.755,7.4
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-0.9,7.4
Oc1cccc(Cl)c1,2.53,7.4
COc1ccc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)c(Cl)c1,2.5,7.4
CC(=O)N(Cc1ccccc1OC(C)C)c1ccc(Cl)cc1Oc1ccccc1,4.02,7.4
COc1ccccc1CN(C(C)=O)c1ccc(Cl)cc1Oc1ccccc1,3.74,7.4
CCOc1ccccc1CN(C(C)=O)c1ccc(Cl)cc1Oc1ccccc1,3.81,7.4
CCCCCC(C)NCc1coc(-c2cccc(Cl)c2)n1,5.02,7.4
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,2.61,7.4
O=C(O)Cn1ccc(C(=O)c2cccc(Cl)c2)c1,-0.39,7.4
O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3cccc(Cl)c3)c2s1,1.92,7.4
Cc1n[nH]c(=NCc2cccc(Cl)c2)c2ccccc12,4.32,7.4
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,3.1,7.4
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,2.3,7.4
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NC)cc21,2.8,7.4
CN[C@H]1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(C(N)=O)cc21,2.3,7.4
CNC(=O)c1ccc2c(c1)[C@@H](NC)CCC2c1ccc(Cl)c(Cl)c1,2.8,7.4
NS(=O)(=O)N1CCN(C2CN(CC[C@]3(c4ccc(Cl)c(Cl)c4)CCC(=O)N(CC4CC4)C3)C2)CC1,1.7,7.4
O=C1CC[C@](CCN2CC(N3CCOCC3)C2)(c2ccc(Cl)c(Cl)c2)CN1CC1CC1,2.3,7.4
COc1cc(C(=O)N2CC[C@](CCN3CCC(C(N)=O)(c4ccccc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,3.02,7.4
COc1cc(C(=O)N2CC[C@](CCN3CCC(C(N)=O)(c4cccnc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,2.59,7.4
COc1cc(C(=O)N2CC[C@](CCN3CCC(C(N)=O)(c4ccncc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,2.64,7.4
COc1cc(C(=O)N2CC[C@](CCN3CCC(C(=O)N4CCN(C)CC4)(c4ccccc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,3.71,7.4
COc1cc(C(=O)N2CC[C@](CCN3CCC(C(=O)N4CCN(C)CC4)(c4cccnc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,2.41,7.4
COc1cc(C(=O)N2CC[C@](CCN3CCC(C(=O)N4CCOCC4)(c4ccccc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,3.02,7.4
Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl,1.61,7.4
O=C(Nc1ccccc1Cl)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl,2.27,7.4
CN(CCCN=c1[nH]c2ccc(Cl)cc2n2cccc12)CCCN=c1[nH]c2ccc(Cl)cc2n2cccc12,4.44,7.4
Clc1ccc2[nH]c(=NCCCN3CCN(CCCN=c4[nH]c5ccc(Cl)cc5n5cccc45)CC3)c3cccn3c2c1,4.92,7.4
Clc1ccc2[nH]c(=NCCCNCCCN=c3[nH]c4ccc(Cl)cc4n4cccc34)c3cccn3c2c1,5.06,7.4
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,3.28,7.4
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.395,7.4
CN1CCN(C2N=c3cc(Cl)ccc3=Nc3ccccc32)CC1,3.06,7.4
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-0.05,7.4
NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,0.43,7.4
CC(C#Cc1ccccc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,1.4,7.4
CC(C#Cc1ccncc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,1.7,7.4
CC(C#Cc1ccsc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,1.9,7.4
CC(C#Cc1cccs1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,2.4,7.4
COC(=O)c1ccc(C(C)n2[nH]c(=O)c3[nH]c4cc(Cl)ccc4c(=O)c3c2=O)cc1,1.3,7.4
CC(c1ccsc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,0.9,7.4
CC(c1cc2ccccc2o1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,2.0,7.4
CCC(c1ccncc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,0.6,7.4
O=c1[nH]n(CC#Cc2ccccc2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12,1.78,7.4
CCON(C)C(=O)c1cccc(Cn2[nH]c(=O)c3[nH]c4cc(Cl)ccc4c(=O)c3c2=O)c1,0.7,7.4
COCCNC(=O)c1cccc(Cn2[nH]c(=O)c3[nH]c4cc(Cl)ccc4c(=O)c3c2=O)c1,1.2,7.4
COC(=O)c1cccc(Cn2[nH]c(=O)c3[nH]c4cc(Cl)ccc4c(=O)c3c2=O)c1,1.1,7.4
CN(C)C(=O)Nc1ccc(Cn2[nH]c(=O)c3[nH]c4cc(Cl)ccc4c(=O)c3c2=O)cc1,1.1,7.4
COC(=O)c1ccc(Cn2[nH]c(=O)c3[nH]c4cc(Cl)ccc4c(=O)c3c2=O)cc1,1.17,7.4
O=c1[nH]n(Cc2ccsc2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12,1.2,7.4
Cc1cc(Cn2[nH]c(=O)c3[nH]c4cc(Cl)ccc4c(=O)c3c2=O)oc1C,1.0,7.4
O=c1[nH]n(Cc2cc3ccccc3o2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12,2.1,7.4
O=c1[nH]n(Cc2cc3ccccc3s2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12,2.0,7.4
O=c1[nH]n(Cc2cccs2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12,1.52,7.4
Cc1ccsc1Cn1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,1.4,7.4
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-0.19,7.4
O=c1[nH]c2ccccc2n1C1CCN(Cc2cc3c(cc2Cl)OCO3)CC1,3.0,7.4
Cc1ccc2[nH]c(=O)n(C3CCN(Cc4cc5c(cc4Cl)OCO5)CC3)c2c1,2.6,7.4
CNC(=O)CN1CN(c2ccccc2)C2(CCN(Cc3cc4c(cc3Cl)OCO4)CC2)C1=O,2.9,7.4
O=C1NCN(c2ccccc2)C12CCN(Cc1cc3c(cc1Cl)OCO3)CC2,3.0,7.4
O=c1[nH]c2ccccc2n1CCCNCc1cc2c(cc1Cl)OCO2,1.8,7.4
O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,4.2,7.4
Cc1ccc2[nH]c(=O)n(C3CCN(C(=O)OCc4cc5c(cc4Cl)OCO5)CC3)c2c1,3.4,7.4
CNC(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)OCc3cc4c(cc3Cl)OCO4)CC2)C1=O,3.1,7.4
O=C(O)CN1CN(c2ccccc2)C2(CCN(C(=O)OCc3cc4c(cc3Cl)OCO4)CC2)C1=O,0.7,7.4
O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC2(CC1)C(=O)NCN2c1ccccc1,2.9,7.4
O=C(NCCn1c(=O)[nH]c2ccccc21)OCc1cc2c(cc1Cl)OCO2,3.2,7.4
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,2.5,7.4
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,2.1,7.4
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.47,7.4
O=C1C=NC(c2ccccc2)c2cc(Cl)ccc2N1,3.01,7.4
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,3.48,7.4
CC(C(=O)N1CC2CCC1CC2)N1CCC(NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,2.94,7.4
CC(C(=O)N1CC2CNCC(C2)C1)N1CCC(NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,1.47,7.4
CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,1.79,7.4
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,4.4,7.4
CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)c2cc3cc(Cl)ccc3s2)C1=O,2.07,7.4
COc1ccc2c(c1)c(CC(=O)O)c(C)n2-c1ccnc2cc(Cl)ccc12,1.7,7.4
Clc1ccc2c(=NCCCN3CCN(CCCN[C@@H]4Cc5ccccc5CN4)CC3)cc[nH]c2c1,1.68,7.4
Cc1ccc2c(c1)c(-c1ccnc3cc(Cl)ccc13)c(C)n2CC(=O)O,1.6,7.4
CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)c2cc3ccc(Cl)cc3s2)C1=O,1.85,7.4
CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,3.71,7.4
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,3.39,7.4
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,2.77,7.4
O=C(C=CC(=O)OCC(O)COc1ccc(Cl)cc1)CCOC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,1.18,7.4
O=C(C=CC(=O)OCC(O)COc1ccc(Cl)cc1)CCOC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,1.04,7.4
CCc1[nH]c(=N)[nH]c(=N)c1-c1ccc(Cl)cc1,2.44,7.4
O=C(N=c1[nH]nc(-c2ccc(Cl)cc2)o1)c1cccc(C(F)(F)F)c1,4.51,7.4
CCCCCC(C)NCc1coc(-c2ccc(Cl)cc2)n1,5.02,7.4
O=C(O)Cn1ccc(C(=O)c2ccc(Cl)cc2)c1,-0.29,7.4
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1.145,7.4
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,1.41,7.4
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.45,7.4
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,2.98,7.4
COCCC(CC1(C(=O)NCCCc2ccc(Cl)cc2)CCCC1)C(=O)O,1.0,7.4
Cc1nc2ccccn2c1C(=O)NCc1ccc(Cl)cc1,4.04,7.4
O=C(O)CCc1ccc(NCc2ccc(Cl)cc2)cc1,0.98,7.4
OCCOCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,3.13,7.4
CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)/C=C/c2ccc(Cl)cc2)C1=O,1.49,7.4
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,0.945,7.4
CC(C)Oc1cc(OCCN2CCOCC2)cc2[nH]cnc(=Nc3c(Cl)ccc4c3OCO4)c12,3.7,7.4
COc1cc(OC2CCN(C)CC2)c2c(=Nc3c(Cl)ccc4c3OCO4)[nH]cnc2c1,2.9,7.4
CN1CCN(CCOc2cc(OC3CCOCC3)c3c(=Nc4c(Cl)ccc5c4OCO5)[nH]cnc3c2)CC1,2.9,7.4
Cc1cccc(Cl)c1CNC(=O)Nc1ccsc1-c1nc(=O)c(O)c(C(=O)O)[nH]1,0.6,7.4
N=C(N)NN=Cc1c(Cl)cccc1Cl,1.67,7.4
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,1.3,7.4
N=C(N)N/N=C/c1c(Cl)cccc1Cl,1.4,7.4
Clc1ccccc1,2.87,7.4
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,2.78,7.4
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.2,7.4
CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,2.72,7.4
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)NC1=O,2.39,7.4
O=C1C=NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,2.45,7.4
CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,2.72,7.4
CCOC(=O)C1=C(COCCN)N=C(C)C(C(=O)OC)C1c1ccccc1Cl,1.67,7.4
Clc1ccccc1CC(c1ccccc1)N1CCNCC1,1.8,7.4
O=C(NCc1ccccc1Cl)Nc1ccsc1-c1nc(=O)c(O)c(C(=O)O)[nH]1,0.37,7.4
Cc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Cl,1.69,7.4
COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Cl,1.87,7.4
ON=C(NC1CCCCC1)c1cccnc1Oc1ccccc1Cl,4.52,7.4
COc1ccc2c(c1)[nH]c(=NCCCN1CCN(CCCN=c3[nH]c4cc(OC)ccc4n4c(Cl)ccc34)CC1)c1ccc(Cl)n12,5.74,7.4
CN1[C@@H]2CC[C@@H]1[C@@H](c1cnc(Cl)c(-c3ccnc(F)c3)c1)C2,1.26,7.4
CN1[C@@H]2CC[C@@H]1[C@@H](c1cnc(Cl)c(-c3ccc(F)nc3)c1)C2,1.42,7.4
CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)c2ccc(-c3ccc(Cl)s3)nc2)C1=O,2.24,7.4
CN(C)S(=O)(=O)c1ccc(C(=O)N=c2[nH]nc(-c3ccc(Cl)s3)o2)cc1,2.83,7.4
CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)c2ccc(-c3ccc(Cl)s3)s2)C1=O,2.03,7.4
CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)c2cnc(-c3ccc(Cl)s3)s2)C1=O,2.18,7.4
CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)c2ncc(-c3ccc(Cl)s3)s2)C1=O,2.1,7.4
CSc1ccc(-c2n[nH]c(=NC(=O)c3ccc(Cl)s3)o2)cc1,3.76,7.4
CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)/C=C/c2ccc(Cl)s2)C1=O,1.47,7.4
CC(C)NC1=NS(=O)(=O)c2sc(Cl)cc2N1,1.63,7.4
CCC(C)CNC1=NS(=O)(=O)c2sc(Cl)cc2N1,3.14,7.4
CCCNC1=NS(=O)(=O)c2sc(Cl)cc2N1,2.42,7.4
CC[C@@H](C)NC1=NS(=O)(=O)c2sc(Cl)cc2N1,2.4,7.4
Cc1cccc2nc(C(F)(F)C(F)(F)C(F)(F)F)oc(=O)c12,2.9,7.4
O=c1oc(C(F)(F)F)nc2ccccc12,1.9,7.4
Cc1cccc2nc(C(F)(F)F)oc(=O)c12,2.9,7.4
Cc1ccc2c(c1)c(-c1ccnc3c(C(F)(F)F)cccc13)c(C)n2CC(=O)O,1.3,7.4
COc1ccc(C(=NO)Nc2cccc(C(F)(F)F)c2)cc1,3.67,7.4
O=C(O)CN1CCN(C(COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ccccc2)CC1,2.35,7.4
CCCCN1CCN(C(COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ccccc2)CC1,4.09,7.4
FC(F)(F)c1cc(COCC(c2ccccc2)N2CCN(CCCCc3nn[nH]n3)CC2)cc(C(F)(F)F)c1,2.71,7.4
O=C(O)COCCN1CCN(C(COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ccccc2)CC1,2.17,7.4
COc1cc(CN2CCN(C(COCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3ccccc3)C(Cc3ccccc3)C2)cc(OC)c1OC,5.2,7.4
FC(F)(F)c1cc(COCC(c2ccccc2)N2CCNCC2)cc(C(F)(F)F)c1,2.41,7.4
NC(=O)CN1CCN([C@@H](COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ccccc2)CC1,3.26,7.4
C[C@H](OC[C@H](c1ccccc1)N1CCN(CCOCC(=O)O)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,2.64,7.4
Cc1ccc2c(c1)c(-c1ccnc3ccc(C(F)(F)F)cc13)c(C)n2CC(=O)O,1.8,7.4
Cc1ccc2c(c1)c(-c1ccnc3cc(C(F)(F)F)ccc13)c(C)n2CC(=O)O,1.8,7.4
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,2.84,7.4
COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,2.41,7.4
O=C(O)Cn1ccc(C(=O)c2ccc(C(F)(F)F)cc2)c1,-0.05,7.4
Cc1ccc2nc(C(F)(F)F)c(C(=O)NCc3ccco3)n2c1,4.32,7.4
O=C(NCc1ccc2c(c1)OCO2)c1c(C(F)(F)F)nc2ccccn12,4.23,7.4
C[C@@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C([O-])C(C(=O)O)C=[N+]1[C-]32,-0.34,7.4
Fc1cccn2ccnc12,0.9,7.4
CC(C)(O)c1ccn2ccnc2c1F,1.1,7.4
C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.785,7.4
C[C@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,2.1,7.4
C[C@H]1C[C@@H]2[C@H]3CC(F)=C4CC(=O)C=CC4(C)[C@@H]3[C@H](O)C[C@@]2(C)C1C(=O)CO,2.1,7.4
Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1C,1.09,7.4
COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1C,1.31,7.4
COc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1OC,1.31,7.4
Cc1c(F)ccc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CCNCC4)cc32)c1F,-1.12,7.4
CCCN(CCO)CCCOc1cc2[nH]cnc(=Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC,2.3,7.4
CCN(CCO)CCCOc1cc2[nH]cnc(=Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC,1.9,7.4
COc1cc2c(=Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)[nH]cnc2cc1OCCCN1CCC[C@@H]1CO,2.0,7.4
O=C(Cc1cc(=Nc2ncnc3cc(OCCCN4CCC[C@@H]4CO)ccc23)[nH][nH]1)Nc1cccc(F)c1F,2.1,7.4
C[C@H](N)Cn1ncc2ccc(O)c(F)c21,0.394,7.4
Cc1ccc2c(c1)c(-c1ccnc3c(F)cccc13)c(C)n2CC(=O)O,0.5,7.4
Cc1cc(C)cc(OC(C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,2.1,7.4
Cc1cc(C)nc(OC(C(=O)O)[C@@]2(c3cccc(-c4ccccc4)c3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)n1,1.8,7.4
CCCCc1cccc([C@]2(C(Oc3nc(C)cc(C)n3)C(=O)O)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,2.3,7.4
Cc1cc(C)nc(OC(C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)n1,0.4,7.4
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,0.37,7.4
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.5,7.4
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CC(C)N1,-0.73,7.4
O=C(O)c1cn(-c2ccc(F)cc2F)c2cc(N3CCNCC3)c(F)cc2c1=O,-0.48,7.4
