logD,smiles,pH
2.0,CC1(c2nc(N3CCOCC3)ncc2C(=O)N[C@H]2C3CC4CC2C[C@](O)(C4)C3)CC1,7.4
2.6,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3c(c2)c(=O)sn3C)c1,7.4
3.5,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,7.4
0.89,CNCCCC12CCC(c3ccccc31)c1ccccc12,7.4
1.3,O=c1cc(-c2ccccc2)[nH]c2ccnn12,7.4
2.01,O=CN1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,7.4
3.59,C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,7.4
0.18,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1,7.4
2.6,COc1cc(=Nc2[nH]c(=NC(C)c3ncc(F)cn3)ncc2Br)[nH][nH]1,7.4
1.3,Cc1nc(C)c(-c2ccc(C3CCC(CC(=O)O)CC3)c(F)c2)nc1C(N)=O,7.4
2.1,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,7.4
3.72,Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1,7.4
1.72,CN(C)C(=O)c1ccc(CN2CCc3cc4[nH]c(=N)sc4cc3CC2)cc1,7.4
1.65,COC(=O)C1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,7.4
3.7,CCN1CCN(c2ccc(N=c3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)[nH]cn3)cc2)CC1,7.4
2.2,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(=N)[nH]cnc32)[C@H](O)[C@@H]1O,7.4
2.04,C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3c[nH]c(=NCCCCN(CC)CC)nc32)c1,7.4
4.49,CCSc1c(Cc2ccccc2C(F)(F)F)sc2c1c(=O)n(C)c(=O)n2CC(C)C,7.4
0.2,COc1ccc(Cc2c(N)[nH][nH]c2=N)cc1,7.4
2.0,CCN(CCN(C)C)S(=O)(=O)c1ccc(-c2c[nH]c(=N)c(C(=O)Nc3cccnc3)n2)cc1,7.4
1.49,Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C2)c(=O)[nH]c1=O,7.4
4.28,c1ccc(N2CC3COc4ccccc4C3=N2)cc1,7.4
-0.95,CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,7.4
1.64,CC(C)CC(c1ccncc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,7.4
2.02,FC(F)c1nc2ccccc2[nH]1,7.4
3.09,N#Cc1cccc(OC[C@@H](O)CNC2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)c1,7.4
2.18,COc1cc2[nH]cc(C(N)=O)c(=Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1,7.4
4.4,O=C(Oc1ccccc1O)c1cccc2ccccc12,7.4
3.28,COc1ccccc1CN=c1cc(C)cc[nH]1,7.4
3.04,N=c1[nH]c(=Nc2cccc(Br)c2)c2[nH]cnc2[nH]1,7.4
3.12,N=c1c2c([nH]c3ccc(Br)cc13)N(c1ccccc1)CC2,7.4
0.06,COc1cc(OC)c(S(=O)(=O)N(c2ccc(C)cc2)c2ccc(C)cc2)cc1NC(=O)CCC(=O)O,7.4
2.49,O=C(c1ccc(F)cc1)C(O)c1ccc(F)cc1,7.4
1.11,CC(C)CC(N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1,7.4
2.81,Cc1ccc(NC(=O)c2cccc(OCC(C)C)c2)cc1C(=O)Nc1cccnc1,7.4
3.52,COc1ccc(OC)c(CNC(=O)c2cccnc2Oc2ccccc2)c1,7.4
2.5,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,7.4
4.48,CC(c1ccccc1)C(Cc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1,7.4
1.33,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Cl)cc54)CC3)nc2N1,7.4
1.83,O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,7.4
3.6,COc1cc2[nH]cc(C(N)=O)c(=Nc3cccc(Cl)c3F)c2cc1OC,7.4
3.2,CN(C(=O)C1CCC1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,7.4
-0.56,N=C(N)NC(=O)c1nc(Cl)c(=NCc2ccccn2)[nH]c1N,7.4
3.53,N#Cc1nc(=NC2CC3CCC2C3)c(N)c(N2CCOCC2)[nH]1,7.4
4.3,CCN(C(=O)NCc1c(F)cccc1F)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,7.4
2.88,NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,7.4
3.08,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.4
1.0,Cc1ncc(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)nc1C(N)=O,7.4
2.4,Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C,7.4
1.89,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,7.4
1.52,Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)cc4Cl)CC3)CC2)cc1,7.4
3.33,O=c1ccoc2cc(OCc3ccccc3)ccc12,7.4
0.79,[O-][S+](c1ccccc1)c1ccc2nnnn2n1,7.4
3.2,O=[N+]([O-])c1ccc2c(c1)N(c1cccc[n+]1[O-])CC(C(F)F)(C(F)F)O2,7.4
0.1,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,7.4
0.22,Cc1ncc(C(N)=O)nc1-c1ccc(C2CCC(C(=O)O)CC2)cc1,7.4
2.0,N=c1[nH]nc(CCSCCc2n[nH]c(=NC(=O)Cc3ccccc3)s2)s1,7.4
4.0,COc1cc(OC2CCN(C(C)=O)CC2)ccc1N=c1nc(-c2cnc3ccccn23)c(Cl)c[nH]1,7.4
2.71,COc1ccc(-c2cc(=O)c3ccccc3[nH]2)cc1,7.4
0.7,C=C1C=CC=C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C(C)C(OC)/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC1=O,7.4
3.67,Cn1cc(C#N)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,7.4
0.87,Cn1sc(=NC(=O)c2cccc(Cl)c2)[nH]c1=O,7.4
2.83,Cc1ccc(-c2nccn2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,7.4
0.82,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,7.4
1.0,O=c1cc(N2CCOCC2)oc2cc(O)ccc12,7.4
3.07,O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,7.4
3.07,O=C(COCc1cscn1)N1CCN(c2ccc(Cl)cc2Cl)CC1,7.4
1.6,O=c1c2ccc(O)cc2ncn1-c1ccc(O)cc1,7.4
1.58,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3ccccc3CNCCc3ccccc3F)c2s1,7.4
2.62,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cccc2c(=O)n(C(CO)CO)ccc12,7.4
3.37,COc1ccc(-c2c(F)ccc3c(=N)c(C(=O)NC4CC4)n[nH]c23)c(OC)n1,7.4
2.68,Clc1ccccc1-c1c[nH]nn1,7.4
1.7,NC(=O)c1ccc(Oc2cccc3cccnc23)c([N+](=O)[O-])c1,7.4
2.21,NC(=O)Nc1cc(-c2cccc(O)c2)sc1C(N)=O,7.4
-0.37,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,7.4
2.49,COC(=O)c1nc2c(=N[C@H](C)CO)[nH]c(SCc3cccc(F)c3F)nc2[nH]c1=O,7.4
3.11,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1,7.4
0.74,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,7.4
1.61,Cc1nc(Cl)c(Cl)n1Cc1sc2c(c1C(=O)N1CC[C@@H](O)C1)c(=O)n(C)c(=O)n2CC(C)C,7.4
1.2,N#Cc1cnc(N2CCN(C(=O)C3CCCCC3C(=O)NC3(C#N)CC3)CC2)s1,7.4
-1.34,Cc1ccc(N=C(N)N)cc1C,7.4
1.26,O=C(NCC1CCCCC1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,7.4
1.3,O=C(Oc1ccccc1)N1CCOCC1,7.4
1.9,CC(C)(C#N)c1cnc(N2CCN(C(=O)C3CCCCC3C(=O)NC3(C#N)CC3)CC2)s1,7.4
3.0,FC(F)(F)c1nnc2ccc(N3CCCCC3)nn12,7.4
0.21,Cc1c(Sc2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,7.4
1.55,CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,7.4
2.82,CC(Oc1cccc2[nH]cnc(=Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N1CCOCC1,7.4
3.52,COc1ccc(Cn2cc3c(=O)n(C)c(=O)n(CC(C)C)c3c2)cc1,7.4
3.2,COc1cc2c(=Nc3ccc(Cl)cc3F)[nH]cnc2cc1OCCn1cncn1,7.4
1.09,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,7.4
0.55,CC(=O)N=c1[nH]c(C)c(-c2cnc(F)c(NS(=O)(=O)c3sc(C)nc3C)c2)s1,7.4
1.78,Cc1ccc2c(c1)c(-c1ccnc3ccc(C(F)(F)F)cc13)c(C)n2CC(=O)O,7.4
1.43,CSc1ncccc1C(=O)N=c1[nH]ccs1,7.4
2.51,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)C(C)=N2,7.4
2.49,Cc1nc2ccc(Cl)cn2c1-c1cc[nH]c(=N)n1,7.4
2.31,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,7.4
3.34,C[C@@H](NC(=O)C1CCCCN1C)c1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,7.4
4.13,Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCN(CC(=O)N(C)C)CC2)c1,7.4
3.12,CNC(C)C(=O)NC(C(=O)N[C@H]1CCCN(CCc2ccc(F)cc2)C1)C(C)(C)C,7.4
2.2,NC1(c2ccc(-c3ncc4ccncc4c3-c3ccccc3)cc2)CCC1,7.4
1.77,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NS(C)(=O)=O)c1=O)C(=O)C(F)(F)F,7.4
1.5,C[C@H]1CN(C(=O)c2ccc(C#N)cc2)[C@H](C)CN1C(=O)[C@@](C)(O)C(F)(F)F,7.4
2.5,CCOc1ccccc1-c1ccc(-c2[nH]c3ccc(F)cc3c(=NC(C)C(=O)O)c2C#N)cc1,7.4
1.49,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CC2CCNCC2)ccc1Cl,7.4
3.17,CC[C@H](NC(=O)c1c(S(C)(=O)=O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,7.4
3.19,O=C(Nc1ccc(F)cc1)c1cccnc1Oc1ccccc1,7.4
1.65,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,7.4
2.8,Cc1nc(S(C)(=O)=O)ccc1N=c1[nH]cnc(OC2CCN(C(=O)OC(C)C)CC2)c1C,7.4
3.89,Cc1ccccc1-c1c(C(=O)O)n(CCCOc2cccc3ccccc23)c2ccccc12,7.4
2.28,C[C@@H](NCc1ccccc1-c1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1,7.4
2.75,N=c1[nH]c(=Nc2ccc(F)c(Cl)c2)c2[nH]cnc2[nH]1,7.4
3.97,CCCSc1nc(=N[C@@H]2C[C@H]2c2ccccc2)c2nnn([C@@H]3C[C@H](O)[C@@H](O)[C@H]3O)c2[nH]1,7.4
-0.84,CSc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,7.4
1.6,CC1=N[SH](=O)(c2cccc(-c3ccc(C)cc3)c2)NC1=O,7.4
2.4,N=c1nc(-c2cccc(C(F)(F)F)c2)[nH]c(=N)[nH]1,7.4
3.39,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,7.4
1.79,O=C(NS(=O)(=O)c1ccc(F)cc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,7.4
1.01,O=C(O)COc1ccc(Cl)cc1CN1CCCN(S(=O)(=O)Cc2ccccc2)CC1,7.4
3.62,Clc1cccc(-n2[nH]nnc2=NCc2ccccc2Oc2ccccn2)c1Cl,7.4
2.36,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,7.4
1.29,O=C(NCCc1ccccc1Cl)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,7.4
1.1,O=c1[nH]n(Cc2ccccn2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12,7.4
2.15,C[C@@H](NC(=O)C1CCCCN1)c1ccc(N=c2nc3ccc(-c4ccncc4)cc3c[nH]2)cc1,7.4
1.98,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3cccc4ncccc34)sc21,7.4
3.5,C[C@@H](C#N)NC(=O)C1CCCCC1C(=O)N1CCc2[nH]c3ccc(F)cc3c2C1,7.4
1.17,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NS(N)(=O)=O)c1=O)C(=O)C(F)(F)F,7.4
2.53,O=C(NCC1CCCCCC1)c1cc(-c2cccnc2N2CCC(C(=O)O)CC2)ccc1Cl,7.4
1.13,N=C(NCc1ccc(Cl)cc1)SCCCc1c[nH]cn1,7.4
1.3,Cc1ccc(-c2cccc(-c3nn[nH]n3)c2)cc1,7.4
0.35,Cc1ccc2c(n1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,7.4
1.8,Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1N=c1cc[nH]c(N(C)C2CCN(C)CC2)n1,7.4
3.2,CCCCCC[C@H]1OC(=O)CNC(=O)C([C@H](C)O)NC(=O)C(CO)NC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]1C,7.4
0.82,CNC(C)C(=O)NC(C(=O)N[C@H]1CCN(C(=O)c2ccccc2)C1)C1CCCCC1,7.4
3.19,Cc1c[nH]c(-c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2)n1,7.4
3.3,O=C(NCCSCc1ccccc1)c1ccccc1,7.4
2.5,O=C(O)C(Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,7.4
2.35,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3c[nH]c4ccccc34)sc21,7.4
1.73,Cc1cc(=Nc2[nH]c(=NC(C)c3ccc(F)cn3)cnc2C)[nH][nH]1,7.4
3.3,c1ccc(-c2ccc(COc3ccc4c(c3)CCC(CCN3CCCCC3)C4)cc2)cc1,7.4
2.31,Nc1ccccc1NC(=O)c1ccc(C2CCN(Cc3ccc(C(=O)NC4CC4)cc3)CC2)cc1,7.4
2.41,CC(Cc1cccc(CNCCc2c(Cl)cccc2Cl)c1)NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12,7.4
0.61,OCC[C@]1(c2ccc(Cl)c(Cl)c2)CCCNC1,7.4
3.57,COc1ccccc1C(C#N)NC(=O)C1CCCCC1C(=O)N1CCN(Cc2ccc(F)cc2)CC1,7.4
3.13,CN(C)c1[nH]c(=N[C@H]2CC[C@@H](NC(=O)c3ccc(F)c(F)c3)CC2)nc2ccccc12,7.4
1.56,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,7.4
0.7,O=c1[nH]n(C(c2ccncc2)C2CC2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12,7.4
2.08,Cc1cc(OC2CCN(CC3CCN([C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl,7.4
3.77,O=C(CCc1ccccc1)c1ccccc1,7.4
-0.9,CCCC=c1ncc(=CC(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,7.4
2.5,O=C(O)C(Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,7.4
3.02,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,7.4
3.9,COc1cc(N=c2nc(N(C)c3cc(CO)ccc3C)cc[nH]2)cc(N2CCOCC2)c1,7.4
1.94,O=C(N=c1[nH]c2c(=O)[nH]cnc2s1)c1ccccc1,7.4
3.72,CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccc(F)cc2)nc2ccccc12)c1ccccc1,7.4
2.27,Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4cccc(C(F)(F)F)c4)c3)C2)c(=O)[nH]c1=O,7.4
1.7,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,7.4
2.43,COc1ccc2[nH]c(=N[C@H]3CCC[C@H](NCc4ccsc4)C3)ccc2c1,7.4
3.2,Cc1cc(C)c2c(n1)sc1c(N3CCN(C)CC3)ncnc12,7.4
3.27,CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccc(S(C)(=O)=O)cc3)cn2)CC1,7.4
0.75,O=C(COc1ccccc1)N1CCOCC1,7.4
0.97,Cc1nnsc1C(=O)Nc1ccccc1,7.4
1.07,CCC(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,7.4
-0.38,Cc1cn([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(C(F)(F)F)c4)c3)C2)c(=O)[nH]c1=O,7.4
2.0,COc1cc(O)cc2occ(-c3ccc(O)cc3)c(=O)c12,7.4
2.43,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,7.4
3.55,Cc1ccccc1-n1c(Cn2nc(-c3ccc(O)c(F)c3)c3c(=N)[nH]cnc32)nc2cccc(C)c2c1=O,7.4
