smiles,Energy
Clc1ccc(Cl)c(-c2ccccc2)c1,-2.46
Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl,-3.48
CC[C@@H](C)C(C)C,2.52
CC(C)C[C@@H](C)O,-3.73
C1CCOCC1,-3.12
C1CC1,0.75
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,-3.17
C=C(Cl)Cl,0.25
CC(C)CO,-4.5
CCCOC(=O)CC,-2.44
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.64
CSc1ccccc1,-2.73
CCc1ccccc1O,-5.66
CC(C)(C)Cl,1.09
C=CC(=C)C,0.68
Cc1ccc(C(C)C)cc1,-0.68
Cn1ccnc1,-8.41
OCCO,-9.3
Clc1ccccc1Cl,-1.36
O=c1cc(Cl)[nH]c(=O)[nH]1,-15.83
CCCOC=O,-2.48
Clc1ccc2c(c1)Oc1ccccc1O2,-3.1
CCCCCC(=O)O,-6.21
CCOC(=O)CCC(=O)OCC,-5.71
Cc1ccnc(C)c1,-4.86
C1=CCCCC1,0.14
CN1CCN(C)CC1,-7.58
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,-3.04
O=C1C=CC(=O)C=C1,-6.5
COC(=O)CCl,-4.0
CCCC=O,-3.18
CCc1ccccc1,-0.79
ClC=C(Cl)Cl,-0.44
CCN(CC)CC,-3.22
Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-4.15
Cc1ccncc1C,-5.22
O=c1[nH]c(=O)[nH]c(=O)[nH]1,-18.06
O=Cc1ccccc1,-4.02
Clc1ccccn1,-4.39
C=CCCl,-0.57
CC(=O)c1ccc(C)cc1,-4.7
C=O,-2.75
Cc1ccccc1Cl,-1.14
CC(=O)N1CCCC1,-9.8
COC(C)(OC)OC,-4.42
CCCCc1ccccc1,-0.4
CN(C)c1ccccc1,-3.45
COC(C)C,-2.01
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-4.53
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-2.98
ClCC(Cl)Cl,-1.99
CNc1ccccc1,-4.69
CC(=O)OC(C)C,-2.64
c1ccccc1,-0.9
Clc1cccc(Cl)c1Cl,-1.24
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-6.5
COP(=S)(OC)SCn1nnc2ccccc2c1=O,-10.03
Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,-4.05
C=C(C)C(=C)C,0.4
C=CCCCC,1.58
S,-0.7
CCOCC,-1.59
CCN=c1[nH]c(SC)nc(=NC(C)C)[nH]1,-7.65
CCCCOC(=O)c1ccc(O)cc1,-8.72
CCCCCCOC(C)=O,-2.26
O=C1CCCC1,-4.7
CCCCC(=O)O,-6.16
CCBr,-0.74
Cc1ccc2cc(C)ccc2c1,-2.63
CCCCCCO,-4.4
Clc1ccccc1-c1ccccc1,-2.69
CC1=CCCCC1,0.67
CCCCCCO[N+](=O)[O-],-1.66
BrC(Br)Br,-2.13
CCc1ccc(O)cc1,-6.13
CCCOCCO,-6.4
O=COc1ccccc1,-3.82
O=c1[nH]cc(I)c(=O)[nH]1,-18.72
CCCC(=O)O,-6.35
COC(OC)(OC)C(F)(F)F,-0.8
O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O,-20.52
FC(F)(F)Br,1.79
CCCCO,-4.72
Fc1ccccc1,-0.8
CCOC(C)=O,-2.94
CC(C)COC(=O)C(C)C,-1.69
COC(C)(C)C,-2.21
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)C=C[C@@H]3[C@@]1(Cl)C2(Cl)Cl,-2.55
CCC(=O)CC,-3.41
COC(=O)C(F)(F)F,-1.1
c1ccc2ccccc2c1,-2.4
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-4.4
CC(=O)Oc1ccccc1C(=O)O,-9.94
CC(=O)C(C)(C)C,-3.11
COS(C)(=O)=O,-4.87
CCc1ccncc1,-4.73
CC(C)NC(C)C,-3.22
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,-3.67
CCCCCCCN,-3.79
CC1CCCC1,1.59
CCC,2.0
C[C@H]1CCCO1,-3.3
CNC(=O)Oc1cccc2ccccc12,-9.45
O=Cc1cccc(O)c1,-9.52
c1ccc2cc3ccccc3cc2c1,-3.95
ClCCl,-1.31
COC(=O)C(C)(C)C,-2.4
O=[N+]([O-])C(Cl)(Cl)Cl,-1.45
[O-][S+2]1([O-])CCCC1,-8.61
Cc1cccc(C)c1O,-5.26
Cc1cccc(O)c1,-5.49
Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,-9.53
Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,-11.85
CCCCCCCC(C)=O,-2.49
CCCCN,-4.24
CCCC(=O)OCC,-2.49
Cc1ccc(N)cc1,-5.57
CCCCCCI,0.08
FC(F)(Cl)C(F)(Cl)Cl,1.77
COP(=O)(OC)OC,-8.7
Clc1cccc(Cl)c1,-0.98
Cc1cc(C)c2ccccc2c1,-2.47
CCCC(C)C,2.51
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5.04
FC(F)(F)CCl,0.06
C=C,1.28
CCCCCI,-0.14
COC(OC)OC,-4.42
CCCCCCCCCC,3.16
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95
C=CC,1.32
Cc1c[nH]c2ccccc12,-5.88
COP(=O)(OC)[C@@H](O)C(Cl)(Cl)Cl,-12.74
C1CCCCC1,1.23
CC(C)=CCC/C(C)=C/CO,-4.45
CC(C)c1ccccc1,-0.3
CC(C)C(C)C(C)C,2.56
CC(=O)C(C)C,-3.24
CCCCNCCCC,-3.24
CCCCS,-0.99
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,-3.81
COc1c(O)c(OC)c(Cl)c(C=O)c1Cl,-8.68
NC1CCCCC1,-4.59
FC(F)Cl,-0.5
COC(=O)c1ccc([N+](=O)[O-])cc1,-6.88
CC(=O)c1cccnc1,-8.26
C#CC,-0.48
CCCCCCCCC=O,-2.07
CCC(=O)O,-6.46
ClC(Cl)Cl,-1.08
Cc1cccc(C)c1C,-1.21
C,2.0
ClCc1ccccc1,-1.93
CC1CCCCC1,1.7
Cc1cccs1,-1.38
c1ccncc1,-4.69
CCCCCl,-0.16
C[C@H]1CC[C@H](C)O1,-2.92
COc1cc(C)ccc1O,-5.8
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@@H](Cl)C[C@@H](Cl)[C@H]3[C@@]1(Cl)C2(Cl)Cl,-3.44
Cc1ccccc1,-0.9
CC(C)COC=O,-2.22
CCOC(=O)c1ccc(O)cc1,-9.2
CCOCCOCC,-3.54
CCCCCOC(=O)CC,-2.11
CCCc1ccc(O)cc1,-5.21
CC=C(C)C,1.31
ClCCCl,-1.79
CCC(C)(C)CC,2.56
Cc1cc2ccccc2cc1C,-2.78
Cc1cccc(C)n1,-4.59
COC(F)(F)C(Cl)Cl,-1.12
CCOCCOC(C)=O,-5.31
COc1cccc(N)c1,-7.29
O=Cc1cccnc1,-7.1
CCC(C)(C)O,-4.43
CCc1cccc(CC)c1N(COC)C(=O)CCl,-8.21
Cn1cccc1,-2.89
COCOC,-2.93
CCC(O)CC,-4.35
CCCCCCCCCC(C)=O,-2.15
ClCCBr,-1.95
Ic1ccccc1,-1.74
CC1=CC(=O)CC(C)(C)C1,-5.18
CCI,-0.74
CCCc1ccc(O)c(OC)c1,-5.26
CC(C)Br,-0.48
Cc1ccc(Br)cc1,-1.39
N#Cc1ccc(O)cc1,-10.17
CS(C)(=O)=O,-10.08
CCc1cccc(O)c1,-6.25
C=C(C)[C@@H]1CC=C(C)[C@@H](O)C1,-4.44
Brc1ccc(Br)cc1,-2.3
COc1c(Cl)ccc(Cl)c1C(=O)O,-9.86
C/C=C\CC,1.31
CC,1.83
COc1ccccc1OC,-5.33
CCSCC,-1.46
N#Cc1cccnc1,-6.75
Oc1ccc(Cl)c(Cl)c1,-7.29
COc1ccccc1,-2.45
Cc1ccc(C)c(O)c1,-5.91
Clc1ccc(Cl)cc1,-1.01
FCCl,-0.77
C=CCCC,1.68
Clc1ccc(Cl)c(Cl)c1Cl,-1.34
C#CCCCCC,0.6
CCCCCCCCC(C)=O,-2.34
Clc1ccccc1,-1.12
CN(C)CCOC(c1ccccc1)c1ccccc1,-9.34
CCCCC=O,-3.03
c1ccc(Oc2ccccc2)cc1,-2.87
O=C1CCCCC1,-4.91
CCCC[N+](=O)[O-],-3.09
O=Cc1ccncc1,-7.0
ClCCOCCCl,-4.23
CC[N+](=O)[O-],-3.71
Clc1cccnc1,-4.01
CBr,-0.82
CO,-5.1
CCCCCCC=O,-2.67
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-2.28
Nc1ccccc1[N+](=O)[O-],-7.37
CN1CCCCC1,-3.88
CCCCCCCC=O,-2.29
O=[N+]([O-])c1ccccc1,-4.12
CC(C)C1CC[C@@H](C)CC1=O,-2.53
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,-25.47
CF,-0.22
CS(C)=O,-9.28
c1ccc2c(c1)Oc1ccccc1O2,-3.15
Cc1ccccc1N,-5.53
CCCCBr,-0.4
CCCCCCCCCO,-3.88
Cc1ccncc1,-4.93
ClC(Cl)=C(Cl)Cl,0.1
CC(C)(C)Br,0.84
C=C(c1ccccc1)c1ccccc1,-2.78
CCc1ccc(C)cc1,-0.95
Cc1cccnc1,-4.77
COCC(OC)(OC)OC,-5.73
c1ccc2c(c1)Cc1ccccc1-2,-3.35
CC(N)=O,-9.71
COS(=O)(=O)OC,-5.1
ClC(Cl)C(Cl)Cl,-2.37
COC(=O)C1CCCCC1,-3.3
CCCCCCBr,0.18
CCCCCCCBr,0.34
Clc1cccc2c1Oc1ccccc1O2,-3.52
COC(CC#N)(OC)OC,-6.4
CC[C@H](C)Cl,0.0
CCCCCCc1ccccc1,-0.04
COc1cc(C=O)c(Cl)c(OC)c1O,-7.78
FC(F)(F)c1cccc(C(F)(F)F)c1,1.07
c1ccc(Cn2ccnc2)cc1,-7.63
Nc1cccc2ccccc12,-7.28
CCOC(=O)CC(=O)OCC,-6.0
CC(=O)C1CC1,-4.61
c1cc[nH]c1,-4.78
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-9.4
CC1CCC(C)CC1,2.11
OC1CCCCC1,-5.46
CN(C)CCC=C1c2ccccc2CCc2ccccc21,-7.43
Oc1ccc(F)cc1,-6.19
Nc1ccccc1Cl,-4.91
Cc1ccc(C)c(C)c1,-0.86
CCc1ccccc1C,-0.85
C=C(C)[C@@H]1CCC(C)C(=O)C1,-3.75
c1ccc(-c2ccccc2)cc1,-2.7
Cc1cccc(O)c1C,-6.16
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,-7.19
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,-6.74
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.66
CSC,-1.61
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-10.78
OC1CCCC1,-5.49
CCCCC(=O)OC,-2.56
C=C(C)CCC,1.47
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-8.42
CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],-7.98
C=CCl,-0.59
Cc1ccc(C(=O)N(C)C)cc1,-9.76
CCCC(=O)CCC,-2.92
COC(=O)c1ccccc1,-3.92
Cc1ccc(C=O)cc1,-4.27
CCCOC(=O)CCC,-2.28
C1CNCCN1,-7.4
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74
CCOCCO,-6.69
CCC(C)CC,2.51
Cc1cnccn1,-5.51
CCC[N+](=O)[O-],-3.34
Cc1cc(C)cc(C)c1,-0.9
O=c1[nH]cc(F)c(=O)[nH]1,-16.92
CCO,-5.0
Cc1ccc(C)c2ccccc12,-2.82
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,-3.37
N#Cc1c(Cl)cccc1Cl,-4.71
CCOC=O,-2.56
Clc1cc(Cl)c(Cl)cc1Cl,-1.34
CCOC(OCC)Oc1ccccc1,-5.23
O=[N+]([O-])c1cccc(O)c1,-9.62
CCCCCCCCO,-4.09
C=CCC,1.38
ClC(Cl)(Cl)Cl,0.08
OCCc1ccccc1,-6.79
CN(C)C(=O)Nc1ccccc1,-9.13
CSSC,-1.83
Oc1c2c(c(O)n1SC(Cl)(Cl)Cl)CC=CC2,-9.01
CC(=O)OCC(COC(C)=O)OC(C)=O,-8.84
COC,-1.91
CCCCCC,2.48
BrCCBr,-2.33
ClC(Cl)C(Cl)(Cl)Cl,-1.23
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,-15.46
Cc1cccc(C)c1N,-5.21
CCCOC(C)=O,-2.79
c1ccc2ncccc2c1,-5.72
CCS,-1.14
CCSSCC,-1.64
c1ccsc1,-1.4
CCc1cccc2ccccc12,-2.4
CCCC(C)=O,-3.52
Clc1cc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-4.61
CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-2.45
CC(=O)O,-6.69
CC=O,-3.5
Nc1cccc([N+](=O)[O-])c1,-8.84
C#CCCCC,0.29
COc1ccccc1N,-6.12
Oc1ccccc1,-6.6
CCC#N,-3.84
Oc1cccc2ccccc12,-7.67
CCCCOC(C)=O,-2.64
CNC(=O)O/N=C\C(C)(C)SC,-9.84
Cc1ccccc1O,-5.9
CC(C)C=O,-2.86
CCC(N)=O,-9.4
CCCBr,-0.56
CC(C)Cl,-0.25
ClCCCCl,-1.89
O=[N+]([O-])c1ccc(O)cc1,-10.64
C[C@H](Cl)CCl,-1.27
Nc1ccc(Cl)cc1,-5.9
Nc1cccc2c1C(=O)c1ccccc1C2=O,-9.44
Cc1cccnc1C,-4.82
N#Cc1ccncc1,-6.02
CCOP(=S)(OCC)SCSCC,-4.37
CC(=O)C1CCCCC1,-3.9
Cc1ccccc1C=O,-3.93
CC(=O)c1ccncc1,-7.62
Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-3.71
CC(C)=O,-3.8
C=C(C)C,1.16
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)c1,-3.61
CCCCC[N+](=O)[O-],-2.82
CCC/C=C/C=O,-3.68
CN(C)C(=O)c1ccc([N+](=O)[O-])cc1,-11.95
C1CCOC1,-3.47
CCCCCCCC,2.88
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-3.25
C=C[C@@](C)(CCC=C(C)C)OC(C)=O,-2.49
C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29
CC(C)OC(C)C,-0.53
CCCCC(C)C,2.93
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.22
FC(F)(F)[C@H](Cl)Br,-0.11
CCCCOCCCC,-0.83
CCCCCC1CCCC1,2.55
CC(C)CC(C)C,2.83
Cc1ccc(C)nc1,-4.72
C/C=C/C=O,-4.22
CCC[C@H](C)CC,2.71
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-1.96
FC(F)[C@@H](F)Oc1ccccc1,-1.29
COCCOC,-4.84
CC[C@H](C)c1ccccc1,-0.45
OCCCc1ccccc1,-6.92
CC[C@@H](C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-6.23
COC(=O)c1ccc(OC)cc1,-5.33
CCC(=O)Nc1ccc(Cl)c(Cl)c1,-7.78
COc1ccc2cc(C(C)C(=O)O)ccc2c1,-10.21
FC1(F)C(F)(F)C(F)(F)C1(F)F,3.43
CC(=O)OCCC(C)C,-2.21
CCCCCCCl,0.0
CC(=O)CC(C)C,-3.05
CCCCCC=O,-2.81
Nc1cccc(Cl)c1,-5.82
C1COCCN1,-7.17
CCOC(C)OCC,-3.28
CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-3.51
CS,-1.2
O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,-4.23
COc1ccc(C(C)=O)cc1,-4.4
C=CCO,-5.03
CCSC,-1.5
CCCCCOC(C)=O,-2.51
Clc1cc(Cl)c(Cl)c(Cl)c1,-1.62
CC(=O)c1ccccc1,-4.58
CCCl,-0.63
CCCC1CCCC1,2.13
Clc1cc(Cl)cc(Cl)c1,-0.78
CCCOC(=O)c1ccc(O)cc1,-9.37
Oc1cccc(Cl)c1,-6.62
CC(C)CCO,-4.42
CCCCCN,-4.09
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-11.14
CC(C)CCC(C)(C)C,2.93
CCCCOCCO,-6.25
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4C[C@H]([C@@H]5O[C@@H]54)[C@H]3[C@@]1(Cl)C2(Cl)Cl,-4.82
NC(=O)c1ccccc1,-11.0
CC(C)[N+](=O)[O-],-3.13
OCC(O)CO,-13.43
CCCI,-0.53
COCCN,-6.55
ClCC(Cl)(Cl)Cl,-1.43
CCC(=O)OC,-2.93
C1CCCC1,1.2
CCc1cccnc1,-4.59
Cc1cncc(C)c1,-4.84
COCCO,-6.619999999999999
COC=O,-2.78
Nc1ccc2ccccc2c1,-7.47
Cc1c[nH]cn1,-10.27
Cc1cccc([N+](=O)[O-])c1,-3.45
ClCCCCCl,-2.32
CC(=O)CO[N+](=O)[O-],-5.99
CC(C)(C)c1ccccc1,-0.44
CCCCCC(=O)OC,-2.49
C[C@H](O)C(F)(F)F,-4.16
CCCCCBr,-0.1
C=CCCCCCC,1.92
CC1=CC(=O)C(C(C)C)CC1,-4.51
CC(C)O,-4.74
CCCCCCN,-3.95
O=[N+]([O-])OCCCO[N+](=O)[O-],-4.8
Cc1ccc(O)c(C)c1,-6.01
CCCCCO,-4.57
CCC[C@@H](C)O,-4.39
CCCC[C@@H](C)CC,2.97
CC(C)Cc1ccc(C(C)C(=O)O)cc1,-7.0
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-8.15
Cc1ccc(O)cc1C,-6.5
Cc1cc(O)ccc1Cl,-6.79
C/C=C/CCCC,1.68
CCCOCCC,-1.16
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,-3.2
CCN=c1[nH]c(SC)nc(=NC(C)(C)C)[nH]1,-6.68
CC(C)CC(C)(C)C,2.89
CCCCC(=O)CCCC,-2.64
CCCCN(CC)C(=O)SCCC,-3.64
C=CCCCCC,1.66
CC(C)OC=O,-2.02
CC(=O)OC(C)OC(C)=O,-4.97
O=c1[nH]cc(Cl)c(=O)[nH]1,-17.74
C=C(C)c1ccccc1,-1.24
CCC(C)C,2.38
CCCCO[N+](=O)[O-],-2.09
Brc1ccccc1,-1.46
CC(Cl)(Cl)Cl,-0.19
C=C(C)[C@@H]1CC=C(C=O)CC1,-4.09
Cc1ccccc1[N+](=O)[O-],-3.58
CCCCCCCI,0.27
c1cc2ccc3cccc4ccc(c1)c2c34,-4.52
CCCCCCl,-0.1
CC(=O)OCC(C)C,-2.36
CCC(C)(C)C,2.51
Nc1ccc([N+](=O)[O-])cc1,-9.82
COC(=O)CC#N,-6.72
COc1ccc(N)cc1,-7.48
CC(C)Cc1ccccc1,0.16
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-2.16
CN,-4.55
Oc1ccccc1Cl,-4.55
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,-11.53
Cl/C=C\Cl,-1.17
CCCCC(C)=O,-3.28
O=[N+]([O-])OCCO[N+](=O)[O-],-5.73
Oc1ccccc1F,-5.29
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-9.41
C=Cc1ccccc1,-1.24
CCOP(=O)(OCC)OCC,-7.5
OCC(F)(F)F,-4.31
CCCCOC[C@H](C)O,-5.73
CCCO,-4.85
Cc1ccccc1C,-0.9
CC(C)(C)C,2.51
C#CCCC,0.01
O=C1NC(=O)c2ccccc21,-9.61
CCCCI,-0.25
Cc1ccc(O)cc1,-6.13
CC(C)I,-0.46
COc1ccccc1O,-5.94
C1=CCCC1,0.56
C[C@@H](O)C(F)(F)F,-4.2
CCCN,-4.39
O=[N+]([O-])c1ccccc1O,-4.58
Cc1cccc2ccccc12,-2.44
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-2.33
CCCCC/C=C/C=O,-3.43
C#CCCCCCC,0.71
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-6.48
CCCCCCCC(=O)OC,-2.04
C1CCNC1,-5.48
O=Cc1ccc(O)cc1,-8.83
CCCCCCCCl,0.29
C1COCCO1,-5.06
