smiles,NumAtoms
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,26
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,20
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,21
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,21
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,22
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,34
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,25
COc1cc(CCN)cc(OC)c1OC,15
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,22
CN1CCCC1c1cccnc1,12
NC(Cc1c[nH]c2ccccc12)C(=O)O,15
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,12
O=C(O[Na])c1ccccc1O,11
O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,17
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,21
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,20
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,17
CC(N)C(O)c1cccc(O)c1,12
CC(C)NCC(O)c1ccc2ccccc2c1,17
NNC(=O)c1ccncc1,10
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,16
CC(C)NNC(=O)c1ccncc1,13
C1CCc2nnnn2CC1,10
CCN(CC)N=O,7
NC(=O)c1ccccc1,9
O=C(O)c1ccncc1,9
COP(=S)(OC)Oc1ccc(SC)c(C)c1,16
N=C(N=C(N)NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,34
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],15
CC(C)OP(=O)(F)OC(C)C,11
CS(=O)(=O)OCCCCOS(C)(=O)=O,14
NCCCC(=O)O,7
ClC(Cl)(Cl)Cl,5
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,17
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,18
NCC(=O)O,5
CC(N)C(=O)O,6
NC(C=O)C(O)O,7
CC(=O)OCC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,27
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,21
CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,20
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,24
c1ccc2cc3c(ccc4ccccc43)cc2c1,18
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,14
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,22
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,20
OCC(O)CO,6
NC(CC(=O)O)C(=O)O,9
NC(=O)CCC(N)C(=O)O,10
NC(CCC(=O)O)C(=O)O,10
NCCCCC(N)C(=O)O,10
NC(CSSCC(N)C(=O)O)C(=O)O,14
NCc1ccc(C(=O)O)cc1,11
CCCCCCCCCCCCCCCC(=O)O,18
CCCCCCCCCCCCCCCCCC(=O)O,20
CC(C)(O)C(Cl)(Cl)Cl,8
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,25
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,21
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,19
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,18
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,16
CCC1(CC)C(=O)NC(=O)NC1=O,13
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,20
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,23
CCCC(C)(COC(N)=O)COC(N)=O,15
CC(O)CO,5
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,33
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,22
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,19
N=C(N)NS(=O)(=O)c1ccc(N)cc1,14
Cc1cc(C)[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,19
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,18
CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,23
O=c1c(CCS(=O)c2ccccc2)c(O)n(-c2ccccc2)n1-c1ccccc1,29
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,20
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,20
Cn1c(=O)c2c(ncn2C)n(C)c1=O,14
CCc1[nH]c(=N)[nH]c(=N)c1-c1ccc(Cl)cc1,17
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,17
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,22
CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC32)CC1=O,22
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,21
CN=C1C=[N+]([O-])C(c2ccccc2)c2cc(Cl)ccc2N1,21
CC1=CC(=O)c2ccccc2C1=O,13
CN(C)CC(CN1c2ccccc2Sc2ccccc21)N(C)C,23
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,25
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,27
CN(C)CCCN1c2ccccc2Sc2ccccc21,20
N=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,19
O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,19
CC(=O)OC=C1CSC2C(NC(=O)Cc3cccs3)C(=O)N2C1C(=O)O[Na],27
CN(C)CCOC(c1ccccc1)c1ccccc1,19
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,25
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,12
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,11
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,17
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,17
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,17
CN(Cc1cnc2[nH]c(=N)[nH]c(=N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,33
CCOc1cc(N)ccc1C(=O)O,13
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,17
CCN(CC)C(=O)c1cccnc1,13
O=c1ccc2ccccc2[nH]1,11
Nc1ccc(S(=O)(=O)N=c2cnc3ccccc3[nH]2)cc1,21
CNCC(O)c1cccc(O)c1,12
CCN(CC)CCOC(=O)c1ccc(N)cc1,17
Cc1ccccc1OCC(O)CO,13
Oc1cc2ccccc2[nH]1,10
O=c1[nH]c2ccccc2o1,10
Cc1cc(O)ccc1Cl,9
CC(C)NCC(O)c1ccc(Cl)c(Cl)c1,15
Cc1cc(C(=O)NNCc2ccccc2)no1,17
CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,13
O=C(O)c1cccnc1,9
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,14
O=NN1CCOCC1,8
NC(Cc1ccc(O)c(O)c1)C(=O)O,14
c1ccc(CC2=NCCN2)cc1,12
Nc1ccc(N=Nc2ccccc2)cc1,15
CN(C)c1ccc(N=Nc2ccccc2)cc1,17
OCCc1ccccc1,9
NC(Cc1ccc(F)cc1)C(=O)O,13
NC(Cc1ccc(O)cc1)C(=O)O,13
Cn1cc(O)[nH]c1=N,8
CCOCC,5
NCCCCCC(=O)O,9
CCCCCC=CCC=CCCCCCCCC(=O)O,20
CNC(=O)CSP(=S)(OC)OC,12
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,32
Cn1cc[nH]c1=S,7
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,19
Cc1cc(=O)n(-c2ccccc2)n1C,14
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,20
CCN(CC)CCN1c2ccccc2Sc2ccc(Cl)cc21,22
N=c1[nH]cnc2c1ncn2C1OC2CO[PH](=O)(=O)OC2C1O,22
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,23
COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,22
COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,26
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,23
O=C1NCCN1c1ncc([N+](=O)[O-])s1,14
Cc1cccc(Nc2ccccc2C(=O)O)c1C,18
Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,29
Nc1ccc(C(=O)NCC(=O)O)cc1,14
N=c1[nH]c2cc(Cl)ccc2o1,11
CC(C)CC(N)C(=O)O,9
O=C(O)c1ccc([N+](=O)[O-])cc1,12
CCOc1ccc(NC(C)=O)cc1,13
Nc1ccccc1,7
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,23
COP(=O)(OC)OC=C(Cl)Cl,11
CN(C)N=O,5
CC12CCC3C(CC=C4CC(=O)CCC43C)C1CCC2=O,21
CNC(=O)Oc1cccc2ccccc12,15
CSCCC(N)C(=O)O,9
Nc1ccc(S(N)(=O)=O)cc1,11
COC(=O)C1=CCCN(C)C1,11
NC(Cc1ccccc1)C(=O)O,12
NC(=O)NC(=O)Cc1ccccc1,13
Cc1cccc(NC(N)=O)c1,11
CNC(=O)Oc1cccc(C(C)C)c1,14
NCCc1ccccc1,9
NC(=O)Nc1ccccc1,10
COc1ccc(CC(C)N)cc1,12
CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C,20
CCOS(=O)(=O)OCC,9
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,18
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,24
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,29
Cc1ncc(CO)c(CO)c1O,12
NC(=O)c1ccccc1O,10
N=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,17
Nc1ccc(C(=O)O)c(O)c1,11
Cc1c[nH]c(=O)[nH]c1=O,9
O=C(O)c1ccccc1,9
O=C(O)c1cc(=O)[nH]c(=O)[nH]1,11
O=c1cc[nH]c(=O)[nH]1,8
CCCCCC=O,7
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2c1coc(O)c1,29
c1cnc2c(c1)ccc1cccnc12,14
O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,25
Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,28
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,20
O=c1ccc2cc3ccoc3cc2o1,14
O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,17
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,16
Cc1cc(C)[nH]n1,7
O=c1cc(O)[nH]c(=O)[nH]1,9
CS(C)(=O)=O,5
ClC(Cl)(Cl)C(Cl)(Cl)Cl,8
CC1(C)OC2CC3C4CC(F)=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,32
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,34
O=C(O)CS,5
CN(C)C=O,5
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,22
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,21
Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,17
ClC(Cl)(Cl)c1ccc(C(Cl)(Cl)Cl)cc1,14
O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,17
CC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,24
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,30
N=c1[nH]cnc2c1ccn2C1OC(CO)C(O)C1O,19
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,24
O=C(O)c1ccccc1O,10
NC(C(=O)O)c1ccccc1,11
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,12
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,20
O=C(CBr)c1ccccc1,10
NCCCC(N)C(=O)O,9
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,21
NC(=O)CC(N)C(=O)O,9
Cc1ccc(S(N)(=O)=O)cc1,11
CCC(=O)c1ccc(O)cc1,11
NC(Cc1c[nH]cn1)C(=O)O,11
N=c1cc[nH]c(=O)[nH]1,8
O=c1nc[nH]c(=O)[nH]1,8
CCCCO,5
CCCCCO,6
c1ccccc1,6
CC(Cl)(Cl)Cl,5
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,54
Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,16
CC(C)C(N)C(=O)O,8
CC(=O)C(N)C(O)O,8
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,21
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,18
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,18
CNCCC=C1c2ccccc2CCc2ccccc21,20
CCC(C)C(N)C(=O)O,9
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,27
O=C(O)c1ccc(Cl)cc1,10
N=C(N)NCCCC(N)C(=O)O,12
FC(F)(F)Br,5
CC(C)(C)N,5
CC(C)(C)O,5
FC(Cl)(Cl)Cl,5
FC(F)(Cl)Cl,5
FC(F)(F)Cl,5
FC(F)(F)F,5
OCC(Br)(Br)Br,6
CCC(C)(C)C,6
CC(C)(C)CO,6
CCC(C)(C)O,6
O=CC(Cl)(Cl)Cl,6
OCC(F)(F)F,6
CC(=O)C(C)(C)C,7
CC(C)(C)C(=O)O,7
CC(Cl)(Cl)C(=O)O,7
ClC(Cl)C(Cl)(Cl)Cl,7
O=C(O)C(Cl)(Cl)Cl,7
O=[N+]([O-])C(Cl)(Cl)Cl,7
FC(F)(Cl)C(F)(Cl)Cl,8
FC(F)(Cl)C(F)(F)Cl,8
FC(F)(F)C(F)(F)F,8
CC12CCC(CC1=O)C2(C)C,11
CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,31
COC(F)(F)C(Cl)Cl,8
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,22
CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3(F)C(O)CC21C,24
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,17
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,22
C=CCC1(C2C=CCC2)C(=O)NC(=O)NC1=O,17
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,17
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,16
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,16
CCC1(C(C)C)C(=O)NC(=O)NC1=O,14
ClC(c1ccccc1)(c1ccccc1)c1ccccc1,20
OC(c1ccccc1)(c1ccccc1)c1ccccc1,20
O=C(O)C(O)(c1ccccc1)c1ccccc1,17
CC1(c2ccccc2)C(=O)NC(=O)NC1=O,16
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,23
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,15
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,25
CN1CCC23CCCCC2C1Cc1ccc(O)cc13,19
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,24
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,18
CCC(=O)OC1(c2ccccc2)CCN(C)CC1C,19
CCC1(c2ccccc2)CCC(=O)NC1=O,16
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,17
CCCCC1(CC)C(=O)NC(=O)NC1=O,15
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,17
CCC1(CC)C(=O)NC(=S)NC1=O,13
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,22
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,11
CCC(Br)(CC)C(=O)NC(N)=O,12
CCC1(C)CC(=O)NC1=O,10
CC1(C)NC(=O)NC1=O,9
CCOP(=O)(C#N)N(C)C,10
O=C(O)CC(O)(CC(=O)O)C(=O)O,13
CCC(CO)(CO)CO,9
C#CC1(O)CCCCC1,9
CCOP(=O)(CC)OCC,10
CCOP(=O)(OCC)OCC,11
CCCCSP(=O)(SCCCC)SCCCC,17
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,26
CC1=CC(=O)CC(C)(C)C1,10
CC(C)(C#N)N=NC(C)(C)C#N,12
C=CC(C)(O)CCC=C(C)C,11
C=CC(=C)C,5
CC(C)CN,5
CC(C)C#N,5
CC(C)CO,5
CCC(C)Cl,5
CC(Cl)CCl,5
CCC(C)O,5
CCC(C)=O,5
CC(O)CN,5
CC(O)C#N,5
ClCC(Cl)Cl,5
ClC=C(Cl)Cl,5
CCC(N)=O,5
C=CC(N)=O,5
NC(=O)CCl,5
O=C(O)CBr,5
CCC(=O)O,5
C=CC(=O)O,5
O=C(O)CCl,5
O=C(O)CO,5
CNC(C)=O,5
COC(C)=O,5
CC[N+](=O)[O-],5
CC(C)C(C)C,6
CC(C)C(=O)O,6
ClC(Cl)C(Cl)Cl,6
C=C(C)C(N)=O,6
C=C(C)C(=O)O,6
O=C(O)C(Cl)Cl,6
CC(C)[N+](=O)[O-],6
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,33
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(=O)C12F,27
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,17
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,17
Cc1ccc(S(=O)(=O)N(C)N=O)cc1,14
NNS(=O)(=O)c1ccccc1,11
CC(=O)OC(C)(C)C1CC=C(C)CC1,14
COc1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]n1,19
CCOS(=O)(=O)c1ccc(C)cc1,13
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,20
CC1=CCC2CC1C2(C)C,10
CCC(Br)C(=O)O,7
CCC(N)C(=O)O,7
C=C(C)C(=O)OC,7
CN(C)C(=N)N(C)C,8
Nc1c(S(=O)(=O)O)ccc2ccccc12,15
O=C1NS(=O)(=O)c2ccccc21,12
Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,24
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,21
Nc1ccc2ccccc2c1S(=O)(=O)O,15
Cc1cccc(C)c1[N+](=O)[O-],11
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,29
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,23
OCc1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1,23
O=C1c2ccccc2-c2cccc3cccc1c23,18
O=C(O)C1c2ccccc2Oc2ccccc21,17
C=Nc1cccc2c(O)c3ccccc3c(O)c12,18
Nc1cccc2c1C(=O)c1ccccc1C2=O,17
O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,26
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,14
O=C1C(=O)c2cccc3cccc1c23,14
O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,18
O=C1c2ccccc2C(=O)C1c1ccccc1,17
Oc1ccc(O)n1-c1ccccc1,13
c1cc2c3c(cccc3c1)CC2,12
Cc1cccc(C(=O)O)c1O,11
Cc1cccc([N+](=O)[O-])c1C,11
Cc1c(Cl)cccc1[N+](=O)[O-],11
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,28
CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,28
Cn1ccc(=O)c2ccccc21,12
Oc1cccc2c(O)cccc12,12
Cn1cnc2c1c(=O)[nH]c(=O)n2C,13
O=C1CC(=O)c2ccccc2C1=O,13
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,29
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,27
Cc1ccccc1C(OCCN(C)C)c1ccccc1,20
CCN(CC)CCCN1c2ccccc2Sc2ccc(Cl)cc21,23
NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,27
O=C1C(=O)c2ccccc2-c2ccccc21,16
C=Cc1ccc2c(O)c3ccccc3c(O)c2c1,18
O=C1c2ccccc2C(=O)c2ccccc21,16
CCOC(=O)c1ccccc1C(=O)OCC,16
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,20
CCCCOC(=O)c1ccccc1C(=O)OCCCC,20
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,24
CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCC,32
O=S(=O)(O)c1ccc(O)c2ccccc12,15
CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,21
CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1,24
c1ccc2c(c1)ccc1ccccc12,14
c1ccc2c(c1)ccc1ncccc12,14
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,13
O=C1NC(=O)c2ccccc21,11
O=C1OC(=O)c2ccccc21,11
COc1c(N)cccc1[N+](=O)[O-],12
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,23
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,25
COc1cc([N+](=O)[O-])c2ncccc2c1,15
CCn1c2ccccc2c2ccccc21,15
O=NN(c1ccccc1)c1ccccc1,15
CCn1c(O)c(-c2ccccc2)[nH]c1=O,15
COP(=S)(OC)SCn1nnc2ccccc2c1=O,19
NN=c1[nH]ncc2ccccc12,12
O=C(O)c1cccc2ccccc12,13
CN(C)c1cccc2ccccc12,13
O=[N+]([O-])c1cccc2ccccc12,13
