,smiles,pH,logD
44,C1=CC=C2N(N=NC2=C1)C1=CC=NC=C1,7.4,1.69
45,C1=CC=C2N=CC=CC2=C1,7.4,2.09
46,C1=CC=C2N=CN=CC2=C1,7.4,1.0
47,C1=CN(C=N1)[C@H](C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,7.4,4.77
48,C1C2COC3=CC=CC=C3C2=NN1C1=CC=CC=C1,7.4,4.28
49,C1CC(CCN1)C1=CC=CC=C1,7.4,0.54
50,C1CC1NC1=NN2C(C=C1)=NN=C2C1=CC=CC=C1,7.4,3.15
51,C1CC2(CCN1)OC(C1=CC=CC=C21)C1=CC=CC=C1,7.4,0.75
52,C1CC2=CC=CC=C2CN1C1=CC=NC=C1,7.4,1.4
53,C1CCC(CC1)NC1CCCCC1,7.4,-0.38
54,C1CCN(CC1)C1=C2N=CNC2=NC=N1,7.4,1.84
55,C1CN(CCO1)C1=CC(=CC(NC2=NC=CC(NC3=C4C=NNC4=CC=C3)=N2)=C1)N1CCOCC1,7.4,3.05
56,C1CN2C(C1)=NC=C2C1=CC=C2OCCOC2=C1,7.4,2.33
57,C1CN2CCC1C(=C2)C1=CC2=CC=CC=C2O1,7.4,2.59
58,C1CN2CCC1C(C2)C1=CC=C(C=C1)C1=CC=CC=C1,7.4,1.76
59,C1CN2CCC1C(C2)C1=NN=C(O1)C1=CC=C(O1)C1=CC=CN=C1,7.4,1.2
60,C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,7.4,0.81
61,C1CN=C(N1)C1=CC=C2C=CC=CC2=N1,7.4,0.6
62,C1CNCC(C1)C1=NC2=CC=CC=C2S1,7.4,1.0
63,C1NC(CC2=CC=CC=C12)C1=CC=CC=C1,7.4,1.9
64,C1NCC(CC=C1)C1=CC2=CC=CC=C2O1,7.4,1.94
65,C1NCC(CC=C1)C1=CC=C2C=CC=CC2=C1,7.4,1.64
66,C1OC2=CC=C(OC3=CC(OC4=CC=C(C=C4)N4C=CN=C4)=NC=N3)C=C2O1,7.4,3.17
67,C1OC2=CC=C(OC3=CC=NC(OC4=CC=C(C=C4)N4C=CN=C4)=N3)C=C2O1,7.4,3.27
68,C=CCCCCCCCCC(=O)N[C@H]1CCC(=O)NC1=O,7.4,2.64
69,C=CCN(C1CCN(CCC(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C(=O)NC1=CC=CC=C1,7.4,3.6
70,C=CCOC1=CC(=CC=C1NC(=O)CN1CCOCC1)C1=CC=CC2=C1OC(=CC2=O)N1CCOCC1,7.4,3.0
71,CC#CC1=CC=NC(=C1)C1=CC(=CC=C1O)C1(N=C(C)C(N)=N1)C1CC1,7.4,3.6
72,CC#CC1=CN=CC(=C1)C1=CC=CC(=C1)C1(N=C(C)C(N)=N1)C1CC1,7.4,3.3
73,CC#CCN1C(=O)N(CC2CC2)C2=NN(CC3=C4C=C(Cl)C=CC4=NC=C3)C(C3=CN=CN3C)=C2C1=O,7.4,3.61
74,CC(=N)NCC1=CC=CC=C1,7.4,-0.28
75,CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(C=N3)N3CCNCC3)N=C2N(C2CCCC2)C1=O,7.4,0.8
76,CC(=O)C1=CC2=CC=C(O)C=C2OC1=O,7.4,0.87
77,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,7.4,-0.49
78,CC(=O)C1=CC=C(N=C1)N1CCN(CC1)S(=O)(=O)C[C@]12CC[C@H](CC1=O)C2(C)C,7.4,2.21
79,CC(=O)C1=CC=C2NC(=CC(=O)C2=C1)C1=CC=CN=C1,7.4,1.41
80,CC(=O)C1=CC=C2OCC(=O)N(CCN3CCC(CC3)NCC3=CC=C4OCC(=O)NC4=N3)C2=C1,7.4,0.37
81,CC(=O)C1=CC=CC=C1,7.4,1.58
82,CC(=O)C1=CN(CC2=CC=CC=C2)C(=O)N(CC2=CC=C(F)C=C2)C1=O,7.4,3.2
83,CC(=O)C1=NC=CC=C1NC(=O)[C@H]1CC[C@@H](CC1)N1C(=O)[C@H]2[C@H]3CC[C@H](C3)[C@H]2C1=O,7.4,3.01
84,CC(=O)C1=NOC(C)=C1C(=O)NC1=NC=CS1,7.4,1.94
85,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O,7.4,0.6266666666666666
86,CC(=O)C[C@@H](C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,7.4,1.12
87,CC(=O)N1CCN(CC(O)COC2=CC=C(Br)C=C2)CC1,7.4,1.6
88,CC(=O)N1CCN(CC1)C1=CC=C(NC(=O)C2=NN=C(NC3=CC=CC=C3F)O2)C=C1,7.4,2.51
89,CC(=O)N1CCN(CC1)C1=CC=C(NC2=NC=CC(=N2)C2=CN=C3C=CC=CN23)C=C1,7.4,2.82
90,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,7.4,3.7
91,CC(=O)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=CN=C3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,7.4,3.83
92,CC(=O)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=CN=C3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,7.4,4.33
93,CC(=O)N1CCN(CCOC2=CC=C(C=C2)C2(O)CCN(CC2)C2=NN3C(C=C2)=NN=C3C(F)(F)F)CC1,7.4,2.2
94,CC(=O)N1CCN(CCOC2=CC=C(C=C2)C2CCN(CC2)C2=NN3C(C=C2)=NN=C3C(F)(F)F)CC1,7.4,3.2
95,CC(=O)N1CCOC2=CC(COC3=CC=CC=C3)=CN=C12,7.4,2.8
96,CC(=O)N1CCOC2=NC(OCC3=CC=CC=C3)=CC=C12,7.4,2.4
97,CC(=O)NC1=C(C)C=C2C=CN(C2=C1)C1=NC2=C(C=NN2C(NC2CC2)=C1)C#N,7.4,2.66
98,CC(=O)NC1=C2C(=CC=C1)N(CC(O)=O)C(C)=C2OC1=CC=C(Cl)C=C1,7.4,-1.41
99,CC(=O)NC1=C2C(=CC=C1)N(CC(O)=O)C(C)=C2S(=O)(=O)C1=CC=C(Cl)C=C1,7.4,0.4
100,CC(=O)NC1=CC(CN2C(=O)N(C(=O)C2(C)C)C2=CC=C(SC(F)(F)F)C=C2)=CC=N1,7.4,2.93
101,CC(=O)NC1=CC=C(C=C1)C(=O)NC1=CC=CC=C1N,7.4,0.82
102,CC(=O)NC1=CC=C(C=C1)C1=CC=NC(NC2=CC=C(C=C2)N2CCOCC2)=N1,7.4,2.91
103,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=C(CC2=CC=NC=C2)C=C1,7.4,2.8
104,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,7.4,0.24
105,CC(=O)NC1=CC=C(CNC2=C3C(C=CC=C3OC3=CC=C(C=C3)S(C)(=O)=O)=NN2)C=C1,7.4,2.63
106,CC(=O)NC1=CC=C(CNC2=C3C(C=CC=C3OC3=CC=C(F)C=C3)=NN2)C=C1,7.4,4.28
107,CC(=O)NC1=CC=C(CNC2=C3C(C=CN=C3OC3=CC=CC=C3)=NN2)C=C1,7.4,3.03
108,CC(=O)NC1=CC=C(NC2=NC=C3C=C(C=CC3=N2)C2=CC=NC=C2)C=C1,7.4,3.04
109,CC(=O)NC1=CC=C(O)C=C1,7.4,0.37
110,CC(=O)NC1=CC=C(O)C=C1OC[C@@H](O)CN1CCC2(CC3=CC(Cl)=CC=C3O2)CC1,7.4,2.76
111,CC(=O)NC1=CC=C(O)C=C1OC[C@@H](O)CN1CCC2(CC3=CC(F)=CC=C3O2)CC1,7.4,2.1
112,CC(=O)NC1=CC=C2C=CN(C2=C1)C1=NC2=C(C=NN2C(NC2CC2)=C1)C#N,7.4,3.29
113,CC(=O)NC1=CC=C2C=CN(C2=C1)C1=NC2=C(C=NN2C(NC2COC2)=C1)C#N,7.4,2.24
114,CC(=O)NC1=CC=C2C=CN(C2=C1)C1=NC2=C(C=NN2C(NCCCCO)=C1)C#N,7.4,2.58
115,CC(=O)NC1=CC=C2C=CN(C2=C1)C1=NC2=C(C=NN2C(NCCCN2CCCC2)=C1)C#N,7.4,1.87
116,CC(=O)NC1=CC=C2C=CN(C2=C1)C1=NC2=C(C=NN2C(NCCN2CCCC2)=C1)C#N,7.4,2.24
117,CC(=O)NC1=CC=C2C=NN(C2=C1)C1=NC2=C(C=NN2C(NC2CC2)=C1)C#N,7.4,3.44
118,CC(=O)NC1=CC=C2CCN(C2=C1)C1=NC2=C(C=NN2C(NC2CC2)=C1)C#N,7.4,3.3
119,CC(=O)NC1=CC=C2N(CC(O)=O)C(C)=C(SC3=CC=C(Cl)C=C3)C2=C1,7.4,0.2
120,CC(=O)NC1=CC=C2N(CCC(O)=O)C=C(C2=C1)C1=NC2=C(C=NN2C(NC2CC2)=C1)C#N,7.4,-0.87
121,CC(=O)NC1=CC=C2N(CCCO)C=C(C2=C1)C1=NC2=C(C=NN2C(NC2CC2)=C1)C#N,7.4,2.48
122,CC(=O)NC1=CC=C2N(CCO)C=C(C2=C1)C1=NC2=C(C=NN2C(NC2CC2)=C1)C#N,7.4,2.71
123,CC(=O)NC1=CC=C2N=C(C=C(O)C2=C1)C1=CC=CC(F)=C1,7.4,2.41
124,CC(=O)NC1=CC=C2NC=C(C2=C1)C1=NC2=C(C=NN2C(NC2CC2)=C1)C#N,7.4,2.65
125,CC(=O)NC1=CC=CC(NC2=NC3=C(C=NN3C(NC3CC3)=N2)C#N)=C1,7.4,2.1
126,CC(=O)NC1=CC=CC(NC2=NC=NC(=N2)N2CCC(CC2)OCC2=CC=C(OC(F)(F)F)C=C2)=C1C,7.4,4.4
127,CC(=O)NC1=CC=CC(OCC2=CN=C(Cl)S2)=C1,7.4,2.38
128,CC(=O)NC1=CC=CC=C1C,7.4,1.0
129,CC(=O)NC1=CC=CC=N1,7.4,0.5
130,CC(=O)NC1=CN=C2C=CN(C2=C1)C1=NC2=C(C=NN2C(NC2CC2)=C1)C#N,7.4,2.69
131,CC(=O)NC1=NC(=CS1)C1=CC=CS1,7.4,2.77
132,CC(=O)NC1=NC(=NS1)C1=CC=CC=C1,7.4,2.8
133,CC(=O)NC1=NC(C)=C(S1)C1=CN=C(F)C(NS(=O)(=O)C2=C(C)N=C(C)S2)=C1,7.4,0.55
134,CC(=O)NC1=NC(CCC2=CC=C(NC(N)=N)C=C2)=CS1,7.4,-0.82
135,CC(=O)NC1=NN(C(N)=N1)C1=CC=CC=C1,7.4,-0.2
136,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,7.4,-0.78
137,CC(=O)NC1CC2CCCC(C1)N2C(=O)NC1=CC=C(Cl)C(=C1)C(F)(F)F,7.4,2.79
138,CC(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(N)=O,7.0,-1.09
139,CC(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,7.0,-0.56
140,CC(=O)NCC(NC(=O)C1(N)CCN(CC1)C1=C2C=CNC2=NC=N1)C1=CC=C(Cl)C=C1,7.4,2.4
141,CC(=O)NCC1=CC=C(CN2CCN(CC2)C2=CC=C(F)C=C2F)C=C1,7.4,2.5
142,CC(=O)NCC1=CC=C(CN2CCN(CC2)C2=CC=CC=C2)C=C1,7.4,1.78
143,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2C=C(N=N2)C#N)C(F)=C1,7.4,0.8
144,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2C=CC(=C2)C#N)C(F)=C1,7.4,1.6
145,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2C=CN=C2)C(F)=C1,7.4,0.7
146,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2C=NC(=C2)C#N)C(F)=C1,7.4,1.51
147,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2CC3=CC=CN=C3C2)C(F)=C1,7.4,2.88
148,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2CC3=CC=NC=C3C2)C(F)=C1,7.4,3.02
149,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2CCN(CC2)C2=CC=C(C=N2)C#N)C(F)=C1,7.4,1.98
150,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2CCN(CC2)C2=CN=CC=N2)C(F)=C1,7.4,1.49
151,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2CCOCC2)C(F)=C1,7.4,0.67
152,CC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,7.0,-1.14
153,CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,7.0,0.54
154,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCC(N)=O,7.0,-0.5
155,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CC1=CN=CN1)C(N)=O,7.0,0.89
156,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCC(N)=O)C(N)=O,7.0,-1.03
157,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,7.0,-1.08
158,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,7.0,-2.23
159,CC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,7.0,0.99
160,CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,7.0,-1.14
161,CC(=O)N[C@@H](CCCC[NH3+])C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,7.0,-2.43
162,CC(=O)N[C@@H](CCC[NH3+])C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,7.0,-2.23
163,CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,7.0,-0.79
164,CC(=O)N[C@@H]1CC2(CCN(CC3=CC4=C(NC5=C4C=CC=C5)C=C3)CC2)C2=CC=CC=C12,7.4,2.96
165,CC(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@H](CC1=CC=CC=C1)C(N)=O,7.2,2.3
166,CC(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@H](CC1=CC=CC=C1)C(N)=O,7.2,1.19
167,CC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3[C@H](O)C[C@@]12C,7.4,2.19
168,CC(=O)OCCN1C(SC2=NC3=CC=CC(Cl)=C3S2)=NC2=C(N)N=CN=C12,7.4,3.16
169,CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C3=CC=CC=C3)[C@@H]3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)C1=CC=CC=C1)C1=CC=CC=C1,7.4,4.5
170,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)C2=CC=CC=C2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C3=CC=CC=C3)C(C)=C([C@@H](O)C1=O)C2(C)C,7.4,3.4
171,CC(=O)O[C@H]1CC[C@]2(C=O)[C@H]3CC[C@]4(C)[C@H](CC[C@]4(O)[C@@H]3CC[C@]2(O)C1)C1=CC(=O)OC1,7.4,0.64
172,CC(=O)[C@@H]1CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,7.4,3.48
173,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,7.4,3.71
174,CC(C#C)N1C(=O)N(CC2CC2)C2=NN(CC3=C4C=C(Cl)C=CC4=NC=C3)C(C3=CN=CN3C)=C2C1=O,7.4,3.59
175,CC(C#CC1=CC=CC=C1)N1NC(=O)C2=C(C1=O)C(=O)C1=CC=C(Cl)C=C1N2,7.4,1.4
176,CC(C(=O)NC1=CC=C(Cl)C=C1)C1=NC=C(C=C1Cl)C(F)(F)F,7.4,4.19
177,CC(C(CC1=NC2=CC=CC=C2N1)C1=NC2=CC=CC=C2N1)C1=CC=CC=C1,7.4,4.48
178,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,5.5,1.8
179,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,6.5,0.8
180,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,7.4,0.1
181,CC(C(O)=O)C1=CC=C(C(F)=C1)C1=CC=CC=C1,7.4,0.85
182,CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,7.4,-0.3
183,CC(C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(Cl)C=C1,7.4,1.3
184,CC(C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1,7.4,-0.12
185,CC(C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1,7.4,0.71
186,CC(C)(C#N)C1=CN=C(S1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N,7.4,1.9
187,CC(C)(C(=O)C1=CC=CN=C1)C1=CC=CN=C1,7.4,1.45
188,CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1,7.4,1.5
189,CC(C)(C(=O)NC1=NN=C(O1)C(=O)NC1=CC=C(C=C1)N1CCOCC1)C1=CC=C(Cl)C=C1,7.4,2.96
190,CC(C)(C(N)=O)C(=O)NCCCNC1=NC(NC2=CC=CC(NC(=O)N3CCCC3)=C2)=NC=C1Br,7.4,2.32
191,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,7.4,0.42
192,CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,7.4,2.77
193,CC(C)(C)C(=O)NC1=CC=C2C3=CC=CC=C3C(=O)C(=O)C2=C1,7.4,2.83
194,CC(C)(C)C(=O)NCC1=CC=C(NC(=O)N2CCCC(O)(C2)C2=CC=C(Cl)C(Cl)=C2)C=C1,7.4,3.93
195,CC(C)(C)C(=O)N[C@H]1CCCCNC1=O,7.4,0.58
