,smiles,logD,pH
90,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C)c1ccc(cc1)C(OC)=O,1.3,7.4
91,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C)c1ccsc1,0.9,7.4
92,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C)c1oc2c(c1)cccc2,2.0,7.4
93,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(CC)c1ccncc1,0.6,7.4
94,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)CC#Cc1ccccc1,1.78,7.4
95,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1cc(ccc1)C(=O)N(OCC)C,0.7,7.4
96,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1cc(ccc1)C(=O)NCCOC,1.2,7.4
97,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1cc(ccc1)C(OC)=O,1.1,7.4
98,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1ccc(NC(=O)N(C)C)cc1,1.1,7.4
99,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1ccc(cc1)C(OC)=O,1.17,7.4
100,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1ccsc1,1.2,7.4
101,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1oc(C)c(c1)C,1.0,7.4
102,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1oc2c(c1)cccc2,2.1,7.4
103,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1sc2c(c1)cccc2,2.0,7.4
104,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1sccc1,1.52,7.4
105,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1sccc1C,1.4,7.4
106,Clc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N,-0.19,7.4
107,Clc1cc2OCOc2cc1CN1CCC(n2c3c(nc2O)cccc3)CC1,3.0,7.4
108,Clc1cc2OCOc2cc1CN1CCC(n2c3cc(ccc3nc2O)C)CC1,2.6,7.4
109,Clc1cc2OCOc2cc1CN1CCC2(N(CN(CC(=O)NC)C2=O)c2ccccc2)CC1,2.9,7.4
110,Clc1cc2OCOc2cc1CN1CCC2(N(CNC2=O)c2ccccc2)CC1,3.0,7.4
111,Clc1cc2OCOc2cc1CNCCCn1c2c(nc1O)cccc2,1.8,7.4
112,Clc1cc2OCOc2cc1COC(=O)N1CCC(n2c3c(nc2O)cccc3)CC1,4.2,7.4
113,Clc1cc2OCOc2cc1COC(=O)N1CCC(n2c3cc(ccc3nc2O)C)CC1,3.4,7.4
114,Clc1cc2OCOc2cc1COC(=O)N1CCC2(N(CN(CC(=O)NC)C2=O)c2ccccc2)CC1,3.1,7.4
115,Clc1cc2OCOc2cc1COC(=O)N1CCC2(N(CN(CC(O)=O)C2=O)c2ccccc2)CC1,0.7,7.4
116,Clc1cc2OCOc2cc1COC(=O)N1CCC2(N(CNC2=O)c2ccccc2)CC1,2.9,7.4
117,Clc1cc2OCOc2cc1COC(=O)NCCn1c2c(nc1O)cccc2,3.2,7.4
118,Clc1cc2c(-n3c(CN=C2c2ccccc2F)cnc3C)cc1,2.5,7.4
119,Clc1cc2c(-n3c(nnc3C)CN=C2c2ccccc2)cc1,2.1,7.4
120,Clc1cc2c(N(C)C(=O)CN=C2c2ccccc2)cc1,2.47,7.4
121,Clc1cc2c(NC(=O)CN=C2c2ccccc2)cc1,3.01,7.4
122,Clc1cc2c(Oc3c(N=C2N2CCNCC2)cccc3)cc1,3.48,7.4
123,Clc1cc2c(cc(S(=O)(=O)N[C@H]3CCN([C@H](C(=O)N4C5CCC(CC5)C4)C)C3=O)cc2)cc1,2.94,7.4
124,Clc1cc2c(cc(S(=O)(=O)N[C@H]3CCN([C@H](C(=O)N4CC5CC(C4)CNC5)C)C3=O)cc2)cc1,1.47,7.4
125,Clc1cc2c(cc(S(=O)(=O)N[C@H]3CCN([C@H](C(=O)N4CCOCC4)C)C3=O)cc2)cc1,1.79,7.4
126,Clc1cc2c(cc1)C(c1ncccc1CC2)=C1CCN(CC1)C(OCC)=O,4.4,7.4
127,Clc1cc2cc(sc2cc1)S(=O)(=O)N[C@H]1CCN([C@H](C(=O)N2CCOCC2)C)C1=O,2.07,7.4
128,Clc1cc2nccc(-n3c4c(cc(OC)cc4)c(CC(O)=O)c3C)c2cc1,1.7,7.4
129,Clc1cc2nccc(NCCCN3CCN(CC3)CCCN[C@H]3NCc4c(C3)cccc4)c2cc1,1.68,7.4
130,Clc1cc2nccc(c2cc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C,1.6,7.4
131,Clc1cc2sc(S(=O)(=O)N[C@H]3CCN([C@H](C(=O)N4CCOCC4)C)C3=O)cc2cc1,1.85,7.4
132,Clc1cc\2c(Sc3c(cccc3)/C/2=C/CCN(C)C)cc1,3.71,7.4
133,Clc1ccc(OC(C(OCC)=O)(C)C)cc1,3.39,7.4
134,Clc1ccc(OC(n2ncnc2)C(=O)C(C)(C)C)cc1,2.77,7.4
135,Clc1ccc(OCC(O)COC(=O)CCC(=O)\C=C\OC[C@H]2OC(O)[C@@H](O)[C@@H](O)[C@@H]2O)cc1,1.18,7.4
136,Clc1ccc(OCC(O)COC(=O)CCC(=O)\C=C\OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)cc1,1.04,7.4
137,Clc1ccc(cc1)-c1c(nc(nc1N)N)CC,2.44,7.4
138,Clc1ccc(cc1)-c1oc(nn1)NC(=O)c1cc(ccc1)C(F)(F)F,4.51,7.4
139,Clc1ccc(cc1)-c1occ(n1)CNC(CCCCC)C,5.02,7.4
140,Clc1ccc(cc1)C(=O)c1ccn(c1)CC(O)=O,-0.29,7.4
141,Clc1ccc(cc1)C(=O)n1c2c(cc(OC)cc2)c(CC(O)=O)c1C,1.145,7.4
142,Clc1ccc(cc1)C(CCN(C)C)c1ncccc1,1.41,7.4
143,Clc1ccc(cc1)C(N1CCN(CC1)CCOCC(O)=O)c1ccccc1,1.45,7.4
144,Clc1ccc(cc1)C1(O)CCN(CC1)CCCC(=O)c1ccc(F)cc1,2.98,7.4
145,Clc1ccc(cc1)CCCNC(=O)C1(CCCC1)C[C@@H](CCOC)C(O)=O,1.0,7.4
146,Clc1ccc(cc1)CNC(=O)c1n2c(nc1C)C=CC=C2,4.04,7.4
147,Clc1ccc(cc1)CNc1ccc(cc1)CCC(O)=O,0.98,7.4
148,Clc1ccc(cc1)[C@H](N1CCN(CC1)CCOCCO)c1ccccc1,3.13,7.4
149,Clc1ccc(cc1)\C=C\S(=O)(=O)N[C@H]1CCN([C@H](C(=O)N2CCOCC2)C)C1=O,1.49,7.4
150,Clc1ccc(cc1S(=O)(=O)N)C1(O)NC(=O)c2c1cccc2,0.9450000000000001,7.4
151,Clc1ccc2OCOc2c1Nc1ncnc2c1c(OC(C)C)cc(OCCN1CCOCC1)c2,3.7,7.4
152,Clc1ccc2OCOc2c1Nc1ncnc2c1c(OC1CCN(CC1)C)cc(OC)c2,2.9,7.4
153,Clc1ccc2OCOc2c1Nc1ncnc2c1c(OC1CCOCC1)cc(OCCN1CCN(CC1)C)c2,2.9,7.4
154,Clc1cccc(C)c1CNC(=O)Nc1ccsc1-c1nc(C(O)=O)c(O)c(O)n1,0.6,7.4
155,Clc1cccc(Cl)c1C=NN=C(N)N,1.67,7.4
156,Clc1cccc(Cl)c1Nc1ccccc1CC(O)=O,1.3,7.4
157,Clc1cccc(Cl)c1\C=N\NC(N)=N,1.4,7.4
158,Clc1ccccc1,2.87,7.4
159,Clc1ccccc1-c1nc(cc2c1cccc2)C(=O)N(C(CC)C)C,2.78,7.4
160,Clc1ccccc1C(n1ccnc1)(c1ccccc1)c1ccccc1,5.2,7.4
161,Clc1ccccc1C1=NC(O)C(=O)N(c2c1cc(Cl)cc2)C,2.72,7.4
162,Clc1ccccc1C1=NC(O)C(=O)Nc2c1cc(Cl)cc2,2.39,7.4
163,Clc1ccccc1C1=NCC(=O)Nc2c1cc([N+](=O)[O-])cc2,2.45,7.4
164,Clc1ccccc1C1=N[C@H](O)C(=O)N(c2c1cc(Cl)cc2)C,2.72,7.4
165,Clc1ccccc1C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)COCCN,1.67,7.4
166,Clc1ccccc1CC(N1CCNCC1)c1ccccc1,1.8,7.4
167,Clc1ccccc1CNC(=O)Nc1ccsc1-c1nc(C(O)=O)c(O)c(O)n1,0.37,7.4
168,Clc1ccccc1NC(=O)Nc1ccc(cc1C)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,1.69,7.4
169,Clc1ccccc1NC(=O)Nc1ccc(cc1OC)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O,1.87,7.4
170,Clc1ccccc1Oc1ncccc1/C(=N\O)/NC1CCCCC1,4.52,7.4
171,Clc1n-2c(cc1)C(=Nc1cc(OC)ccc1-2)NCCCN1CCN(CC1)CCCNC1=Nc2cc(OC)ccc2-n2c1ccc2Cl,5.74,7.4
172,Clc1ncc(cc1-c1cc(F)ncc1)[C@@H]1[C@@H]2N([C@@H](C1)CC2)C,1.26,7.4
173,Clc1ncc(cc1-c1ccc(F)nc1)[C@@H]1[C@@H]2N([C@@H](C1)CC2)C,1.42,7.4
174,Clc1sc(cc1)-c1ncc(S(=O)(=O)N[C@H]2CCN([C@H](C(=O)N3CCOCC3)C)C2=O)cc1,2.24,7.4
175,Clc1sc(cc1)-c1oc(nn1)NC(=O)c1ccc(S(=O)(=O)N(C)C)cc1,2.83,7.4
176,Clc1sc(cc1)-c1sc(S(=O)(=O)N[C@H]2CCN([C@H](C(=O)N3CCOCC3)C)C2=O)cc1,2.03,7.4
177,Clc1sc(cc1)-c1sc(S(=O)(=O)N[C@H]2CCN([C@H](C(=O)N3CCOCC3)C)C2=O)cn1,2.18,7.4
178,Clc1sc(cc1)-c1sc(S(=O)(=O)N[C@H]2CCN([C@H](C(=O)N3CCOCC3)C)C2=O)nc1,2.1,7.4
179,Clc1sc(cc1)C(=O)Nc1oc(nn1)-c1ccc(SC)cc1,3.76,7.4
180,Clc1sc(cc1)\C=C\S(=O)(=O)N[C@H]1CCN([C@H](C(=O)N2CCOCC2)C)C1=O,1.47,7.4
181,Clc1sc2S(=O)(=O)N=C(Nc2c1)NC(C)C,1.63,7.4
182,Clc1sc2S(=O)(=O)N=C(Nc2c1)NCC(CC)C,3.14,7.4
183,Clc1sc2S(=O)(=O)N=C(Nc2c1)NCCC,2.42,7.4
184,Clc1sc2S(=O)(=O)N=C(Nc2c1)N[C@@H](CC)C,2.4,7.4
185,FC(F)(C(F)(F)C(F)(F)F)C=1OC(=O)c2c(N=1)cccc2C,2.9,7.4
186,FC(F)(F)C=1OC(=O)c2c(N=1)cccc2,1.9,7.4
187,FC(F)(F)C=1OC(=O)c2c(N=1)cccc2C,2.9,7.4
188,FC(F)(F)c1c2nccc(c2ccc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C,1.3,7.4
189,FC(F)(F)c1cc(N\C(=N/O)\c2ccc(OC)cc2)ccc1,3.67,7.4
190,FC(F)(F)c1cc(cc(c1)C(F)(F)F)COCC(N1CCN(CC1)CC(O)=O)c1ccccc1,2.35,7.4
191,FC(F)(F)c1cc(cc(c1)C(F)(F)F)COCC(N1CCN(CC1)CCCC)c1ccccc1,4.09,7.4
192,FC(F)(F)c1cc(cc(c1)C(F)(F)F)COCC(N1CCN(CC1)CCCCc1nn[nH]n1)c1ccccc1,2.71,7.4
193,FC(F)(F)c1cc(cc(c1)C(F)(F)F)COCC(N1CCN(CC1)CCOCC(O)=O)c1ccccc1,2.17,7.4
194,FC(F)(F)c1cc(cc(c1)C(F)(F)F)COCC(N1CCN(CC1Cc1ccccc1)Cc1cc(OC)c(OC)c(OC)c1)c1ccccc1,5.2,7.4
195,FC(F)(F)c1cc(cc(c1)C(F)(F)F)COCC(N1CCNCC1)c1ccccc1,2.41,7.4
196,FC(F)(F)c1cc(cc(c1)C(F)(F)F)COC[C@H](N1CCN(CC1)CC(=O)N)c1ccccc1,3.26,7.4
197,FC(F)(F)c1cc(cc(c1)[C@@H](OC[C@@H](N1CCN(CC1)CCOCC(O)=O)c1ccccc1)C)C(F)(F)F,2.64,7.4
198,FC(F)(F)c1cc2c(nccc2-c2c3cc(ccc3n(CC(O)=O)c2C)C)cc1,1.8,7.4
199,FC(F)(F)c1cc2nccc(c2cc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C,1.8,7.4
200,FC(F)(F)c1ccc(OC(CCNC)c2ccccc2)cc1,2.84,7.4
201,FC(F)(F)c1ccc(cc1)/C(=N/OCCN)/CCCCOC,2.41,7.4
202,FC(F)(F)c1ccc(cc1)C(=O)c1ccn(c1)CC(O)=O,-0.05,7.4
203,FC(F)(F)c1nc2n(C=C(C=C2)C)c1C(=O)NCc1occc1,4.32,7.4
204,FC(F)(F)c1nc2n(C=CC=C2)c1C(=O)NCc1cc2OCOc2cc1,4.23,7.4
205,FC1=CC2=C([O-])C(=C[NH+]3[C@@H](COC(=C1N1CCN(CC1)C)[C-]23)C)C(O)=O,-0.34,7.4
206,FC=1c2n(C=CC=1)ccn2,0.9,7.4
207,FC=1c2n(C=CC=1C(O)(C)C)ccn2,1.1,7.4
208,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,1.7850000000000001,7.4
209,F[C@@]12[C@H]([C@@H]3C[C@H](C)[C@](O)(C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,2.1,7.4
210,F[C@H]1C2=CC(=O)C=CC2([C@H]2[C@@H]([C@H]3C[C@H](C)[C@@H](C(=O)CO)[C@@]3(C[C@H]2O)C)C1)C,2.1,7.4
211,F[C@H]1C[C@H](N(C1)C(=O)Cc1cc(C)c(NC(=O)Nc2ccccc2C)cc1)COc1ccc(cc1)C(O)=O,1.09,7.4
212,F[C@H]1C[C@H](N(C1)C(=O)Cc1cc(OC)c(NC(=O)Nc2ccccc2C)cc1)COc1ccc(cc1)C(O)=O,1.31,7.4
213,F[C@H]1C[C@H](N(C1)C(=O)Cc1cc(OC)c(NC(=O)Nc2ccccc2OC)cc1)COc1ccc(cc1)C(O)=O,1.31,7.4
214,Fc1c(C)c(F)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNCC3)cc12,-1.12,7.4
215,Fc1c(NC(=O)Cc2[nH]nc(Nc3ncnc4c3cc(OC)c(OCCCN(CCC)CCO)c4)c2)cccc1F,2.3,7.4
216,Fc1c(NC(=O)Cc2[nH]nc(Nc3ncnc4c3cc(OC)c(OCCCN(CCO)CC)c4)c2)cccc1F,1.9,7.4
217,Fc1c(NC(=O)Cc2[nH]nc(Nc3ncnc4c3cc(OC)c(OCCCN3CCC[C@@H]3CO)c4)c2)cccc1F,2.0,7.4
218,Fc1c(NC(=O)Cc2[nH]nc(Nc3ncnc4c3ccc(OCCCN3CCC[C@@H]3CO)c4)c2)cccc1F,2.1,7.4
219,Fc1c2n(ncc2ccc1O)C[C@@H](N)C,0.39399999999999996,7.4
220,Fc1c2nccc(c2ccc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C,0.5,7.4
221,Fc1cc(F)cc(F)c1CN1c2c(cccc2)[C@](NCC1=O)([C@H](Oc1cc(cc(c1)C)C)C(O)=O)c1ccccc1,2.1,7.4
222,Fc1cc(F)cc(F)c1CN1c2c(cccc2)[C@](NCC1=O)([C@H](Oc1nc(cc(n1)C)C)C(O)=O)c1cc(ccc1)-c1ccccc1,1.8,7.4
223,Fc1cc(F)cc(F)c1CN1c2c(cccc2)[C@](NCC1=O)([C@H](Oc1nc(cc(n1)C)C)C(O)=O)c1cc(ccc1)CCCC,2.3,7.4
