,Unnamed: 0,smiles,logP,logD
57,297,C=C1CCC2C(C1)c1c(OC)cc(CCCCC)cc1OC2(C)C,7.62,
58,1453,CC(C)(C)NC(=O)C1CN(S(=O)(=O)c2cccc3cccnc23)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,3.7,
59,5049,CCOP(N)(=O)SCC,0.15,
60,13723,c1ccc2nnccc2c1,0.93,
61,11381,O=C(Cn1cc(C(=O)C(F)(F)F)c2cc(Br)ccc21)N1CCCCCC1,4.62,
62,1523,CC(C)(C)c1ccc2oc(N(N)CCC#N)nc2c1,2.82,
63,3337,CCCCCCCC,5.18,
64,7317,COc1cc([C@H]2c3c(C)n[nH]c3OC(=N)C2C#N)ccc1OCc1cccc(F)c1,4.42,
65,6756,COC(=O)c1cncc(C)n1,0.1,
66,13105,OCC(O)c1oc(O)c(O)c1O,-1.85,
67,13303,Oc1ccc(Br)cc1,2.59,
68,14685,CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2cccs2)nc2ccccc12)c1ccccc1,,3.56
69,1452,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,2.92,
70,4002,CCCNC(=O)CCC(NS(=O)(=O)c1ccccc1)C(=O)O,0.01,
71,4925,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,2.7,
72,1349,CC(C)(C)C(=O)CC(C(O)C(C)(C)C)n1cncn1,1.95,
73,11589,O=C(O)C(Cc1ccccc1)n1cccc1,2.34,
74,504,C=c1[nH]cc(CO)c(=CNNC(=O)c2ccncc2)c1=O,1.14,
75,5169,CCOc1ccccc1OCC,2.42,
76,7439,COc1ccc(C(N)=O)cc1N=NN(C)C,0.44,
77,752,CC(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(N)=O,-1.32,
78,2540,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,4.74,
79,1950,CC(C)OC(C)(C)C,2.14,
80,9750,Cn1c(=O)[nH]c2ncn(Cc3ccccc3)c2c1=N,0.07,
81,1745,CC(C)CC([NH3+])C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)[O-],-1.56,
82,6947,COCN1C(=O)CN=C(c2ccccc2Cl)c2cc(Cl)ccc21,3.23,
83,3658,CCCCCc1cc(S(=O)(=O)O[Na])c2ccccc(OC)c1-2,-0.05,
84,1544,CC(C)(NC(=O)C(Br)C(C)(C)C)c1ccccc1,3.47,
85,11531,O=C(Nc1ccc(OC(F)F)cc1)c1ccc(COc2ccc(I)cc2)o1,5.99,
86,17005,O=C(CO)N1CCC[C@@H]1COc1cccc2[nH]cnc(=Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,,3.71
87,10209,N=C1NC(C(F)(F)F)(C(F)(F)F)NC1(C(F)(F)F)C(F)(F)F,3.35,
88,13204,OCCn1nc2ccccc2n1,0.92,
89,4533,CCNCCc1cccnc1,0.54,
90,12086,O=C1C2CC3C(C2)C13,0.81,
91,65,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,3.11,
92,4132,CCCSC1OC(CO)C(O)C(O)C1O,-1.18,
93,1289,CC(=O)c1sc(S(C)=O)c(C#N)c1-c1ccc(Cl)cc1,3.31,
94,16118,Cc1ccc(CN2[C@H]3CC[C@@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)s1,,2.44
95,5167,CCOc1ccccc1O,1.68,
96,14444,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)N2CCN(c3cccc(F)c3)CC2)CC1,,3.21
97,2431,CC1=NS(=O)(=O)c2cnccc2N1,-0.41,
98,16571,N#CC1(NC(=O)C2CCCCC2C(=O)N2CCN(c3nc(-c4ccccc4)cs3)CC2)CC1,,3.5
99,6216,CNC(=O)Oc1cc(C)cc(C(C)C)c1,3.1,
100,4277,CCN(CC)CC(=O)NC1CCc2ccccc21,2.74,
101,15954,Cc1cc(=N)c2cc(NC(=O)CC(=O)Nc3ccc4[nH]c(C)cc(=N)c4c3)ccc2[nH]1,,1.35
102,7945,COc1cnc2ccccc2n1,2.31,
103,3298,CCCCCC1=NS(=O)(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,2.01,
104,11987,O=C(OCn1c(=O)[nH]cc(F)c1=O)Oc1ccccc1,1.11,
105,321,C=CC(C)(CCC=C(C)C)OC(C)=O,3.93,
106,925,CC(=O)Nc1ccc(I)cc1,2.71,
107,16530,Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C,,2.4
108,9689,Clc1cccc2c1CCNCC2,2.4,
109,9060,Cc1ccncn1,0.16,
110,12891,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,3.9,3.45
111,5623,CN(C)C(=S)N(C)C,0.49,
112,6868,COCC(C)OC,-0.09,
113,14840,CN(C)c1ncnc2[nH]cnc12,,0.95
114,3410,CCCCCCCCCCCCCCCC(=O)OC,7.38,
115,6239,CNC(=O)Oc1ccc(I)cc1,2.46,
116,16922,NCc1nc2ccccc2[nH]1,,0.4
117,10323,N=c1[nH]nco1,-1.44,
118,3041,CCC=CCC=CCC=CCCCCCCCC(=O)OC,6.29,
119,10229,N=c1[nH]c(-c2ccccn2)cc2ccccc12,2.74,
120,3483,CCCCCCCCOc1ccc(NC(=O)OCCN2CCOCC2)cc1,4.8,
121,5138,CCOc1ccc2nccnc2c1,2.22,
122,10539,NC(=O)Oc1ccccc1,1.08,
123,6219,CNC(=O)Oc1cc(C)ccc1C(C)(C)C,3.14,
124,980,CC(=O)Nc1cccc(OC(C)=O)c1,1.03,
125,8319,Cc1c(O)ccc([N+](=O)[O-])c1[N+](=O)[O-],2.86,
126,9175,Cc1nc2ccccn2c(=O)c1C,1.0,
127,4882,CCOC(=O)c1cnc2n(c1=O)C(C)CCC2,0.62,
128,5780,CN(C)S(=O)(=O)c1ccc(C(=O)OC2CCCCC2)cc1,4.27,
129,9543,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,6.8,
130,3319,CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCCO)c(O)c1,6.68,
131,16529,Cn1ncnc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,,3.8
132,16973,O=C(C(O)CO)N1CC=C(c2ccc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,,1.09
133,4501,CCNC(=O)c1cc(Cl)cc(C)c1O,3.55,
134,15821,C[C@H]1CN(C(=O)c2ccc(C#N)cc2)[C@H](C)CN1C(=O)[C@@](C)(O)C(F)(F)F,,1.5
135,6884,COCC(O)Cn1cnc([N+](=O)[O-])n1,-0.49,
136,17264,O=C(O)COc1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,,1.09
137,3470,CCCCCCCCNC(=O)c1[nH]nc(C)c1[N+](=O)[O-],3.48,
138,8936,Cc1cccc(Nc2ccccc2C(=O)O)c1C,5.12,1.89
139,1044,CC(=O)OC1CCCCC1NC(=O)N(CCCl)N=O,1.93,
140,11244,O=C(CC(O)CC(O)C=Cn1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1)O[Na],0.73,
141,2187,CC1(C(=O)O)CCC2(C)CCC3(C)C(=C2C1)CC(=O)C1C2(C)CCC(OC4OC(C(=O)O)C(O)C(O)C4OC4OC(C(=O)O)C(O)C(O)C4O)C(C)(C)C2CCC13C,2.8,
142,10281,N=c1[nH]cc(Cc2cccc(Cl)c2)c(=N)[nH]1,2.29,
143,3707,CCCCN1C(=O)C(=O)c2ccccc2C1=O,2.18,
144,17382,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Cl)cc54)CC3)nc2N1,,1.33
145,6969,CON(C)C(=O)Nc1ccc(Br)cc1,2.38,
146,7105,COc1c(OC)c(OC(=O)C(C)(C)C)c2ccccc2c1OC(=O)C(C)(C)C,5.69,
147,2048,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,2.9,
148,3352,CCCCCCCC(CCCCC)c1ccccc1,8.56,
149,15210,COc1cc(F)ccc1-c1cccc(CNC2CCCC2)n1,,2.06
150,15894,Cc1c(CCC(=O)O)c(=O)oc2c(C)c(O)ccc12,,-0.3
151,610,CC(=O)CC(C)C,1.31,
152,38,Brc1ccccc1,2.99,
153,857,CC(=O)Nc1c(I)c(C(=O)NC2C(O)OC(CO)C(O)C2O)c(I)c(N(C)C(C)=O)c1I,-1.89,
154,4810,CCOC(=O)c1[nH]c2ccc(CO)c(Cl)c2c1C,3.92,
155,1797,CC(C)COCCO,0.75,
156,5730,CN(C)CCn1nnnc1SC=C1CSC2C(NC(=O)Cc3csc(=N)[nH]3)C(=O)N2C1C(=O)OCOC(=O)C(C)(C)C,1.57,
157,13201,OCCc1ccccn1,0.12,
158,14653,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,,-0.92
159,11129,Nc1ccc([N+](=O)[O-])cc1Cl,2.14,
160,14392,CCCSc1nc(=N[C@@H]2C[C@H]2c2ccccc2)c2nnn([C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,,3.99
161,13338,Oc1ccc(O)n1-c1ccc(Br)cc1,1.18,
162,2541,CC1Cc2ccccc2CN1,1.93,
163,7125,COc1cc(-n2[nH]c(C)cc2=O)nc(C)n1,0.72,
164,10424,NC(=O)C1CCCN1C(=O)C(Cc1cn(C(=O)OCc2ccccc2)cn1)NC(O)c1ccc(O)[nH]1,-0.11,
165,13095,OCC(F)(F)C(F)(F)C(F)(F)F,1.94,
166,8347,Cc1cc(-c2nc(C(C)C)n(C=CC(O)CC(O)CC(=O)O[Na])c2-c2ccc(F)cc2)cc(C)c1Cl,2.27,
167,15676,CS(=O)(=O)NCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,,2.1
168,3455,CCCCCCCCCCOc1ccc(C(=O)O)cc1,6.29,
169,9389,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,7.75,
170,2067,CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,2.8,
171,6534,COC(=O)CCCC(=O)OC,0.62,
172,2412,CC1=NS(=O)(=O)c2cc(Cl)c([N+](=O)[O-])cc2N1,1.42,
173,1866,CC(C)NCC(O)COCCCC(C)c1ccccc1,2.95,
174,8915,Cc1cccc(Cl)c1Cn1ccc(=Nc2nnc(Cc3ccc(-n4cnnn4)cc3)s2)[nH]1,4.99,
175,45,Brc1ccoc1,2.18,
176,3220,CCCCC(CC)COC(=O)n1cnc(CC(NC(=O)c2ccc(O)[nH]2)C(O)N2CCCC2C(N)=O)c1,1.82,
177,9515,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,5.62,
178,7015,COP(=O)(NCC(C)C)SC,0.97,
179,16821,NC(=O)Nc1sc(-c2cc(F)cc(F)c2)cc1C(=O)N[C@H]1CCCNC1,,2.18
180,5251,CC[C@@H]1CCCCN1C(=O)CSc1nc(C)cc(C)n1,3.61,
181,10348,N=c1cccc[nH]1,0.48,
182,15591,COc1cccc(N=c2c(C(N)=O)c[nH]c3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,,2.69
183,12199,O=C1CCCO1,-0.64,
184,963,CC(=O)Nc1cccc(C(=O)O)c1,1.32,
185,15037,CNCC[C@@H](Oc1cc(OC)ccc1C#N)c1ccccc1,,0.87
186,5234,CCSCC1=NS(=O)(=O)c2ccc(Cl)cc2N1,2.26,
187,12238,O=C1NC(=O)c2ccccc21,1.15,
188,17442,O=S(=O)(Nc1cccc2[nH]ncc12)c1cccs1,,1.7
189,10251,N=c1[nH]c(=O)c2ncn(COC(CO)CO)c2[nH]1,-1.66,
190,15802,C[C@H](CO)N=c1[nH]c(SCc2ccccc2F)nc2[nH]c(=N)sc12,,3.12
191,4728,CCOC(=O)CCn1nc2ccccc2n1,2.12,
192,6715,COC(=O)c1ccccc1C,2.75,
193,12196,O=C1CCCN1,-0.85,
194,12554,O=[N+]([O-])OC1COC2C(O)COC12,-0.15,
195,5714,CN(C)CCN(Cc1cccs1)c1ccccn1,2.87,
196,17087,O=C(NCC1(O)CCCCCC1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,,0.26
197,1193,CC(=O)c1cc2ccccc2nn1,1.44,
198,11373,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)O[Na],0.7,
199,8141,CSc1ccccc1C(N)=O,0.71,
200,6224,CNC(=O)Oc1ccc(C#N)cc1,0.95,
201,9964,Ic1cn[nH]c1,1.7,
202,11147,Nc1ccc2cccnc2c1,1.28,
203,172,C/C=C/c1ccccc1,3.35,
204,15670,CS(=O)(=O)N1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,,2.7
205,8089,CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(=O)C(O)N1CSCC1C(=O)NC(C)(C)C,3.56,
206,3165,CCCC1CC(C(=O)NC(C(C)O)C2OC(SCC)C(O)C(O)C2O)N(CC)C1,1.91,
207,12982,O=c1ccn(C2OC(CO)CC2F)c(=O)[nH]1,-0.87,
208,16403,Cc1ncccc1Oc1ncnc(OC2C3COCC2CN(C(=O)OC(C)C)C3)c1C,,3.1
209,3321,CCCCCCC(C)(C)c1ccc(C2CCCC(O)C2)c(O)c1,6.68,
210,16681,N#Cc1nc(N2CCCCC2)c(N)c(N2CCOCC2)n1,,2.71
211,146,C#CCOc1ccc(N=CNOCC)cc1OCC#C,1.9,
212,1721,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)O,0.4,
213,7024,COP(=O)(OC)OC=C(Cl)Cl,1.47,
214,4351,CCN(CC)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.29,
215,2029,CC(C)c1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,1.23,
216,5560,CN(C)C(=O)Nc1cccc(N)c1,-0.1,
217,1336,CC(C)(C(=O)O)n1nnc2ccccc21,-0.2,
218,1849,CC(C)N=c1nc(SC(F)F)[nH]c(=NC(C)C)[nH]1,4.25,
219,11328,O=C(COc1ccccc1)N1CCCCC1,1.81,
220,6191,CNC(=O)ON=C1CSCCS1,0.49,
221,15679,CS(=O)(=O)Nc1cccc(NC(=O)CN2CCN(C(=O)C[C@H](N)Cc3ccc(F)c(F)c3)[C@H](Cc3ccccc3)C2)c1,,2.06
222,2836,CCC(C)N(C(=O)SCc1ccccc1)C(C)CC,4.4,
223,17427,O=S(=O)(NC(Cc1ccc2ccccc2c1)C(O)=NO)c1ccc2ccccc2c1,,3.23
224,9631,Clc1ccc2[nH]c(=NCCCNCCCN=c3[nH]c4ccc(Cl)cc4n4cccc34)c3cccn3c2c1,5.06,
225,3117,CCCC(C(=O)OCC)n1nnc2ccccc21,2.82,
226,16072,Cc1cc[nH]c(=NCc2ccccc2O)c1,,3.35
227,1054,CC(=O)OC=C1CSC2C(NC(=O)CSc3ccncc3)C(=O)N2C1C(=O)OCOC(=O)C(C)(C)C,1.63,
228,4861,CCOC(=O)c1cccc2c1C(=O)C(=O)N(CC)C2=O,1.31,
229,6360,CNCCC=Cc1cccnc1,1.13,
230,1187,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,4.6,
231,10490,NC(=O)N(c1ccccc1)c1ccccc1,1.53,
232,3550,CCCCCCOC(=O)c1ccc(N)cc1,3.95,
233,15511,COc1ccc(OC)c(-c2c(F)ccc3c(=N)c(C(=O)NC(C)C)n[nH]c23)c1,,3.77
234,993,CC(=O)Nc1ccccc1C#N,0.57,
235,3656,CCCCCc1cc(S(=O)(=O)O[Na])c2cc(C(C)C)ccc(OC)c1-2,0.2,
236,3715,CCCCN=C=S,2.92,
237,8406,Cc1cc(C)[nH]n1,1.01,
238,817,CC(=O)NNC(=O)Nc1ccc(Br)cc1,1.38,
239,16238,Cc1ccc2c(c1)c(-c1ccnc3cc(C(F)(F)F)ccc13)c(C)n2CC(=O)O,,1.78
240,1848,CC(C)N=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,2.93,
241,9388,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,7.5,
242,12662,O=[N+]([O-])c1ccc(OCC(O)CNCC(O)COc2ccccc2)cc1,2.62,
243,5525,CN(C)C(=O)Cc1ccsc1,0.65,
244,13490,[O-][n+]1onc(-c2ccccc2)c1Cl,2.7,
245,8968,Cc1cccc2ccc3ccccc3c12,5.08,
246,10381,N=c1nc(-c2ccc(Cl)cc2)[nH]c(=N)[nH]1,2.33,2.12
247,9760,Cn1c(=O)cnc2ccccc21,0.79,
248,2591,CC=CC#CC=C1C=CC(=O)O1,2.09,
249,16404,Cc1ncccc1Oc1ncnc(OC2CCN(C(=O)OC(C)C)CC2)c1C,,3.8
250,14501,CCN(CC)CC(=O)N=c1c(C#N)c[nH]n1-c1ccccc1,,0.4
251,15124,COCCNS(=O)(=O)c1ccc(-c2c[nH]c(=N)c(C(=O)Nc3cccnc3)n2)cc1,,2.26
252,12351,O=Cc1ccccn1,0.44,
253,14844,CN(CCO)Cc1ccc(-c2cc(C(N)=O)c(NC(N)=O)s2)cc1,,0.97
254,69,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(CC)CC21C,4.28,
255,17106,O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccnc(N2CCNCC2)c1Cl,,1.77
256,3728,CCCCNC(=O)Cn1cnc([N+](=O)[O-])n1,0.89,
257,7627,COc1ccc([C@@H]2C(C(=O)N3CCCCCC3)c3ccccc3C(=O)N2Cc2ccc(F)cc2)cc1,5.01,
258,14907,CN1CCN(c2ccc3[nH]cc(C(N)=O)c(=Nc4ccc(Cl)cc4Cl)c3c2)CC1,,3.23
259,8070,CSC(C)=NOC(=O)N(C)SN(C)C(=O)OC(C)(C)C,2.8,
260,5512,CN(C)C(=O)C=Cc1ccccc1,1.73,
261,5630,CN(C)C(CSS(=O)(=O)c1ccccc1)CSS(=O)(=O)c1ccccc1,3.36,
262,13236,OCc1ccccn1,0.06,
263,15305,COc1cc2[nH]c(N3CCN(C(=O)C4CCCO4)CC3)nc(=N)c2cc1OC,,0.9
264,11233,O=C(C=Cc1ccccc1)C(F)(F)F,3.01,
265,503,C=c1[nH]cc(CO)c(=CNNC(=O)c2cccs2)c1=O,2.11,
266,5156,CCOc1ccccc1-c1nc(=N)[nH]c(=N)[nH]1,1.03,
267,5752,CN(C)N=Nc1ccc2oc3ccccc3c2c1,4.55,
268,1084,CC(=O)OCCC(C)C,2.25,
269,12523,O=[N+]([O-])C=Cc1ccc(Cl)cc1Cl,3.26,
270,4743,CCOC(=O)CN1C(=O)CC1Sc1ccc2ccccc2c1,3.4,
271,5765,CN(C)N=Nc1ccccc1CO,1.73,
272,11165,Nc1cccc(S(=O)(=O)O[Na])c1,-3.4,
273,15648,COc1nc(Br)c[nH]c1=NS(=O)(=O)c1cccc2c(N(C)C)cccc12,,1.9
274,15189,COc1cc(C(=O)NS(=O)(=O)c2ccccc2)ccc1Cn1cnc2ccc(NC(=O)CC3CCCC3)cc21,,0.9
275,8404,Cc1cc(C)[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,0.89,
276,2264,CC1(C)SC2C(NC(=O)C(NS(C)(=O)=O)c3ccccc3)C(=O)N2C1C(=O)O,0.95,
277,11465,O=C(NCO)c1c(I)c(C(=O)NCCO)c(I)c(N(CC(O)CO)C(=O)C(O)CO)c1I,-2.65,
278,4426,CCN1CCC(CNC(=O)c2cc(S(=O)(=O)CC)ccc2OC)C1,1.31,
279,3456,CCCCCCCCCCOn1c(=O)[nH]c(C)c(Br)c1=O,4.65,
280,3995,CCCN=c1cc(-c2nc(=N)[nH][nH]2)cc[nH]1,1.61,
281,11039,Nc1ccc(C(=O)Oc2ccc(F)cc2)c(O)c1,3.27,
282,9549,Clc1ccc(Cl)c(-c2ccccc2)c1,5.1,
283,26,Brc1ccc(Br)cc1,3.79,
284,10246,N=c1[nH]c(=O)c2ncn(C3CC(F)C(CO)O3)c2[nH]1,-0.66,
285,7229,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1C(C)C,3.37,
286,8027,CS(=O)(=O)c1ccc(OCC(=O)O)cc1,0.06,
287,17627,Oc1ccc(CCc2ccc(O)cc2)cc1,,3.3
288,2454,CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(=O)CC2(C)C1(O)C(=O)CCl,2.61,
289,10450,NC(=O)CCCc1ccccc1,1.41,
290,7060,COP(=S)(OC)SCn1nnc2ccccc2c1=O,2.75,
291,17499,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3ccccc3CNCCc3ccccc3F)c2s1,,1.58
292,16728,N=c1[nH]c(=Nc2cccc(Br)c2)c2[nH]cnc2[nH]1,,3.04
293,10973,NS(=O)(=O)c1nn2c(=Nc3ccc(O)cc3)snc2s1,1.89,
294,15649,COc1nc(Cl)c[nH]c1=NS(=O)(=O)c1cccc2c(N(C)C)cccc12,,1.74
295,10411,NC(=O)/C=C/c1ccccc1,1.43,
296,16376,Cc1ncc(-c2[nH]c(=Nc3ccc(N4CCOCC4)cc3)ncc2F)n1C(C)C,,3.01
297,7268,COc1cc(N)ccc1C(=O)O,0.45,
298,4376,CCN(CCO)C(=O)COC(=O)Cc1ccc2cc(OC)ccc2c1,1.98,
299,12414,O=Nc1c(Br)cc2ccccc2c1O,2.93,
300,14926,CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,,1.33
301,5052,CCOS(=O)(=O)c1cccc2c1C(C)(C)CO2,2.41,
302,9480,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,6.8,
303,9118,Cc1cnccn1,0.21,
304,2710,CCC(C(=O)OCc1ccc(C)cc1)C(CO)Cc1cncn1C,2.46,
305,11954,O=C(OC(=O)c1ccccc1)c1ccccc1,2.26,
306,8536,Cc1cc2occc2c2oc(=O)ccc12,2.41,
307,8563,Cc1ccc(Br)cc1,3.42,
