ID	SMILES	logD7.4
A-logD7.4-150	[nH]1cc(c2cc(ccc12)Cc1nnnn1CC)CCN(C)C	-0.43
A-logD7.4-152	Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(F)cc2C)cc1N1CCNCC1	-0.43
A-logD7.4-153	[nH]1c2c(cc1)C(N(CC2C)C)C	-0.41
A-logD7.4-154	OC=1C(=O)C=CN(CCOC)C=1C	-0.41
A-logD7.4-155	OC=1C(=O)C=CN(CCC(=O)NCCC)C=1C	-0.4
A-logD7.4-157	S1(=O)(=O)NC(CN1Cc1cc2c([nH]cc2CCN(C)C)cc1)(C)C	-0.39
A-logD7.4-159	OC=1C(=O)C=CN(CCC(=O)N(CC)CC)C=1C	-0.36
A-logD7.4-162	[nH]1cc(c2cc(-n3ncnc3)ccc12)CCN(C)C	-0.34
A-logD7.4-163	[nH]1cc(c2cc(ccc12)Cn1ncnn1)CCN(C)C	-0.34
A-logD7.4-164	s1c2c(S(=O)(=O)N(C)\C(=C(/O)\Nc3ncccc3)\C2=O)cc1	-0.32
A-logD7.4-165	OC=1C(=O)C=CN(CCCO)C=1CC	-0.32
A-logD7.4-166	OC=1C(=O)C=CN(CC)C=1C	-0.31
A-logD7.4-169	OC=1C(=O)C=CN(CCCCO)C=1CC	-0.28
A-logD7.4-170	OC=1C(=O)C=CN(C(COC)C)C=1C	-0.26
A-logD7.4-171	OC=1C(=O)C=CN(CCC(OCC)=O)C=1C	-0.24
A-logD7.4-172	Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccccc2F)cc1N1CC(NC(C1)C)C	-0.23
A-logD7.4-173	OC=1C(=O)C=CN(C)C=1CC	-0.21
A-logD7.4-174	n12C=CC=Nc1ncc2	-0.2
A-logD7.4-175	O(CC[C@H](CC1(CCCC1)C(=O)NC1(Cc2c(C1)cccc2)CO)C(O)=O)C	-0.2
A-logD7.4-176	[nH]1cc(c2cc(ccc12)Cn1nccn1)CCN(C)C	-0.2
A-logD7.4-178	Clc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N	-0.19
A-logD7.4-180	Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccccc2C)cc1N1CC(NC(C1)C)C	-0.17
A-logD7.4-181	Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)c(OC)c1N1C[C@H]2[C@H](NCCC2)C1	-0.16
A-logD7.4-183	[nH]1cc(c2cc(-n3ccnc3C)ccc12)CCN(C)C	-0.13
A-logD7.4-185	Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccccc2)cc1N1CC(NC(C1)C)C	-0.12
A-logD7.4-187	S1(=O)(=O)N(C)C(C(=O)Nc2ncccc2)=C(O)c2c1cccc2	-0.08
A-logD7.4-189	O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(O)cc3)C=C[C@@H]2O	-0.06
A-logD7.4-19	OC=1C(=O)C=CN(CCCC(O)=O)C=1C	-2.75
A-logD7.4-191	Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(cc2C)C)cc1N1CCNCC1	-0.07
A-logD7.4-192	[Na+].Fc1ccc(cc1)-c1n(\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c(nc1-c1cc(NC)ccc1)C(C)C	-0.05
A-logD7.4-193	OC(=O)C(C)c1cc(ccc1)\C(=N/O)\c1ccccc1	-0.04
A-logD7.4-194	Clc1cc(Cl)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CC(NC(C3)C)C)cc12	-0.03
A-logD7.4-195	S1(=O)(=O)N(CCCN1C)Cc1cc2c([nH]cc2CCN(C)C)cc1	-0.02
A-logD7.4-199	OC(=O)C(C)c1cc(ccc1)C(=O)c1ccccc1	0.008
A-logD7.4-200	[nH]1cc(c2cc(ccc12)Cc1nn(nn1)CC)CCN(C)C	0.02
A-logD7.4-201	Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(cc2C)C)cc1N1CC(NC(C1)C)C	0.02
A-logD7.4-202	OC=1C(=O)C=CN(CC=C)C=1C	0.03
A-logD7.4-204	OC=1C(=O)C=CN(CCOC)C=1CC	0.04
A-logD7.4-206	O1N(COC(=O)C(C)(C)C)C(=O)C2=C1CCCC2NC	0.05
A-logD7.4-207	OC=1C(=O)C=CN(C(C)C)C=1C	0.05
A-logD7.4-208	o1c2CCN(CCc2nc1N)CC	0.05
A-logD7.4-210	s1c2c(nc1CN1N=C(c3c(cccc3)C1=O)CC(O)=O)cc(F)cc2F	0.05
A-logD7.4-211	Oc1c(nccc1O)CC	0.05
A-logD7.4-212	O(C)c1cc2c(cc(cc2)[C@@H](C(O)=O)C)cc1	0.19
A-logD7.4-217	[nH]1nc(nc1N)-c1cc(ncc1)N	0.11
A-logD7.4-219	OC=1C(=O)C=CN(CCCOCC)C=1C	0.12
A-logD7.4-221	S1(=O)(=O)N(CCN1C(C)C)Cc1cc2c([nH]cc2CCN(C)C)cc1	0.16
A-logD7.4-222	Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(cc2)C)cc1N1CC(NC(C1)C)C	0.16
A-logD7.4-225	OC=1C(=O)C=CN(CCC)C=1C	0.18
A-logD7.4-227	S1(=O)(=O)N(C)C(C(=O)N(C)c2ncccc2)=C(O)c2c1cccc2	0.2
A-logD7.4-229	O1C(=O)c2c(N=C1N[C@@H](CC(=O)N)C(=O)NC(C)C)cccc2	0.2
A-logD7.4-230	O(CCC1N(CCCC1)C(=O)[C@H](NCC(O)=O)CC1CCCCC1)C1CCN(CC1)C(N)=N	0.2
A-logD7.4-231	OC=1C(=O)C=CN(CC(OCC)OCC)C=1C	0.21
A-logD7.4-232	O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(OC)cc3)C=C[C@@H]2O	0.22
A-logD7.4-236	S(=O)(=O)(Nc1ccc(cc1)Cc1nc(on1)-c1cc2c([nH]cc2CCN)cc1)C	0.25
A-logD7.4-238	Oc1cc2n(ncc2cc1)CCN	0.254
A-logD7.4-24	Oc1ccc(cc1)C[C@H](NC(=O)C)C(=O)NCC(=O)NCC(=O)N[C@@H](CCC(=O)N)C(=O)N	-2.59
A-logD7.4-242	[Re-]123(SCCN1C(=O)C[N+]2(CCS3)CCCNCC)[OH2+]	0.3
A-logD7.4-243	O(C)c1ccc(cc1)[C@@H]1C[C@H]1NC(=O)C1(CCCC1)C[C@@H](CCOC)C(O)=O	0.3
A-logD7.4-244	S(=O)(=O)(C)c1c2nccc(c2ccc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C	0.3
A-logD7.4-248	Brc1c2nccnc2ccc1NC=1NCCN=1	0.31
A-logD7.4-249	Fc1cc(ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CC(NC(C3)C)C)cc12)C	0.31
A-logD7.4-250	Fc1cc(ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNCC3)cc12)C	0.31
A-logD7.4-251	[Cl-].o1cc(cc1)C1(C2c3cc(O)ccc3C([n+]3c2cccc3)C1)c1ccoc1	0.32
A-logD7.4-256	Clc1ccccc1CNC(=O)Nc1ccsc1-c1nc(C(O)=O)c(O)c(O)n1	0.37
A-logD7.4-257	Fc1c2n(ncc2ccc1O)C[C@@H](N)C	0.394
A-logD7.4-258	Oc1cc(ccc1)[C@H](N1C[C@H](N(C[C@@H]1C)Cc1ccccc1)C)c1cc2c(CCN(C2)C(=O)CC(O)=O)cc1	0.4
A-logD7.4-259	O(CC[C@H]1N(CCCC1)C(=O)[C@H](NCC(O)=O)CC1CCCCC1)c1ccc(cc1)C(N)=N	0.4
A-logD7.4-261	Clc1cc(Cl)ccc1-c1nc(nc(N)c1CN)N	0.4
A-logD7.4-262	O1C(=O)c2c(N=C1N1CCCC1C(=O)N)cccc2	0.4
A-logD7.4-265	S1(=O)(=O)N(CCN1Cc1cc2c([nH]cc2CCN(C)C)cc1)Cc1ccc(NC(=O)C)cc1	0.42
A-logD7.4-269	OC=1C(=O)C=CN(CC=C)C=1CC	0.47
A-logD7.4-271	O=C1N(c2nc(nc(c2CC1)C)C)Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1	0.49
A-logD7.4-275	O=C(N[C@H](CCc1ccccc1)C(=O)Nc1cc2c(nccc2)cc1)[C@@H]1N(C[C@@H](N)C1)C(=O)CN	0.5
A-logD7.4-276	Fc1c2nccc(c2ccc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C	0.5
A-logD7.4-279	s1c(nnc1NC(=O)C1(CCCC1)C[C@@H](CCC)C(O)=O)CC	0.5
A-logD7.4-280	O=C(N[C@H](CCc1ccccc1)C(=O)Nc1cc2c(nccc2)cc1)[C@@H]1NC[C@H](C1)CN	0.5
A-logD7.4-282	S(=O)(=O)(Nc1ccc(cc1)Cc1nc(on1)Cc1cc2c([nH]cc2CCN(C)C)cc1)C	0.5
A-logD7.4-286	O(C)c1c2nccc(c2ccc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C	0.5
A-logD7.4-288	Fc1ccc(cc1)CCCNC(=O)C1(CCCC1)C[C@@H](CCOC)C(O)=O	0.5
A-logD7.4-29	OC(=O)CC[C@H](NC(=O)c1ccc(N(Cc2nc3c(nc(nc3N)N)nc2)C)cc1)C(O)=O	-2.73
A-logD7.4-291	s1c2c(nc1CN1N=C(c3c(cccc3)C1=O)CC(O)=O)cc(cc2)C(F)(F)F	0.55
A-logD7.4-294	n1ccccc1	0.57
A-logD7.4-295	OC(C)(C)C=1C=Cn2c(ncc2)C=1	0.6
A-logD7.4-296	o1nc(nc1[C@H](CCCC1CCCCC1)CC(=O)NO)-c1nccc(c1)C(O)=O	0.6
A-logD7.4-298	Clc1cccc(C)c1CNC(=O)Nc1ccsc1-c1nc(C(O)=O)c(O)c(O)n1	0.6
A-logD7.4-299	o1nc(nc1-c1cc2c([nH]cc2CCN)cc1)C1CC1	0.6
A-logD7.4-300	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(CC)c1ccncc1	0.6
A-logD7.4-301	O1[C@@H]2[C@]34C([C@H](N(CC3)C)Cc3c4c1c(O)cc3)C=C[C@@H]2OC(=O)C	0.61
A-logD7.4-304	Fc1ncc(cc1-c1ccc(nc1)C#N)[C@@H]1[C@@H]2N([C@@H](C1)CC2)C	0.64
A-logD7.4-306	OC=1C(=O)C=CN(CC(C)C)C=1C	0.65
A-logD7.4-308	O=Cc1[nH]c2c(c1)C(N(CC2C)C)C	0.69
A-logD7.4-309	Oc1cc2n(ncc2cc1)C[C@@H](N)C	0.693
A-logD7.4-310	OC=1C(=O)C=CN(CCC)C=1CC	0.7
A-logD7.4-311	OC=1C(=O)C=CN(CCCC)C=1C	0.7
A-logD7.4-312	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1cc(ccc1)C(=O)N(OCC)C	0.7
A-logD7.4-313	[Na+].Fc1ccc(cc1)-c1n(\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c(nc1-c1ccc(F)cc1)C(C)C	0.72
A-logD7.4-315	OC=1C(=O)C=CN(CCCOCC)C=1CC	0.72
A-logD7.4-317	OC=1C(=O)C=CN(C(C)C)C=1CC	0.73
A-logD7.4-318	[Na+].Fc1ccc(cc1)-c1n(\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c(nc1-c1ccc(F)cc1)C(F)(F)F	0.73
A-logD7.4-319	[Cl-].Fc1cc2C3c4[n+](C(CC3(c3ccoc3)c3ccoc3)c2cc1)cccc4	0.75
A-logD7.4-322	O(C)c1ccc(cc1)C[C@H](NC[C@H](O)c1cc(NC=O)c(O)cc1)C	0.79
A-logD7.4-323	OC(=O)c1cc2n(CC(=O)N(C)C)c(c(c2nc1)C1CCCCC1)-c1ccccc1	0.8
A-logD7.4-326	n12c(ncc1)C=CC=C2	0.8
A-logD7.4-327	[Na+].Fc1ccc(cc1)-c1nc(n(\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c1C(C)C)-c1ccc(F)cc1	0.83
A-logD7.4-328	O1[C@@H]2[C@]34C([C@H](N(CC3)C)Cc3c4c1c(OC(=O)C)cc3)C=C[C@@H]2OC(=O)C	0.85
A-logD7.4-331	[Na+].Fc1cc(C)c(cc1)-c1n(\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c(nc1-c1ccc(F)cc1)C(C)C	0.86
A-logD7.4-332	N(Cc1ccccc1)C	0.86
A-logD7.4-333	O(C)c1ccc(cc1)C(CN(C)C)C1(O)CCCCC1	0.88
A-logD7.4-334	O=C1N(c2c(cccc2)C(=NC1NC(=O)Nc1cc(ccc1)C(O)=O)C1CCCCC1)C	0.89
A-logD7.4-335	O=C1N(c2c(cccc2)C(=N[C@H]1NC(=O)Nc1cc(Nc2nn[nH]n2)ccc1)c1ccccc1)C	0.89
A-logD7.4-336	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C)c1ccsc1	0.9
A-logD7.4-338	FC=1c2n(C=CC=1)ccn2	0.9
A-logD7.4-341	Fc1ncc(cc1-c1ccc(F)nc1)[C@@H]1[C@@H]2N([C@@H](C1)CC2)C	0.96
A-logD7.4-342	Clc1ccc(cc1)CNc1ccc(cc1)CCC(O)=O	0.98
A-logD7.4-345	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1oc(C)c(c1)C	1
A-logD7.4-347	Clc1ccc(cc1)CCCNC(=O)C1(CCCC1)C[C@@H](CCOC)C(O)=O	1
A-logD7.4-351	OC=1C(=O)C=CN(C=1C)c1ccccc1	1.01
A-logD7.4-352	Clc1ccc(OCC(O)COC(=O)CCC(=O)\C=C\OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)cc1	1.04
A-logD7.4-354	OCCN(CCO)c1nnc(Nn2c(ccc2C)C)cc1	1.06
A-logD7.4-355	s1c2CCN(CCc2nc1N)CC=C	1.09
A-logD7.4-356	F[C@H]1C[C@H](N(C1)C(=O)Cc1cc(C)c(NC(=O)Nc2ccccc2C)cc1)COc1ccc(cc1)C(O)=O	1.09
A-logD7.4-357	Clc1c2n(ncc2ccc1O)C[C@@H](N)C	1.09
A-logD7.4-359	Fc1ccc(cc1)CNC(=O)\C(=C\c1ccccc1)\C(=O)NO	1.1
A-logD7.4-36	s1ccnc1-c1nc(C(O)=O)c(O)c(O)n1	-2.12
A-logD7.4-360	Clc1cc(Cl)ccc1C[C@@H](NC(=O)CCN)C(=O)N1CCN(CC1)c1ccccc1CNCCc1sccc1	1.1
A-logD7.4-361	O=C(N[C@H](CCc1ccccc1)C(=O)Nc1cc2c(nc1)cccc2)[C@@H]1NC[C@@H](N)C1	1.1
A-logD7.4-362	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1ccc(NC(=O)N(C)C)cc1	1.1
A-logD7.4-363	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1cc(ccc1)C(OC)=O	1.1
A-logD7.4-364	FC=1c2n(C=CC=1C(O)(C)C)ccn2	1.1
A-logD7.4-365	Oc1cc(ccc1)[C@H](N1C[C@H](N(C[C@@H]1C)Cc1ccccc1)C)c1ccc(cc1)CC(O)=O	1.1
A-logD7.4-366	OC(=O)c1nc2n(CC(=O)N(C)C)c(c(c2cc1)C1CCCCC1)-c1ccccc1	1.1
A-logD7.4-367	N(CCCC12CCC(c3c1cccc3)c1c2cccc1)C	1.12
A-logD7.4-369	O=C1N(c2c(cccc2)C(=N[C@H]1NC(=O)Nc1cc(N(C)c2nn[nH]n2)ccc1)c1ccccc1)C	1.14
A-logD7.4-370	O=[N+]([O-])c1[nH]c2c(c1)C(N(CC2C)C)C	1.14
A-logD7.4-371	Brc1cc(Cn2nc(cc2C)C(O)=O)c(OCc2ccccc2)cc1	1.15
A-logD7.4-372	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1ccc(cc1)C(OC)=O	1.17
A-logD7.4-373	Clc1ccc(OCC(O)COC(=O)CCC(=O)\C=C\OC[C@H]2OC(O)[C@@H](O)[C@@H](O)[C@@H]2O)cc1	1.18
A-logD7.4-374	O1C2(OOC13CCN(CC3)C(=O)c1ccccc1C(O)=O)C1CC3CC2CC(C1)C3	1.2
A-logD7.4-375	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1ccsc1	1.2
A-logD7.4-376	Fc1ccc(cc1)CNC(=O)C(Cc1ccccc1)C(=O)NO	1.2
A-logD7.4-378	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1cc(ccc1)C(=O)NCCOC	1.2
A-logD7.4-379	O1C(=O)c2c(N=C1NC(C)C)cc(NC(=O)C)cc2	1.2
A-logD7.4-380	O=C1N(c2nc(nc(c2CC1(C)C)C)C)Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1	1.21
A-logD7.4-381	OC=1C(=O)C=CN(CCCC)C=1CC	1.22
A-logD7.4-382	S(=O)(=O)(Nc1ccc(cc1)-c1nc(on1)Cc1cc2c([nH]cc2CCN(C)C)cc1)C	1.22
A-logD7.4-384	OC=1C(=O)C=CN(CCCCC)C=1C	1.24
A-logD7.4-386	S(=O)(=O)(Nc1ccc(cc1)Cc1nc(on1)-c1cc2c([nH]cc2CCN(C)C)cc1)C	1.25
A-logD7.4-388	Clc1ncc(cc1-c1cc(F)ncc1)[C@@H]1[C@@H]2N([C@@H](C1)CC2)C	1.26
A-logD7.4-39	Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccccc2F)cc1N1CCNCC1	-1.99
A-logD7.4-390	O=C(Nc1c(cccc1C)C)C1N(CCCC1)C	1.27
A-logD7.4-393	O1C(=Nc2c(cccc2)C1=O)C	1.3
A-logD7.4-394	O(C)c1cc2CCN3[C@@H](C[C@H](N)[C@H](C3)c3cc(ccc3)C)c2cc1OC	1.3
A-logD7.4-395	FC(F)(F)c1c2nccc(c2ccc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C	1.3
A-logD7.4-396	OC(=O)Cn1c2c(cc(cc2)C)c(-c2c3c(ncc2)c(ccc3)C)c1C	1.3
A-logD7.4-397	OC(CN(CCO)c1nnc(Nn2c(ccc2C)C)cc1)C	1.3
A-logD7.4-398	O(C)c1cc(ccc1)[C@H](N1C[C@H](N(C[C@@H]1C)Cc1ccccc1)C)c1cc2c(CCN(C2)C(=O)CC(O)=O)cc1	1.3
A-logD7.4-399	Clc1c2nccc(c2ccc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C	1.3
A-logD7.4-400	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C)c1ccc(cc1)C(OC)=O	1.3
A-logD7.4-401	F[C@H]1C[C@H](N(C1)C(=O)Cc1cc(OC)c(NC(=O)Nc2ccccc2C)cc1)COc1ccc(cc1)C(O)=O	1.31
A-logD7.4-402	F[C@H]1C[C@H](N(C1)C(=O)Cc1cc(OC)c(NC(=O)Nc2ccccc2OC)cc1)COc1ccc(cc1)C(O)=O	1.31
A-logD7.4-407	N12CC(N3c4c(CCc5c3cccc5)cccc4)C(CC1)CC2	1.36
A-logD7.4-409	O=C1N(c2c(cccc2)C(=N[C@H]1NC(=O)Nc1cc(Nc2nn[nH]n2)c(cc1)C)c1ccccc1)C	1.37
A-logD7.4-412	O=C1N(c2c(cccc2)C(=N[C@H]1NC(=O)Nc1cc2N(CCc2cc1)c1nn[nH]n1)c1ccccc1)C	1.38
A-logD7.4-417	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C#Cc1ccccc1)C	1.4
A-logD7.4-419	O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2O	1.4
A-logD7.4-421	Clc1cc(Cl)ccc1-c1nc(nc(N)c1CN)C	1.4
A-logD7.4-422	Clc1ccc(cc1)C(N1CCN(CC1)CCOCC(O)=O)c1ccccc1	1.45
A-logD7.4-423	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1sccc1C	1.4
A-logD7.4-424	O=C1N(c2nc(nc(c2CC1)C(C)C)C)Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1	1.41
A-logD7.4-425	Clc1ncc(cc1-c1ccc(F)nc1)[C@@H]1[C@@H]2N([C@@H](C1)CC2)C	1.42
A-logD7.4-427	n1nc(Nn2c(ccc2C)C)ccc1N1CCNCC1	1.44
A-logD7.4-429	N(CCCN1c2c(CCc3c1cccc3)cccc2)C	1.45
A-logD7.4-430	Clc1cc2c(cc(S(=O)(=O)N[C@H]3CCN([C@H](C(=O)N4CC5CC(C4)CNC5)C)C3=O)cc2)cc1	1.47
A-logD7.4-431	Clc1sc(cc1)\C=C\S(=O)(=O)N[C@H]1CCN([C@H](C(=O)N2CCOCC2)C)C1=O	1.47
A-logD7.4-433	O=C1N(c2c(cccc2)C(=N[C@H]1NC(=O)Nc1cc(ccc1)CNc1nn[nH]n1)c1ccccc1)C	1.47
A-logD7.4-434	Clc1ccc(cc1)\C=C\S(=O)(=O)N[C@H]1CCN([C@H](C(=O)N2CCOCC2)C)C1=O	1.49
A-logD7.4-435	O(CC)c1ccccc1C[C@@H](N1CCNCC1)c1ccccc1	1.5
A-logD7.4-437	O(CC)c1ccccc1C[C@H](N1CCNCC1)c1ccccc1	1.5
A-logD7.4-438	Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1sccc1	1.52
A-logD7.4-44	S1(=O)(=O)N(CCN1C)Cc1cc2c([nH]cc2CCNC)cc1	-1.71
A-logD7.4-440	Oc1ccccc1	1.54
A-logD7.4-442	OC(CN(CC(O)C)c1nnc(Nn2c(ccc2C)C)cc1)C	1.55
A-logD7.4-443	Clc1ccccc1C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)COCCN	1.67
A-logD7.4-444	O=C1N(c2c(cccc2)C(=N[C@H]1NC(=O)Nc1cc(N(C)c2nn[nH]n2)c(cc1)C)c1ccccc1)C	1.58
A-logD7.4-445	[nH]1c2CCN(Cc2cc1)Cc1ccccc1	1.59
A-logD7.4-446	Oc1cc(ccc1)[C@H](N1C[C@H](N(C[C@@H]1C)Cc1ccccc1)C)c1cc2c(CCN(C2)C(=O)C(O)=O)cc1	1.6
A-logD7.4-447	O1C(=O)c2c(N=C1N1CCCC1C(=O)N[C@@H](CC(C)C)C(=O)N)cc(N)cc2CC	1.6
A-logD7.4-448	O1C(=O)c2c(N=C1NC(C)C)cc(N)cc2CC	1.6
A-logD7.4-449	s1c2c(n(CC(=O)N(C)C)c(c2C2CCCCC2)-c2ccccc2)cc1C(O)=O	1.6
A-logD7.4-450	Clc1cc2nccc(c2cc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C	1.6
A-logD7.4-451	Clc1cc(Cl)ccc1-c1nc(OC)nc(N)c1CN	1.6
A-logD7.4-452	Clc1ccc(cc1)C(=O)n1c2c(cc(OC)cc2)c(CC(O)=O)c1C	1.61
A-logD7.4-453	Clc1cc(ccc1NC(=O)Nc1ccccc1C)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O	1.61
A-logD7.4-454	Clc1sc2S(=O)(=O)N=C(Nc2c1)NC(C)C	1.63
A-logD7.4-455	O(C)c1ccc(cc1)C[C@H](NC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](Cc1ccccc1)C(=O)N	1.63
A-logD7.4-456	Brc1ccccc1NC(=O)Nc1ccc(cc1C)CC(=O)N1C[C@@H](F)C[C@H]1COc1ccc(cc1)C(O)=O	1.64
A-logD7.4-457	O1CCN(CC1)c1nnc(N(n2c(ccc2C)C)C(=O)C)cc1	1.64
