,smiles,logS
54,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.6
55,Cc1ccccc1O,-0.62
56,CC(C)CCC(C)(C)C,-5.05
57,Cc1ccc(C)c2ccccc12,-4.14
58,Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57
59,CCCC(=O)C,-0.19
60,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15
61,CCCOC(=O)CC,-0.82
62,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68
63,Nc1ccc(O)cc1,-0.8
64,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81
65,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931
66,CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06
67,NC(=O)c1cnccn1,-0.667
68,CCC(Br)(CC)C(=O)NC(N)=O,-2.68
69,Clc1ccccc1c2ccccc2Cl ,-5.27
70,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,-3.38
71,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46
72,CC1(C)C2CCC1(C)C(=O)C2,-1.96
73,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369
74,CCCCC(=O)OCC,-2.25
75,CC(C)CCOC(=O)C,-1.92
76,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886
77,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01
78,CCCBr,-1.73
79,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003
80,COP(=S)(OC)SCC(=O)N(C)C=O,-1.995
81,Cc1ncnc2nccnc12,-0.466
82,NC(=S)N,0.32
83,Cc1ccc(C)cc1,-2.77
84,CCc1ccccc1CC,-3.28
85,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
86,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876
87,CCCN(=O)=O,-0.8
88,CC(C)C1CCC(C)CC1=O,-2.35
89,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36
90,O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48
91,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.46
92,c1ccc2c(c1)c3cccc4cccc2c34,-6.0
93,CCCOC(C)C,-1.34
94,Cc1cc(C)c2ccccc2c1,-4.29
95,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07
96,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64
97,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25
98,C1OC1c2ccccc2 ,-1.6
99,CC(C)c1ccccc1,-3.27
100,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45
101,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-5.43
102,C1OC(O)C(O)C(O)C1O,0.39
103,ClCCl,-0.63
104,CCc1cccc2ccccc12,-4.17
105,COC=O,0.58
106,Oc1ccccc1N(=O)=O,-1.74
107,Cc1c[nH]c(=O)[nH]c1=O ,-1.506
108,CC(C)C,-2.55
109,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23
110,Oc1c(I)cc(C#N)cc1I,-3.61
111,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7
112,CCCCC,-3.18
113,c1ccccc1O,0.0
114,Nc3ccc2cc1ccccc1cc2c3 ,-5.17
115,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-2.523
116,c1ccc2cnccc2c1,-1.45
117,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.432
118,CCCCCCc1ccccc1,-5.21
119,Clc1ccccc1c2ccccc2,-4.54
120,CCCC(=C)C,-3.03
121,CC(C)C(C)C(C)C,-4.8
122,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65
123,Oc1cccc(c1)N(=O)=O,-1.01
124,CCCCCCCCC=C,-5.51
125,CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6
126,CCCCc1c(C)nc(nc1O)N(C)C ,-2.24
127,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.3370000000000015
128,c1ccncc1,0.76
129,CCCCCCCBr,-4.43
130,Cc1ccncc1C,0.36
131,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43
132,CCSCc1ccccc1OC(=O)NC ,-2.09
133,CCOC(=O)CC(=O)OCC,-0.82
134,CC1=CCC(CC1)C(C)=C,-4.26
135,C1Cc2ccccc2C1,-3.04
136,CC(C)(C)c1ccc(O)cc1,-2.41
137,O=C2NC(=O)C1(CC1)C(=O)N2 ,-1.886
138,Clc1cccc(I)c1,-3.55
139,Brc1cccc2ccccc12,-4.35
140,CC/C=C/C,-2.54
141,Cc1cccc(C)n1,0.45
142,ClC=C(Cl)Cl,-1.96
143,Nc1cccc2ccccc12,-1.92
144,Cc1cccc(C)c1,-2.82
145,Oc2ncc1nccnc1n2,-1.947
146,CO,1.57
147,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
148,CCC(=O)C,0.52
149,Fc1c[nH]c(=O)[nH]c1=O ,-1.077
150,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-1.95
151,Oc1cccc(O)c1,0.81
152,CCCCCCO,-1.24
153,CCCCCCl,-2.73
154,C=CC=C,-1.87
155,CCCOC(=O)C,-0.72
156,Oc2ccc1CCCCc1c2 ,-1.99
157,NC(=O)CCl ,-0.02
158,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62
159,Cc1ccc(Cl)cc1,-3.08
160,CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253
161,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01
162,CCCCCC=O,-1.3
163,CCCCOC(=O)c1ccc(N)cc1,-3.082
164,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,-3.043
165,CC(C)=CCC/C(C)=C\CO,-2.46
166,Clc1ccc(cc1)c2ccccc2Cl ,-5.28
167,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523
168,CCN(=O)=O,-0.22
169,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124
170,Clc1ccc(Cl)c(Cl)c1Cl,-4.57
171,CCCC(C)(COC(N)=O)COC(N)=O ,-1.807
172,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.65
173,CI,-1.0
174,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13
175,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301
176,CC1=CC(=O)CC(C)(C)C1 ,-1.06
177,O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39
178,CCCCC(=O)CCCC,-2.58
179,CCC1(CCC(=O)NC1=O)c2ccccc2 ,-2.337
180,CCC(C)CC,-3.68
181,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6
182,Cc1ccccc1n3c(C)nc2ccccc2c3=O,-2.925
183,ClCC#N,-0.092
184,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000002
185,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-5.66
186,c1ccnnc1,1.1
187,Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63
188,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32
189,Nc1ccccc1O,-0.72
190,CCCCCCCCC(=O)OCC,-3.8
191,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601
192,CNC(=O)Oc1ccccc1OC(C)C,-2.05
193,CCC(C)Cl,-1.96
194,Oc1ccc2ccccc2c1,-2.28
195,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.6960000000000015
196,CCCCC#C,-2.36
197,CCCCCCCC#C,-4.24
198,Cc1ccccc1Cl,-3.52
199,CC(C)OC(C)C,-1.1
200,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094
201,CNN,1.34
202,CC#C,-0.41
203,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862
204,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408
205,C=CC=O,0.57
206,O=c1[nH]cnc2nc[nH]c12 ,-2.296
207,Oc2ccc1ncccc1c2 ,-2.16
208,Fc1ccccc1,-1.8
209,CCCCl,-1.47
210,CCOC(=O)C,-0.04
211,CCCC(C)(C)C,-4.36
212,Cc1cc(C)c(C)c(C)c1C,-4.0
213,CC12CCC(CC1)C(C)(C)O2 ,-1.64
214,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
215,Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56
216,Cc1cccnc1C,0.38
217,CC(=C)C1CC=C(C)C(=O)C1,-2.06
218,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.7360000000000015
219,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571
220,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804
221,Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82
222,c1c(Br)ccc2ccccc12 ,-4.4
223,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34
224,COc2cnc1ncncc1n2,-1.139
225,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.19
226,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658
227,CC(=C)C=C,-2.03
228,CC(C)=CCCC(O)(C)C=C,-1.99
229,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57
230,OC1CCCCC1,-0.44
231,O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16
232,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-4.16
233,OCC(O)C(O)C(O)C(O)CO ,0.06
234,Cc1ccc(cc1)c2ccccc2,-4.62
235,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85
236,NC(=S)Nc1ccccc1,-1.77
237,CCCC(=O)CCC,-1.3
238,CC(=O)C(C)(C)C,-0.72
239,Oc1ccc(Cl)cc1,-0.7
240,O=C1CCCCC1,-0.6
241,Cc1cccc(N)c1,-0.85
242,ClC(Cl)(Cl)C#N,-2.168
243,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046
244,CCCCCCCCC(=O)C,-3.3
245,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785
246,CCOC(=O)c1ccc(N)cc1,-2.616
247,Clc1ccc(Cl)c(Cl)c1,-3.59
248,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09
249,Oc1ccccc1O,0.62
250,CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.62
251,CSC,-0.45
252,Cc1ccccc1Br,-2.23
253,CCOC(=O)N,0.85
254,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,-5.35
255,CC(C)C(O)C(C)C,-1.22
256,c1ccc2ccccc2c1,-3.6
257,CCNc1ccccc1,-1.7
258,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097
259,Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02
260,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
261,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89
262,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,-7.28
263,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678
264,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89
265,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37
266,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,-4.13
267,CCCCBr,-2.37
268,Brc1cc(Br)c(Br)cc1Br,-6.98
269,CC(C)CC(=O)C,-0.74
270,CCSC(=O)N(CC)C1CCCCC1 ,-3.4
271,COc1ccc(Cl)cc1,-2.78
272,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001
273,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016
274,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04
275,Ic1cccc2ccccc12,-4.55
276,OCC(O)C(O)C(O)C(O)CO,1.09
277,CCS,-0.6
278,ClCC(Cl)Cl,-1.48
279,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09
280,NC(=O)c1ccccc1O,-1.82
281,Cc1ccccc1N(=O)=O,-2.33
282,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766
283,CCc1ccccc1C,-3.21
284,CCCCCCCCl,-4.0
285,O=C1NC(=O)NC(=O)C1(CC)CC,-2.4
286,C(Cc1ccccc1)c2ccccc2,-4.62
287,ClC(Cl)C(Cl)Cl,-1.74
288,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,-5.153
289,Cc1ccc2c(ccc3ccccc32)c1,-5.84
290,CCCCOC(=O)c1ccccc1C(=O)OCCCC ,-4.4
291,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,-4.02
292,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523
293,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282
294,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005
295,COc1ccc(cc1)N(=O)=O,-2.41
296,CCCCCCCl,-3.12
297,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16
298,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41
299,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334
300,CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.324
301,CC(Cl)Cl,-1.29
302,Nc1ccc(cc1)S(N)(=O)=O,-1.34
303,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-6.49
304,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
305,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194
306,Clc1cccc(Cl)c1Cl,-4.0
307,ClC(Cl)(Cl)Cl,-2.31
308,O=N(=O)c1cc(Cl)c(Cl)cc1,-3.2
309,OC1CCCCCCC1,-1.29
310,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999
311,CCOc1ccc(NC(N)=O)cc1,-2.17
312,C/C1CCC(\C)CC1,-4.47
313,c1cnc2c(c1)ccc3ncccc23,-2.68
314,COC(C)(C)C,-0.24
315,COc1ccc(C=CC)cc1,-3.13
316,CCCCCCCCCCCCCCCCO,-7.0
317,O=c1cc[nH]c(=O)[nH]1 ,-1.4880000000000002
318,Nc1ncnc2nc[nH]c12 ,-2.12
319,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-7.21
320,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596
321,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23
322,O=C(Nc1ccccc1)Nc2ccccc2,-3.15
323,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,-2.322
324,Clc1ccc(cc1)c2cccc(Cl)c2Cl ,-6.29
325,CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536
326,CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716
327,CCC(C)(C)CO,-1.04
328,CCCOC(=O)CCC,-1.75
329,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22
330,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2
331,C1CCCCCC1,-3.51
332,CCCOC=O,-0.49
333,CC(C)c1ccccc1C,-3.76
334,Nc1cccc(Cl)c1,-1.37
335,CC(C)CC(C)C,-4.26
336,o1c2ccccc2c3ccccc13,-4.6
337,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42
338,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43
339,c3ccc2nc1ccccc1cc2c3,-3.67
340,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11
341,OCC1OC(O)C(O)C(O)C1O,0.74
342,Cc1cccc(O)c1,-0.68
343,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,-3.5860000000000003
344,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-6.005
345,O=N(=O)c1ccc(cc1)N(=O)=O,-3.39
346,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696
347,CCCCCCCCCC(=O)OCC,-4.1
348,CN(C)C(=O)Nc1ccccc1,-1.6
349,CCCOCC,-0.66
350,CC(C)O,0.43
351,Cc1ccc2ccccc2c1,-3.77
352,ClC(Br)Br,-1.9
353,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43
354,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
355,ClCc1ccccc1,-2.39
356,C/C=C/C=O,0.32
357,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924
358,Cc1c2ccccc2c(C)c3ccccc13,-6.57
359,CCCCCC(=O)OC,-1.87
360,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328
361,CC(=O)Nc1ccc(F)cc1,-1.78
362,CCc1cccc(CC)c1N(COC)C(=O)CCl ,-3.26
363,C1CCC=CC1,-2.59
364,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09
365,c1cncnc1,1.1
366,Clc1ccc(cc1)N(=O)=O,-2.92
367,CCC(=O)OC,-0.14
368,Clc1ccccc1N(=O)=O,-2.55
369,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77
370,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877
371,O=N(=O)c1ccccc1,-1.8
372,Ic1ccccc1,-3.01
373,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,-3.78
374,COc1ccccc1OCC(O)COC(N)=O,-0.985
375,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,-4.19
376,Oc1cccc(Cl)c1Cl,-1.3
377,CCCC(=O)OC,-1.92
378,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0
379,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,-2.404
380,CCCCCC(=O)OCC,-2.35
381,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,-1.84
382,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47
383,COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478
384,CCCCCCC=C,-4.44
385,Cc1ccc(N)cc1,-1.21
386,Nc1nccs1 ,-0.36
387,c1ccccc1(OC(=O)NC),-1.803
388,CCCC(O)CC,-0.8
389,c3ccc2c(O)c1ccccc1cc2c3 ,-4.73
390,Cc1ccc2cc3ccccc3cc2c1,-6.96
391,Cc1cccc(C)c1C,-3.2
392,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36
393,CCCCCCCC(C)O,-2.74
394,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35
395,CCCC(=O)CC,-0.83
396,Oc1c(Br)cc(C#N)cc1Br ,-3.33
397,Clc1ccc(cc1Cl)c2ccccc2 ,-6.39
398,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873
399,Oc1cccc2ncccc12 ,-2.54
400,CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14
401,CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,-3.81
402,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28
403,ClCBr,-0.89
404,CCC1(CC)C(=O)NC(=O)N(C)C1=O ,-2.23
405,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.63
406,NC(=O)NCc1ccccc1 ,-0.95
407,CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.483
408,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592
409,OC1CCCCCC1,-0.88
410,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,-2.154
411,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,-3.36
412,CC(=O)Nc1nnc(s1)S(N)(=O)=O ,-2.36
413,Oc1ccc(cc1)N(=O)=O,-0.74
414,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307
415,C1CCOC1,0.49
416,Nc1ccccc1N(=O)=O,-1.96
417,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,-7.28
418,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,-3.81
419,Cc1c(cccc1N(=O)=O)N(=O)=O,-3.0
420,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42
421,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4110000000000005
422,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,-5.4
423,c1(Br)c(Br)cc(Br)cc1,-4.5
424,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,-3.952
425,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356
426,c1(O)c(C)ccc(C(C)C)c1,-2.08
427,C1SC(=S)NC1(=O),-1.77
428,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,-3.083
429,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.259
430,CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86
431,C1CCCCC1,-3.1
432,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278
433,CN(C)C=Nc1ccc(Cl)cc1C,-2.86
434,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24
435,CCCCCCCCO,-2.39
436,CCSCC,-1.34
437,ClCCCl,-1.06
438,CCC(C)(C)Cl,-2.51
439,ClCCBr,-1.32
440,Nc1ccc(cc1)N(=O)=O,-2.37
441,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-0.244
442,CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,-2.86
443,Clc1ccccc1,-2.38
444,CCCCCCCC=C,-5.05
445,Brc1ccc(I)cc1,-4.56
446,CCC(C)(O)CC,-0.36
447,CCCCCc1ccccc1,-4.64
448,NC(=O)NC1NC(=O)NC1=O ,-1.6
449,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.5710000000000015
450,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-7.2
451,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.184
452,Clc1cccc2ccccc12,-3.93
453,CCN2c1ccccc1N(C)C(=O)c3ccccc23 ,-4.749
454,CCCCC(C)O,-0.89
455,CCCC1CCCC1,-4.74
