,smiles,logP
120,O=[N+]([O-])c1cc2ccccc2nn1,0.73
121,CC(C)(C)c1ccc(C(N)=O)cc1,2.51
122,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(C)=O)C(=O)NCC(N)=O,0.34
123,CNC(=O)Oc1cccc2c1OC(C)(C)C2,2.32
124,NS(=O)(=O)c1nn2c(=Nc3ccc(F)cc3)snc2s1,2.81
125,CC1(C)SC2C(NC(=O)C(O)c3ccccc3)C(=O)N2C1C(=O)O,1.4
126,CCCN1CC(NS(=O)(=O)N(CC)CC)C=C2c3cc(O)ccc3CCC21,2.63
127,NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],-0.02
128,COc1cnc(=NS(=O)(=O)c2ccc(N)cc2)[nH]c1,0.41
129,OC1(c2ccccc2Cl)CCCCC1n1cncn1,2.68
130,COC(=O)CNC(=O)c1ccc(N)cc1,-0.23
131,O=C1CCC2CCCCC2C1,1.97
132,NC(Cc1ccc(O)cc1)C(=O)O,-2.15
133,CN(c1ccccn1)S(=O)(=O)c1ccc(N)cc1,1.3
134,Cc1c(-c2ccccc2)oc2ccccc2c1=O,3.92
135,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO,3.08
136,NC(=S)c1cccs1,1.34
137,CC(C)OC(=O)CS(=O)c1ccc(Cl)cc1[N+](=O)[O-],2.22
138,CNC12CCCCC1CC(O)c1ccccc12,1.84
139,CCOC(=O)c1c(OC)cc(Cc2c[nH]c(=N)[nH]c2=N)cc1OC,1.25
140,COc1ccc(C(=O)OCC2OC(n3cnc4c(OC)ncnc43)C2OC(=O)c2ccc(OC)cc2)cc1,3.65
141,N=c1[nH]c(=S)c2ncn(C3CC(O)C(CO)O3)c2[nH]1,-0.675
142,Nc1ccc(Cl)cc1[N+](=O)[O-],2.72
143,CC(C)NCC(O)COc1cccc2c1N(C(=O)c1cccnc1)CCC2,1.63
144,CCC(C)[N+](=O)[O-],1.2
145,Cc1cc(O)c(C)c(C)c1O,1.69
146,N=c1ccn(C2C=CC(CO)O2)c(=O)[nH]1,-1.55
147,NC(=O)N=[N+]([O-])c1ccccc1,0.58
148,O=Cc1cc(O)cc(Br)c1,2.5
149,CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,3.82
150,O=[N+]([O-])c1cc(C(F)F)c(N=c2[nH]cc(C(F)(F)F)cc2Cl)c([N+](=O)[O-])c1,3.52
151,CCC(C)NP(=O)(OC)SC,0.95
152,Oc1ccc(F)c2cccnc12,2.3
153,CC1=NS(=O)(=O)c2cccc(C)c2N1,0.52
154,NC(C(=O)O)C1CCCC1,-1.31
155,CC(C)CN=C=S,2.82
156,Cc1c(C(N)=O)no[n+]1[O-],0.03
157,COc1ccc(NC(=O)C=Cc2ccc(O)c(O)c2)cc1OC,2.3
158,CC(=O)Nc1ccc(Cl)cc1F,1.91
159,COc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3[nH]2)cc1,3.48
160,CCN(C)N=Nc1ccccc1C(N)=O,2.59
161,OCCc1ccccn1,0.12
162,NS(=O)(=O)c1ccc(S(=O)(=O)CCCO)s1,-0.36
163,N#CCCOc1ccccc1,1.61
164,OCc1cc(Cl)cc(Cl)c1,2.9
165,CN(Cc1ccccc1)N=Nc1ccc(C(N)=O)cc1,2.76
166,CN(c1ccccc1)c1ccccc1,3.9
167,CC1CCCC(C)N1N=O,1.36
168,Brc1ccccn1,1.42
169,CC(N)C(=O)O,-2.96
170,COc1cccc(Cl)c1C(N)=O,0.59
171,CCCc1ccc(OC(=O)NC)cc1,2.72
172,CCOC(=O)C(C=CCc1ccccc1)=NC=O,2.91
173,c1ccc2nc3ccc4ccccc4c3cc2c1,4.48
174,Cc1c(Sc2ccccc2)no[n+]1[O-],2.63
175,CCOc1ccc(NC(=O)OCCC#N)cc1OCC,2.07
176,CC(=O)Nc1ccc(C(C)(C)C)cc1,3.05
177,Cc1cc(=O)[nH]c(C(C)C)n1,0.55
178,COC(=O)Nc1ccc(Cl)c(Cl)c1,3.32
179,CSc1nc2c(=N)[nH]cnc2n1C1OC2CO[PH](=O)(=O)OC2C1O,-2.03
180,O=C(O)CCC(S)CCS,1.4
181,CCC(C)NOc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.8
182,Cc1cnc(C)c(Cl)n1,1.5
183,CNC(=O)Oc1cc(C)cc(C(C)C)c1,3.1
184,CC(=O)OCCN1C(=O)C(OC(C)=O)N=C(c2ccccc2)c2cc(Cl)ccc21,2.74
185,Cc1ccncc1,1.22
186,CCCCCCOc1ccccc1NC(=O)OC1CCCCC1CN(C)C,5.9
187,CCCc1cc(=O)ss1,2.24
188,[O-][n+]1cccc2ccccc21,0.36
189,CC(C)(C)n1ccnc1C=NO,0.85
190,CCOP(=S)(OCC)Oc1ccc(SC)cc1,4.16
191,CCN(CC)CC(=O)NCc1ccccc1,2.14
192,O=C(OCn1ncc2c(=O)[nH]cnc21)c1cccc(Cn2ccnc2)c1,0.97
193,CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C,2.1
194,COC(=O)C1C(C=C(C)C)C1(C)C,3.76
195,Cc1cc(OCCN(C)C)c(C(C)C)cc1OS(=O)(=O)C12CCC(CC1=O)C2(C)C,4.37
196,Nc1cc(Cl)c(Cl)c(Cl)c1Cl,4.27
197,NC(=S)NN=Cc1ccco1,1.64
198,COc1cc(OC)[nH]c(=NC(=O)NS(=O)(=O)Nc2ccccc2C(=O)C2CC2)n1,2.05
199,CNC(=O)ON=C1SCOC1CCOC,0.51
200,CCNC1CC2CC1c1ccccc12,2.67
201,C=C1C(=O)OC2CC(C)C3CC(=O)C(CC12)C1(C3)C(=O)OC2CC(C)=C3CCC(=O)C3C(C)(O)C21,1.66
202,Clc1ccc(-c2ccccc2Cl)cc1Cl,5.87
203,CC(=O)Nc1cc(C(C)(C)C)c(O)cc1C,2.18
204,O=Cc1ccc(OCC(=O)O)cc1,0.79
205,COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1I,2.09
206,NC(=S)NNCc1ccc2c(c1)OCO2,0.14
207,CC(=O)Nc1cc(Cl)cc(Cl)c1,3.17
208,CC(=O)OC1=C2C(C)C(OC(=O)C(O)Cc3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C1=O)C2(C)C,2.9
209,c1ccc2c(c1)Nc1ccccc1O2,3.85
210,C=CC(C)(O)CCC=C(C)C,2.97
211,NC(=S)c1ccccn1,1.24
212,O=[N+]([O-])CC1=NCCCN1Cc1ccc(Cl)nc1,-0.62
213,Cc1cc([N+](=O)[O-])ccc1NN=C(C#N)C#N,3.55
214,CCNC(=O)c1cccn1C,1.09
215,O=C(O)Cc1ccc(OCCc2ccccc2)c(Cl)c1,3.53
216,CC(=O)C=Cc1ccccc1F,2.34
217,O=S1(=O)CCCC1,-0.77
218,CN(SN(C)C(=O)c1ccc(Cl)cc1Cl)C(=O)Oc1cccc2c1OC(C)(C)C2,4.9
219,ClC1=CC(Cl)C(Cl)C(Cl)C1Cl,3.762
220,CCC(C)(C)C(=O)O,1.9
221,c1ccc(Sc2ccccc2)cc1,4.45
222,CC1(C)CC(NC(=O)NP(=O)(N2CC2(C)C)N2CC2(C)C)CC(C)(C)N1,0.55
223,N#Cc1ccc([N+](=O)[O-])cc1,1.19
224,C=CCOc1ccccc1C(=C)n1ccnc1,2.79
225,Cc1nc([N+](=O)[O-])c(Cl)n1C,0.34
226,CCCc1cccc(OCC(=O)O)c1,2.71
227,Nc1cccc(Br)c1,2.1
228,CCCc1ssc(=S)c1CC,3.76
229,ClC1C(Cl)C(Cl)C(I)C(Cl)C1Cl,4.005
230,CSc1nnc(C(C)C)c(=O)n1N,1.01
231,OC(c1ccc(F)cc1)(c1cncnc1)c1ccccc1Cl,3.18
232,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],4.1
233,CCOC(=O)CCCN1C(=O)C=CC1=O,0.67
234,COc1cc(C(=O)C=CN2CC=CC2)cc(OC)c1OC,1.77
235,CCCCc1ccc(NC(C)=O)c([N+](=O)[O-])c1,3.1
236,CCCCNC(=O)NN,-0.6
237,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.9
238,CCCc1cccc(-c2c[nH]c(SCCc3c[nH]cn3)n2)c1,3.7
239,OCC1OC(OCc2ccccc2)C(O)C(O)C1O,-0.7
240,CC(=O)c1ccc(O)c2ncccc12,1.8
241,CCOP(=O)(N=C1SCC(C)S1)OCC,1.04
242,CC(=O)C=Cc1ccc(Cl)cc1,2.8
243,FC(F)(F)CN(CC(F)(F)F)c1ccccc1,3.69
244,CNC(=O)Oc1ccc(C#N)cc1,0.95
245,O=C(OC1CCCCC1)n1cc(F)c(=O)[nH]c1=O,1.42
246,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,0.89
247,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,1.98
248,c1ccc2c(c1)CCc1ccccc1-2,4.52
249,CCOCCOCCOP(=O)(N1CC1)N1CC1,0.1
250,COc1cccc(OC)c1C(=O)N=c1[nH]nc(-c2ccc(F)cc2)s1,3.5
251,CC(C)(C)C(=O)OCOc1ccccc1C(N)=O,2.0
252,CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)NC1CCCCC1,3.54
253,COc1ccccc1N1CCN(CCCOc2ccc(F)cc2)CC1,4.1
254,ClC1CC(Cl)C(Cl)C(Cl)C1Cl,3.45
255,CN(C)C(N(C)C)=S(I)c1ccc(Cl)c(Cl)c1,0.49
256,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,2.03
257,O=C(NCC(O)CO)Nc1ccccc1,0.28
258,CCCc1ccc([N+](=O)[O-])cc1,3.45
259,BrCCCBr,2.37
260,Oc1ccc(I)c2cccnc12,3.27
261,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,4.48
262,O=c1[nH]c(=Nc2ccccc2)[nH]c2c1ncn2CC(O)CSCCO,0.83
263,Cc1cc2occ(C)c2c2oc(=O)ccc12,3.02
264,COc1cc(C(O)CN)ccc1O,-1.05
265,O=C(O)CCC1=NS(=O)(=O)c2ccc(Cl)cc2N1,0.72
266,O=C(CN1CCCCC1)Nc1ccc([N+](=O)[O-])cc1,2.72
267,COc1cc(Cl)cc(Cl)c1,3.8
268,CCOC(=O)c1ccccc1C(=O)OCC,2.4450000000000003
269,CCC(C)NC(=O)C=C(SC)c1ccccc1,3.03
270,CC(=O)Nc1c(F)ccc(C(F)(F)F)c1Br,2.22
271,O=C(O)C(CO)c1ccccc1,0.77
272,CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,-0.26
273,O=c1cncc[nH]1,-1.49
274,O=[N+]([O-])OCCOCCO[N+](=O)[O-],0.98
275,COc1c(Br)cc(Br)cc1Br,4.48
276,N=c1[nH]cc(Cc2ccccc2OCC(N)=O)c(=N)[nH]1,-0.34
277,NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)NC(C(Cl)Cl)N2,0.51
278,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,1.71
279,O=C(O)CBr,0.41
280,O=[N+]([O-])c1cc2ccccc2[n+]([O-])c1,0.56
281,CCOC(=O)c1ccc(S(N)(=O)=O)cc1,1.17
282,COc1ccc2cc(C(C)C(=O)Oc3ccccc3)ccc2c1,5.17
283,CN(C)P(=O)(N1CCCC1)N1CCCC1,1.88
284,Cc1ccc(OC(=O)c2ccc(N)cc2O)cc1,3.38
285,OC1(c2ccc(Cl)cc2)CCCCCC1n1cncn1,3.28
286,Nc1cc(Cl)ccc1Cl,2.75
287,COc1ccc(OCC2CN=C(N)O2)cc1,1.26
288,Cc1ccc(N2CCN(CC3CN=C(N)O3)CC2)cc1,1.23
289,COc1ccccc1N1CCN(CCNC(=O)c2ccco2)CC1,1.6
290,O=[N+]([O-])c1ccc2cccccc1-2,2.59
291,Cc1cnnc2cc(Cl)ccc12,1.98
292,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,2.16
293,NC(=O)N/N=C/c1ccccc1,1.27
294,O=CC=CC#CC#Cc1ccccc1,3.09
295,CN(C)C(=O)Nc1ccc(Oc2nnnn2C(C)(C)C)cc1,1.65
296,CC(=O)OC1=C2C(C)C(OC(=O)C(C)O)CC2(C)C(C)(O)C(OC(=O)c2ccccc2)C2C3(OC(C)=O)COC3CC(O)C2(C)C1=O,1.52
297,c1ccc2c(c1)CCC2,3.18
298,CCc1ccc(OC(C)=O)cc1,2.56
299,COc1ccc2c(c1)=C(c1ccccc1)NCC(=O)N=2,2.24
300,CCC(=O)C(CS(=O)(=O)c1ccc(C)cc1)c1ccc(Cl)cc1,3.43
301,CC(=O)N(CCCl)c1ccc(CC(=O)O)cc1,1.2
302,COc1ccc(N(C)C(C)=O)cc1,0.72
303,COC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,3.0
304,COP(=O)(OC)OC(C)=CC(=O)N(C)C,-0.245
305,COc1cncnc1,0.07
306,Cc1ccc(CO)cc1,1.58
307,COCC(C)OC,-0.09
308,O=C(O)C=COc1ccccc1Cl,2.69
309,CN1CC=C(c2cccs2)CC1,2.51
310,COC(=O)NC1=NCC(c2cccc(Cl)c2)N1C,2.1
311,OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(Cl)cc32)CC1,4.18
312,N=c1cc[nH]nc1,-0.53
313,CC(=O)N=c1[nH]c(=O)c2ncn(COCCOC(C)=O)c2[nH]1,-0.85
314,NC(=O)COc1ccc(OCCNCC(O)COc2ccccc2)cc1,1.1
315,CCc1c(O)c(=O)ccn1CCOC,0.04
316,O=c1[nH]c(=O)n(C2CCCO2)cc1F,-0.27
317,C=C1C(=O)OC2C1C(OC(=O)C(C)=CC)CC(=C)C1C(O)C3OC3(C)C21O,1.69
318,CCOC(=O)C(=Cc1c(Cl)cccc1Cl)C(C)=O,2.86
319,CNC(=O)ON=C(C)C(C)SC,1.1
320,CCN(CC)CCc1cccnc1,1.23
321,COC(=O)Nc1ccccc1I,2.44
322,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,3.2
323,CCc1ccc(OCc2ccccc2CCCN2CCC(O)CC2)cc1,3.75
324,CC(=O)Nc1cccc(O)c1,0.73
325,CC(C)(C)C1(O)CCN2CC3c4ccccc4CCc4cccc(c43)C2C1,5.2
326,COc1cc(OC)c(OC)cc1CC(C)N,1.74
327,CCOCCCn1ccc(=O)c(O)c1C,0.12
328,Cc1ccc(C)c(Oc2cccc(C(=O)NC(C)C)c2)c1,4.35
329,c1cc2ccc3cccc4sc(c1)c2c34,4.95
330,COC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc2nonc12,4.28
331,N=c1[nH]o[n+]([O-])c1-c1ccccc1,1.47
332,C[N+](C)(C)[N-]C(=O)c1ccc([N+](=O)[O-])cc1,-0.15
333,COc1cc(-n2c(=O)cc(C)n2C)nc(C)n1,0.7
334,CC(=NOCC(=O)O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],4.3
335,O=[N+]([O-])c1cccc(C2NCCS2)c1,1.59
336,COc1cccc(NC(=O)CN2CCCCC2)c1,2.71
337,CC(=O)Nc1cc(O)n(-c2ccccc2)c1O,-0.33
338,CNC1CC2CCC1c1ccccc12,2.635
339,CCSC(=Cc1ccccc1)C(=O)NC(C)CC,3.4
340,CN(C)N=Nc1ccccc1C(=O)NCC#N,1.79
341,O=C1C=NC(c2ccccc2)c2ccc(C(F)(F)F)cc2N1,3.18
342,O=NN(CCCl)C(=O)Nc1ccc(Cl)cc1,3.16
343,Nc1ccc(Cl)cc1C(=O)O,1.57
344,CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,3.9
345,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,2.2
346,CCCCC(NC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)NC(CC1CCCCC1)C(O)CC(C(=O)NCCCNCCO)C(C)C,3.5
347,O=C(CO)NCc1ccccc1,0.55
348,CNC(=S)NCC#CCC(NC(=O)C(Cc1ccc2ccccc2c1)Cc1cccc2ccccc12)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,5.46
349,Cc1cccc2sc3nncn3c12,1.7
350,CCCCOc1ccccc1NC(=O)OCCN1CCOCC1,3.25
351,OC(Cn1ccnc1)(c1cccc(Br)c1)c1ccc(F)cc1F,3.6
352,CCCOC(=O)C(N)Cc1ccc(O)c(O)c1,0.76
353,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,3.6
354,Nc1ccc(C(=O)O)c(I)c1,1.65
355,Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O,-0.37
356,COc1ccc2ccccc2c1,3.47
357,N#Cc1ccc(NC(=O)Cc2ccccc2)cc1,2.82
358,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,4.04
359,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,6.23
360,CN(C)NC(=O)CCC(=O)O,-1.5
361,CCOC(=O)CON=Cc1ccc(OCC(=O)OCC)c(OC)c1,1.87
362,CCc1cc(S(=O)(=O)O[Na])c2cc(C(C)C)cccc1-2,-0.74
363,OCc1nonc1-c1ccccc1,1.92
364,OC1CCN(CCCc2ccccc2COc2ccc(F)cc2)CC1,3.3
365,O=C(CCl)Nc1ccc(Cl)c(Cl)c1,3.29
366,CCOC(=O)C(=Cc1ccc(OC)cc1)C(=O)OCC,3.28
367,C=CC(=O)OCCCC,2.36
368,CC(C)N=c1[nH]c(Cl)nc(=NCCO)[nH]1,0.78
369,O=[N+]([O-])c1nccn1CC(O)COCC(F)(F)F,0.52
370,O=[N+]([O-])C=Cc1ccc(Cl)cc1Cl,3.26
371,Cc1cc2c(cc1Cc1c[nH]c(=N)[nH]c1=N)OCO2,1.89
372,CN(C)C=C1OC(=O)C(C#N)=C1c1ccccc1,1.07
373,NC(Cc1ccc(F)cc1)C(=O)O,-1.89
374,COc1cccc(C2(O)CCCCC2CN(C)C)c1,2.57
375,CC12CCC(OS(=O)(=O)O)CC1CCC1C2CCC2(C)C(c3coc(O)c3)CCC12O,-0.175
376,CNP(=O)(OC)Oc1cccc(C(C)(C)C)c1,2.65
377,ClCC1CO1,0.45
378,Cc1cnc2ccccc2c1,2.53
