logP,Temperature,smiles
4.27,25.0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
0.78,,COc1cc(CCN)cc(OC)c1OC
4.63,,CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12
1.17,25.0,CN1CCCC1c1cccnc1
-1.05,,NC(Cc1c[nH]c2ccccc12)C(=O)O
0.04,,O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1
-1.43,,O=C(O[Na])c1ccccc1O
-2.14,,O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1
2.03,,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
3.17,,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C
-0.96,,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I
-0.27,,CC(N)C(O)c1cccc(O)c1
3.0,,CC(C)NCC(O)c1ccc2ccccc2c1
-0.7,,NNC(=O)c1ccncc1
0.42,,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
0.37,,CC(C)NNC(=O)c1ccncc1
0.14,,C1CCc2nnnn2CC1
0.48,,CCN(CC)N=O
0.64,,NC(=O)c1ccccc1
0.32,,O=C(O)c1ccncc1
4.09,25.0,COP(=S)(OC)Oc1ccc(SC)c(C)c1
0.08,25.0,N=C(N=C(N)NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1
1.62,,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
1.17,,CC(C)OP(=O)(F)OC(C)C
-0.52,,CS(=O)(=O)OCCCCOS(C)(=O)=O
-3.17,25.0,NCCCC(=O)O
2.83,,ClC(Cl)(Cl)Cl
1.98,,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
3.83,25.0,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
-3.21,25.0,NCC(=O)O
-2.85,25.0,CC(N)C(=O)O
-3.07,25.0,NC(C=O)C(O)O
3.08,,CC(=O)OCC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C
6.42,,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3
5.07,,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
3.44,25.0,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
5.76,,c1ccc2cc3c(ccc4ccccc43)cc2c1
1.09,,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12
4.13,,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1
1.14,25.0,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
-1.76,25.0,OCC(O)CO
-3.89,,NC(CC(=O)O)C(=O)O
-3.64,25.0,NC(=O)CCC(N)C(=O)O
-3.69,25.0,NC(CCC(=O)O)C(=O)O
-3.05,25.0,NCCCCC(N)C(=O)O
-5.08,,NC(CSSCC(N)C(=O)O)C(=O)O
1.03,,NCc1ccc(C(=O)O)cc1
7.17,,CCCCCCCCCCCCCCCC(=O)O
8.23,,CCCCCCCCCCCCCCCCCC(=O)O
-2.11,25.0,NC(N)=O
2.03,,CC(C)(O)C(Cl)(Cl)Cl
1.93,,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46
0.89,25.0,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
2.47,,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
2.72,,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
2.07,25.0,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
0.65,25.0,CCC1(CC)C(=O)NC(=O)NC1=O
1.58,,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C
-3.7,,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
0.7,,CCCC(C)(COC(N)=O)COC(N)=O
-0.92,,CC(O)CO
-0.62,,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
3.67,,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
3.21,,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
-1.22,,N=C(N)NS(=O)(=O)c1ccc(N)cc1
0.89,,Cc1cc(C)[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1
6.16,,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
3.87,,CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C
2.3,,O=c1c(CCS(=O)c2ccccc2)c(O)n(-c2ccccc2)n1-c1ccccc1
5.8,,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
2.3,,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3
-0.07,25.0,Cn1c(=O)c2c(ncn2C)n(C)c1=O
2.69,,CCc1[nH]c(=N)[nH]c(=N)c1-c1ccc(Cl)cc1
1.0,,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
3.36,,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
3.99,,CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC32)CC1=O
3.32,,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
2.44,,CN=C1C=[N+]([O-])C(c2ccccc2)c2cc(Cl)ccc2N1
2.2,,CC1=CC(=O)c2ccccc2C1=O
4.76,,CN(C)CC(CN1c2ccccc2Sc2ccccc21)N(C)C
4.88,,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
4.2,,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
4.55,,CN(C)CCCN1c2ccccc2Sc2ccccc21
-1.05,,N=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O
-2.1,,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O
-2.2,,CC(=O)OC=C1CSC2C(NC(=O)Cc3cccs3)C(=O)N2C1C(=O)O[Na]
3.27,,CN(C)CCOC(c1ccccc1)c1ccccc1
2.95,,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
3.72,,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
4.45,,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
-0.07,,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
-0.24,,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
-1.98,,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1
-1.85,,CN(Cc1cnc2[nH]c(=N)[nH]c(=N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
0.99,,CCOc1cc(N)ccc1C(=O)O
-0.29,,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br
0.33,,CCN(CC)C(=O)c1cccnc1
1.26,,O=c1ccc2ccccc2[nH]1
1.68,,Nc1ccc(S(=O)(=O)N=c2cnc3ccccc3[nH]2)cc1
-0.31,,CNCC(O)c1cccc(O)c1
2.14,,CCN(CC)CCOC(=O)c1ccc(N)cc1
1.41,,Cc1ccccc1OCC(O)CO
1.16,,Oc1cc2ccccc2[nH]1
1.16,,O=c1[nH]c2ccccc2o1
3.1,,Cc1cc(O)ccc1Cl
3.32,,CC(C)NCC(O)c1ccc(Cl)c(Cl)c1
1.49,,Cc1cc(C(=O)NNCc2ccccc2)no1
-0.26,,CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1
0.36,,O=C(O)c1cccnc1
0.23,,NC(=O)NN=Cc1ccc([N+](=O)[O-])o1
-0.44,,O=NN1CCOCC1
-2.39,,NC(Cc1ccc(O)c(O)c1)C(=O)O
2.65,,c1ccc(CC2=NCCN2)cc1
3.41,,Nc1ccc(N=Nc2ccccc2)cc1
4.58,,CN(C)c1ccc(N=Nc2ccccc2)cc1
1.36,,OCCc1ccccc1
-1.89,,NC(Cc1ccc(F)cc1)C(=O)O
-2.26,,NC(Cc1ccc(O)cc1)C(=O)O
-1.76,,Cn1cc(O)[nH]c1=N
0.89,,CCOCC
-2.95,,NCCCCCC(=O)O
7.05,,CCCCCC=CCC=CCCCCCCCC(=O)O
-1.05,,CNN
-1.26,,CC(N)=O
0.78,,CNC(=O)CSP(=S)(OC)OC
-1.3,,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3CC12
-0.34,,Cn1cc[nH]c1=S
5.4,,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
0.38,,Cc1cc(=O)n(-c2ccccc2)n1C
4.81,,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
5.94,,CCN(CC)CCN1c2ccccc2Sc2ccc(Cl)cc21
-2.96,,N=c1[nH]cnc2c1ncn2C1OC2CO[PH](=O)(=O)OC2C1O
4.68,,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
4.9,,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
1.22,,COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
1.83,,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O
0.95,,O=C1NCCN1c1ncc([N+](=O)[O-])s1
5.12,,Cc1cccc(Nc2ccccc2C(=O)O)c1C
2.48,,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
-0.89,,Nc1ccc(C(=O)NCC(=O)O)cc1
2.46,,N=c1[nH]c2cc(Cl)ccc2o1
-1.52,,CC(C)CC(N)C(=O)O
1.89,,O=C(O)c1ccc([N+](=O)[O-])cc1
-0.8,,COC(CNC(N)=O)C[Hg]Cl
0.71,,CC(=O)O[Hg]c1ccccc1
1.58,,CCOc1ccc(NC(C)=O)cc1
0.9,,Nc1ccccc1
-0.26,,CC(N)=S
-1.08,,NC(N)=S
1.86,,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
1.47,,COP(=O)(OC)OC=C(Cl)Cl
-0.57,,CN(C)N=O
2.75,,CC12CCC3C(CC=C4CC(=O)CCC43C)C1CCC2=O
2.36,,CNC(=O)Oc1cccc2ccccc12
-1.87,,CSCCC(N)C(=O)O
-0.62,,Nc1ccc(S(N)(=O)=O)cc1
0.35,,COC(=O)C1=CCCN(C)C1
-2.74,,NC(Cc1ccc(O)c(O)c1)C(=O)O
-1.38,,NC(Cc1ccccc1)C(=O)O
0.87,,NC(=O)NC(=O)Cc1ccccc1
1.29,,Cc1cccc(NC(N)=O)c1
2.63,,CNC(=O)Oc1cccc(C(C)C)c1
1.41,,NCCc1ccccc1
0.83,,NC(=O)Nc1ccccc1
1.77,,COc1ccc(CC(C)N)cc1
-0.31,,CCO
-0.54,,O=CO
-0.17,,CC(=O)O
3.13,,CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C
1.14,,CCOS(=O)(=O)OCC
2.34,,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
2.88,,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12
1.3,,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
-0.77,,Cc1ncc(CO)c(CO)c1O
1.28,,NC(=O)c1ccccc1O
-2.51,,N=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1
0.89,,Nc1ccc(C(=O)O)c(O)c1
-0.62,,Cc1c[nH]c(=O)[nH]c1=O
1.87,,O=C(O)c1ccccc1
-0.83,,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
-1.07,,O=c1cc[nH]c(=O)[nH]1
1.78,,CCCCCC=O
0.64,,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2c1coc(O)c1
1.78,,c1cnc2c(c1)ccc1cccnc12
2.07,,O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12
2.38,,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
0.55,,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
1.67,,O=c1ccc2cc3ccoc3cc2o1
-0.47,,O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1
-0.04,,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1
1.01,,Cc1cc(C)[nH]n1
-1.47,,O=c1cc(O)[nH]c(=O)[nH]1
-0.77,,CO
0.05,,CC(C)O
-0.24,,CC(C)=O
1.97,,ClC(Cl)Cl
-1.35,,CS(C)=O
-1.41,,CS(C)(=O)=O
4.14,,ClC(Cl)(Cl)C(Cl)(Cl)Cl
2.48,,CC1(C)OC2CC3C4CC(F)=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
1.92,,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C
0.09,,O=C(O)CS
-1.01,,CN(C)C=O
2.97,,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C
5.68,,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO
-0.09,,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1
4.62,,ClC(Cl)(Cl)c1ccc(C(Cl)(Cl)Cl)cc1
-0.13,,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1
3.17,,CC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C
4.36,,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
-0.8,,N=c1[nH]cnc2c1ccn2C1OC(CO)C(O)C1O
1.35,,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
-3.1,,OCC(O)C(O)C(O)C(O)CO
2.26,,O=C(O)c1ccccc1O
-1.7,,NC(C(=O)O)c1ccccc1
-2.17,,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1
-0.46,,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F
2.19,,O=C(CBr)c1ccccc1
-4.22,,NCCCC(N)C(=O)O
7.54,,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
-3.82,,NC(=O)CC(N)C(=O)O
0.82,,Cc1ccc(S(N)(=O)=O)cc1
2.03,,CCC(=O)c1ccc(O)cc1
-3.32,,NC(Cc1c[nH]cn1)C(=O)O
0.25,,CCCO
-1.73,,N=c1cc[nH]c(=O)[nH]1
-1.87,,O=c1nc[nH]c(=O)[nH]1
0.88,,CCCCO
1.51,,CCCCCO
2.13,,c1ccccc1
2.49,,CC(Cl)(Cl)Cl
1.85,,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
0.05,,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1
-2.26,,CC(C)C(N)C(=O)O
-2.94,,CC(=O)C(N)C(O)O
5.2,,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
5.08,,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
6.02,,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
6.51,,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
4.51,,CNCCC=C1c2ccccc2CCc2ccccc21
-1.06,,NC(Cc1c[nH]c2ccccc12)C(=O)O
-1.7,,CCC(C)C(N)C(=O)O
1.89,,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
2.65,,O=C(O)c1ccc(Cl)cc1
-4.2,,N=C(N)NCCCC(N)C(=O)O
1.09,,C
1.19,,CBr
1.81,,CC
1.13,,C=C
0.37,,C#C
0.91,,CCl
1.51,,CI
-0.57,,CN
-0.25,,C#N
1.7,,BrCBr
1.61,,CCBr
1.41,,ClCBr
2.36,,CCC
0.94,,C#CC
1.43,,CCCl
2.0,,CCI
-0.13,,CCN
-0.34,,CC#N
-0.34,,CC=O
1.25,,ClCCl
0.2,,FCF
2.3,,ICI
-1.51,,NC=O
1.94,,S=C=S
1.72,,C1CC1
-0.3,,C1CO1
2.4,,BrC(Br)Br
2.14,,CC(C)Br
2.0,,ClC(Cl)Br
2.76,,CC(C)C
1.9,,CC(C)Cl
2.89,,CC(C)I
0.26,,CC(C)N
1.79,,CC(Cl)Cl
2.13,,C=C(Cl)Cl
0.75,,CC(F)F
1.24,,C=C(F)F
1.55,,FC(Cl)Cl
1.08,,FC(F)Cl
0.64,,FC(F)F
0.16,,CN(C)C
-0.35,,C[N+](=O)[O-]
0.03,,CC1CO1
1.86,,FC(F)(F)Br
0.4,,CC(C)(C)N
0.35,,CC(C)(C)O
2.53,,FC(Cl)(Cl)Cl
2.16,,FC(F)(Cl)Cl
1.65,,FC(F)(F)Cl
1.18,,FC(F)(F)F
2.97,,C[Pb](C)(C)C
3.24,,C[Si](C)(C)C
2.1,,OCC(Br)(Br)Br
3.82,,CCC(C)(C)C
1.31,,CC(C)(C)CO
0.89,,CCC(C)(C)O
0.99,,O=CC(Cl)(Cl)Cl
0.41,,OCC(F)(F)F
1.2,,CC(=O)C(C)(C)C
1.48,,CC(C)(C)C(=O)O
0.78,,CC(Cl)(Cl)C(=O)O
3.22,,ClC(Cl)C(Cl)(Cl)Cl
1.33,,O=C(O)C(Cl)(Cl)Cl
2.09,,O=[N+]([O-])C(Cl)(Cl)Cl
3.16,,FC(F)(Cl)C(F)(Cl)Cl
2.82,,FC(F)(Cl)C(F)(F)Cl
2.0,,FC(F)(F)C(F)(F)F
2.38,,CC12CCC(CC1=O)C2(C)C
2.53,,CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
2.21,,COC(F)(F)C(Cl)Cl
0.83,,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5
2.38,,CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3(F)C(O)CC21C
6.1,,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
1.19,,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341
1.51,,C=CCC1(C2C=CCC2)C(=O)NC(=O)NC1=O
1.97,,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
2.1,,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
2.85,,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
0.97,,CCC1(C(C)C)C(=O)NC(=O)NC1=O
5.25,,ClC(c1ccccc1)(c1ccccc1)c1ccccc1
3.68,,OC(c1ccccc1)(c1ccccc1)c1ccccc1
3.53,,O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1
2.3,,O=C(O)C(O)(c1ccccc1)c1ccccc1
0.91,,CC1(c2ccccc2)C(=O)NC(=O)NC1=O
3.93,,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
1.15,,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
0.24,,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O
3.11,,CN1CCC23CCCCC2C1Cc1ccc(O)cc13
2.41,,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
4.69,,c1ccc(C2(N3CCCCC3)CCCCC2)cc1
2.83,,CCC(=O)OC1(c2ccccc2)CCN(C)CC1C
1.9,,CCC1(c2ccccc2)CCC(=O)NC1=O
3.23,,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
1.73,,CCCCC1(CC)C(=O)NC(=O)NC1=O
2.46,,CCCCCCC1(CC)C(=O)NC(=O)NC1=O
1.5,,CCC1(CC)C(=O)NC(=S)NC1=O
0.85,,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
5.04,,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
3.12,,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC
1.54,,CCC(Br)(CC)C(=O)NC(N)=O
0.38,,CCC1(C)CC(=O)NC1=O
-0.48,,CC1(C)NC(=O)NC1=O
0.38,,CCOP(=O)(C#N)N(C)C
-1.64,,O=C(O)CC(O)(CC(=O)O)C(=O)O
-1.48,,CCC(CO)(CO)CO
4.15,,CC[Pb](CC)(CC)CC
1.73,,C#CC1(O)CCCCC1
0.66,,CCOP(=O)(CC)OCC
0.8,,CCOP(=O)(OCC)OCC
5.7,25.0,CCCCSP(=O)(SCCCC)SCCCC
3.75,,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
1.7,,CC1=CC(=O)CC(C)(C)C1
0.61,,CCO[Si](C)(C)OCC
1.1,,CC(C)(C#N)N=NC(C)(C)C#N
2.97,,C=CC(C)(O)CCC=C(C)C
2.42,,C=CC(=C)C
0.73,,CC(C)CN
0.46,,CC(C)C#N
0.76,,CC(C)CO
2.33,,CCC(C)Cl
1.98,,CC(Cl)CCl
0.61,,CCC(C)O
0.29,,CCC(C)=O
-0.96,,CC(O)CN
-0.94,,CC(O)C#N
1.89,,ClCC(Cl)Cl
2.42,,ClC=C(Cl)Cl
-0.66,,CCC(N)=O
-0.67,,C=CC(N)=O
-0.53,,NC(=O)CCl
0.41,,O=C(O)CBr
0.33,,CCC(=O)O
0.35,,C=CC(=O)O
0.22,,O=C(O)CCl
-1.11,,O=C(O)CO
-1.05,,CNC(C)=O
0.18,,COC(C)=O
0.18,,CC[N+](=O)[O-]
3.42,,CC(C)C(C)C
0.94,,CC(C)C(=O)O
2.39,,ClC(Cl)C(Cl)Cl
