smiles,logP
O=c1[nH]cc(Br)c(=O)[nH]1,-0.21
O=c1[nH]cc(F)c(=O)[nH]1,-0.89
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1.67
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,0.98
O=C(O)C1CC(O)CN1,-3.17
O=C(O)c1cc(Cl)cc(Cl)c1,3.0
NCC(O)c1ccc(O)c(O)c1,-1.24
CNCC(O)c1ccc(O)c(O)c1,-1.37
O=C(O)c1ccc(Cl)c(Cl)c1,3.25
NCCc1c[nH]cn1,-0.7
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,1.83
NCCc1ccc(O)c(O)c1,-0.98
CC(N)Cc1ccccc1,1.76
COc1ccc(NC(C)=O)cc1,1.03
CN(CCCl)CCCl,0.91
CCOC(N)=O,-0.15
CC(=O)SC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.78
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C,2.4
S=P(N1CC1)(N1CC1)N1CC1,0.53
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,1.77
CC12CCC(=O)C=C1CCC1C2C2CC3(C(O)O2)C(C(=O)CO)CCC13,1.08
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1.15
O=C1NC(=O)C2(CCCCC2)C(=O)N1,0.91
O=C1NC(=S)NC(=O)C12CCCCC2,1.78
NC1(C(=O)O)CCCC1,-2.28
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79
CC(C)(S)C(N)C(=O)O,-1.78
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0.51
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,2.23
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.3
NC(CS)C(=O)O,-2.49
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.46
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.47
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,3.13
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,3.69
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,3.23
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,6.75
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,0.03
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27
COc1cc(CCN)cc(OC)c1OC,0.78
CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,4.63
CN1CCCC1c1cccnc1,1.17
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.05
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,0.04
O=C(O[Na])c1ccccc1O,-1.43
O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-2.14
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.03
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,3.17
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,-0.96
CC(N)C(O)c1cccc(O)c1,-0.27
CC(C)NCC(O)c1ccc2ccccc2c1,3.0
NNC(=O)c1ccncc1,-0.7
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,0.42
CC(C)NNC(=O)c1ccncc1,0.37
C1CCc2nnnn2CC1,0.14
CCN(CC)N=O,0.48
NC(=O)c1ccccc1,0.64
O=C(O)c1ccncc1,0.32
COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.09
N=C(N=C(N)NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1,0.08
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],1.62
CC(C)OP(=O)(F)OC(C)C,1.17
CS(=O)(=O)OCCCCOS(C)(=O)=O,-0.52
NCCCC(=O)O,-3.17
ClC(Cl)(Cl)Cl,2.83
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,1.98
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,3.83
NCC(=O)O,-3.21
CC(N)C(=O)O,-2.85
NC(C=O)C(O)O,-3.07
CC(=O)OCC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,3.08
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,6.42
CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,5.07
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.44
c1ccc2cc3c(ccc4ccccc43)cc2c1,5.76
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,1.09
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.13
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1.14
OCC(O)CO,-1.76
NC(CC(=O)O)C(=O)O,-3.89
NC(=O)CCC(N)C(=O)O,-3.64
NC(CCC(=O)O)C(=O)O,-3.69
NCCCCC(N)C(=O)O,-3.05
NCc1ccc(C(=O)O)cc1,1.03
CCCCCCCCCCCCCCCC(=O)O,7.17
CCCCCCCCCCCCCCCCCC(=O)O,8.23
CC(C)(O)C(Cl)(Cl)Cl,2.03
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,1.93
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0.89
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.47
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,2.72
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.07
CCC1(CC)C(=O)NC(=O)NC1=O,0.65
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,1.58
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,-3.7
CCCC(C)(COC(N)=O)COC(N)=O,0.7
CC(O)CO,-0.92
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-0.62
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.67
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.21
N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.22
Cc1cc(C)[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,0.89
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,6.16
CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,3.87
O=c1c(CCS(=O)c2ccccc2)c(O)n(-c2ccccc2)n1-c1ccccc1,2.3
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,5.8
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,2.3
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.07
CCc1[nH]c(=N)[nH]c(=N)c1-c1ccc(Cl)cc1,2.69
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,1.0
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,3.36
CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC32)CC1=O,3.99
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,3.32
CN=C1C=[N+]([O-])C(c2ccccc2)c2cc(Cl)ccc2N1,2.44
CC1=CC(=O)c2ccccc2C1=O,2.2
CN(C)CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.76
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.88
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.2
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55
N=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,-1.05
O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,-2.1
CC(=O)OC=C1CSC2C(NC(=O)Cc3cccs3)C(=O)N2C1C(=O)O[Na],-2.2
CN(C)CCOC(c1ccccc1)c1ccccc1,3.27
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,2.95
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.72
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.45
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-0.07
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-0.24
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-1.98
CN(Cc1cnc2[nH]c(=N)[nH]c(=N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,-1.85
CCOc1cc(N)ccc1C(=O)O,0.99
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,-0.29
CCN(CC)C(=O)c1cccnc1,0.33
O=c1ccc2ccccc2[nH]1,1.26
Nc1ccc(S(=O)(=O)N=c2cnc3ccccc3[nH]2)cc1,1.68
CNCC(O)c1cccc(O)c1,-0.31
CCN(CC)CCOC(=O)c1ccc(N)cc1,2.14
Cc1ccccc1OCC(O)CO,1.41
Oc1cc2ccccc2[nH]1,1.16
O=c1[nH]c2ccccc2o1,1.16
Cc1cc(O)ccc1Cl,3.1
CC(C)NCC(O)c1ccc(Cl)c(Cl)c1,3.32
Cc1cc(C(=O)NNCc2ccccc2)no1,1.49
CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,-0.26
O=C(O)c1cccnc1,0.36
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,0.23
O=NN1CCOCC1,-0.44
NC(Cc1ccc(O)c(O)c1)C(=O)O,-2.39
c1ccc(CC2=NCCN2)cc1,2.65
Nc1ccc(N=Nc2ccccc2)cc1,3.41
CN(C)c1ccc(N=Nc2ccccc2)cc1,4.58
OCCc1ccccc1,1.36
NC(Cc1ccc(F)cc1)C(=O)O,-1.89
NC(Cc1ccc(O)cc1)C(=O)O,-2.26
Cn1cc(O)[nH]c1=N,-1.76
CCOCC,0.89
NCCCCCC(=O)O,-2.95
CCCCCC=CCC=CCCCCCCCC(=O)O,7.05
CNC(=O)CSP(=S)(OC)OC,0.78
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-1.3
Cn1cc[nH]c1=S,-0.34
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,5.4
Cc1cc(=O)n(-c2ccccc2)n1C,0.38
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.81
CCN(CC)CCN1c2ccccc2Sc2ccc(Cl)cc21,5.94
N=c1[nH]cnc2c1ncn2C1OC2CO[PH](=O)(=O)OC2C1O,-2.96
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,4.68
COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,4.9
COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1.22
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,1.83
O=C1NCCN1c1ncc([N+](=O)[O-])s1,0.95
Cc1cccc(Nc2ccccc2C(=O)O)c1C,5.12
Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.48
Nc1ccc(C(=O)NCC(=O)O)cc1,-0.89
N=c1[nH]c2cc(Cl)ccc2o1,2.46
CC(C)CC(N)C(=O)O,-1.52
O=C(O)c1ccc([N+](=O)[O-])cc1,1.89
CCOc1ccc(NC(C)=O)cc1,1.58
Nc1ccccc1,0.9
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,1.86
COP(=O)(OC)OC=C(Cl)Cl,1.47
CN(C)N=O,-0.57
CC12CCC3C(CC=C4CC(=O)CCC43C)C1CCC2=O,2.75
CNC(=O)Oc1cccc2ccccc12,2.36
CSCCC(N)C(=O)O,-1.87
Nc1ccc(S(N)(=O)=O)cc1,-0.62
COC(=O)C1=CCCN(C)C1,0.35
NC(Cc1ccc(O)c(O)c1)C(=O)O,-2.74
NC(Cc1ccccc1)C(=O)O,-1.38
NC(=O)NC(=O)Cc1ccccc1,0.87
Cc1cccc(NC(N)=O)c1,1.29
CNC(=O)Oc1cccc(C(C)C)c1,2.63
NCCc1ccccc1,1.41
NC(=O)Nc1ccccc1,0.83
COc1ccc(CC(C)N)cc1,1.77
CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C,3.13
CCOS(=O)(=O)OCC,1.14
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.34
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,2.88
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,1.3
Cc1ncc(CO)c(CO)c1O,-0.77
NC(=O)c1ccccc1O,1.28
N=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-2.51
Nc1ccc(C(=O)O)c(O)c1,0.89
Cc1c[nH]c(=O)[nH]c1=O,-0.62
O=C(O)c1ccccc1,1.87
O=C(O)c1cc(=O)[nH]c(=O)[nH]1,-0.83
O=c1cc[nH]c(=O)[nH]1,-1.07
CCCCCC=O,1.78
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2c1coc(O)c1,0.64
c1cnc2c(c1)ccc1cccnc12,1.78
O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,2.07
Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.38
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,0.55
O=c1ccc2cc3ccoc3cc2o1,1.67
O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,-0.47
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,-0.04
Cc1cc(C)[nH]n1,1.01
O=c1cc(O)[nH]c(=O)[nH]1,-1.47
CS(C)(=O)=O,-1.41
ClC(Cl)(Cl)C(Cl)(Cl)Cl,4.14
CC1(C)OC2CC3C4CC(F)=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,2.48
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,1.92
O=C(O)CS,0.09
CN(C)C=O,-1.01
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,2.97
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,5.68
Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,-0.09
ClC(Cl)(Cl)c1ccc(C(Cl)(Cl)Cl)cc1,4.62
O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,-0.13
CC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,3.17
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.36
N=c1[nH]cnc2c1ccn2C1OC(CO)C(O)C1O,-0.8
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.35
OCC(O)C(O)C(O)C(O)CO,-3.1
O=C(O)c1ccccc1O,2.26
NC(C(=O)O)c1ccccc1,-1.7
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,-2.17
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F,-0.46
O=C(CBr)c1ccccc1,2.19
NCCCC(N)C(=O)O,-4.22
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,7.54
NC(=O)CC(N)C(=O)O,-3.82
Cc1ccc(S(N)(=O)=O)cc1,0.82
CCC(=O)c1ccc(O)cc1,2.03
NC(Cc1c[nH]cn1)C(=O)O,-3.32
N=c1cc[nH]c(=O)[nH]1,-1.73
O=c1nc[nH]c(=O)[nH]1,-1.87
CCCCO,0.88
CCCCCO,1.51
c1ccccc1,2.13
CC(Cl)(Cl)Cl,2.49
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1.85
Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,0.05
CC(C)C(N)C(=O)O,-2.26
CC(=O)C(N)C(O)O,-2.94
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,5.2
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,5.08
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,6.02
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,6.51
CNCCC=C1c2ccccc2CCc2ccccc21,4.51
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.06
CCC(C)C(N)C(=O)O,-1.7
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,1.89
O=C(O)c1ccc(Cl)cc1,2.65
N=C(N)NCCCC(N)C(=O)O,-4.2
FC(F)(F)Br,1.86
CC(C)(C)N,0.4
CC(C)(C)O,0.35
FC(Cl)(Cl)Cl,2.53
FC(F)(Cl)Cl,2.16
FC(F)(F)Cl,1.65
FC(F)(F)F,1.18
OCC(Br)(Br)Br,2.1
CCC(C)(C)C,3.82
CC(C)(C)CO,1.31
CCC(C)(C)O,0.89
O=CC(Cl)(Cl)Cl,0.99
OCC(F)(F)F,0.41
CC(=O)C(C)(C)C,1.2
CC(C)(C)C(=O)O,1.48
CC(Cl)(Cl)C(=O)O,0.78
ClC(Cl)C(Cl)(Cl)Cl,3.22
O=C(O)C(Cl)(Cl)Cl,1.33
O=[N+]([O-])C(Cl)(Cl)Cl,2.09
FC(F)(Cl)C(F)(Cl)Cl,3.16
FC(F)(Cl)C(F)(F)Cl,2.82
FC(F)(F)C(F)(F)F,2.0
CC12CCC(CC1=O)C2(C)C,2.38
CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,2.53
COC(F)(F)C(Cl)Cl,2.21
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,0.83
CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3(F)C(O)CC21C,2.38
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,6.1
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,1.19
C=CCC1(C2C=CCC2)C(=O)NC(=O)NC1=O,1.51
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,1.97
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,2.1
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,2.85
CCC1(C(C)C)C(=O)NC(=O)NC1=O,0.97
ClC(c1ccccc1)(c1ccccc1)c1ccccc1,5.25
OC(c1ccccc1)(c1ccccc1)c1ccccc1,3.68
O=C(O)C(O)(c1ccccc1)c1ccccc1,2.3
CC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.91
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,3.93
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,1.15
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,0.24
CN1CCC23CCCCC2C1Cc1ccc(O)cc13,3.11
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,2.41
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,4.69
CCC(=O)OC1(c2ccccc2)CCN(C)CC1C,2.83
CCC1(c2ccccc2)CCC(=O)NC1=O,1.9
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,3.23
CCCCC1(CC)C(=O)NC(=O)NC1=O,1.73
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,2.46
CCC1(CC)C(=O)NC(=S)NC1=O,1.5
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,0.85
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,5.04
CCC(Br)(CC)C(=O)NC(N)=O,1.54
CCC1(C)CC(=O)NC1=O,0.38
CC1(C)NC(=O)NC1=O,-0.48
CCOP(=O)(C#N)N(C)C,0.38
O=C(O)CC(O)(CC(=O)O)C(=O)O,-1.64
CCC(CO)(CO)CO,-1.48
C#CC1(O)CCCCC1,1.73
CCOP(=O)(CC)OCC,0.66
CCOP(=O)(OCC)OCC,0.8
CCCCSP(=O)(SCCCC)SCCCC,5.7
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,3.75
CC1=CC(=O)CC(C)(C)C1,1.7
CC(C)(C#N)N=NC(C)(C)C#N,1.1
C=CC(C)(O)CCC=C(C)C,2.97
C=CC(=C)C,2.42
CC(C)CN,0.73
CC(C)C#N,0.46
CC(C)CO,0.76
CCC(C)Cl,2.33
CC(Cl)CCl,1.98
CCC(C)O,0.61
CCC(C)=O,0.29
CC(O)CN,-0.96
CC(O)C#N,-0.94
ClCC(Cl)Cl,1.89
ClC=C(Cl)Cl,2.42
CCC(N)=O,-0.66
C=CC(N)=O,-0.67
NC(=O)CCl,-0.53
O=C(O)CBr,0.41
CCC(=O)O,0.33
C=CC(=O)O,0.35
O=C(O)CCl,0.22
O=C(O)CO,-1.11
CNC(C)=O,-1.05
COC(C)=O,0.18
CC[N+](=O)[O-],0.18
CC(C)C(C)C,3.42
CC(C)C(=O)O,0.94
ClC(Cl)C(Cl)Cl,2.39
C=C(C)C(N)=O,-1.11
C=C(C)C(=O)O,0.93
O=C(O)C(Cl)Cl,0.92
CC(C)[N+](=O)[O-],0.93
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,-0.9
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(=O)C12F,1.37
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,3.32
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.97
Cc1ccc(S(=O)(=O)N(C)N=O)cc1,0.58
NNS(=O)(=O)c1ccccc1,-0.14
CC(=O)OC(C)(C)C1CC=C(C)CC1,3.96
COc1ccc(=NS(=O)(=O)c2ccc(N)cc2)[nH]n1,0.32
CCOS(=O)(=O)c1ccc(C)cc1,1.81
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,5.5
CC1=CCC2CC1C2(C)C,4.83
CCC(Br)C(=O)O,1.42
CCC(N)C(=O)O,-2.54
C=C(C)C(=O)OC,1.38
CN(C)C(=N)N(C)C,0.41
Nc1c(S(=O)(=O)O)ccc2ccccc12,-0.97
O=C1NS(=O)(=O)c2ccccc21,0.91
Nc1ccc(C=Cc2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,-1.7
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,4.6
Nc1ccc2ccccc2c1S(=O)(=O)O,-1.16
Cc1cccc(C)c1[N+](=O)[O-],2.95
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2.02
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.7
OCc1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1,3.27
O=C1c2ccccc2-c2cccc3cccc1c23,4.81
O=C(O)C1c2ccccc2Oc2ccccc21,2.23
C=Nc1cccc2c(O)c3ccccc3c(O)c12,4.1
Nc1cccc2c1C(=O)c1ccccc1C2=O,3.74
O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,4.27
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.64
O=C1C(=O)c2cccc3cccc1c23,1.95
O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.64
O=C1c2ccccc2C(=O)C1c1ccccc1,2.9
Oc1ccc(O)n1-c1ccccc1,0.06
c1cc2c3c(cccc3c1)CC2,3.92
Cc1cccc(C(=O)O)c1O,2.86
Cc1cccc([N+](=O)[O-])c1C,2.83
Cc1c(Cl)cccc1[N+](=O)[O-],3.09
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,3.5
CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C,3.08
