,smiles,logP,pH,Temperature
41086,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,3.37,,25.0
41087,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,3.58,,25.0
41088,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,3.43,,25.0
48723,CC(C)C[C@H](N)C(=O)N[C@H](C(C)C)C(O)=O,0.26,,25.0
48724,CC[C@H](C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,0.16,,25.0
48725,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC(C)C)C(O)=O,0.68,,25.0
48726,NC(CO)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.79,,25.0
48727,CCC(C)C(N=C(O)C(N)C(C)O)C(O)=O,-0.86,,25.0
48728,CC(C)[C@H](NC(=O)[C@@H](N)CCC(N)=O)C(O)=O,-1.85,,25.0
48729,CC(C)C[C@H](NC(=O)[C@@H](N)CCC(N)=O)C(O)=O,-1.32,,25.0
48730,CC(C)C(N)C(O)=NC(CCC(O)=N)C(O)=O,-1.82,,25.0
48731,CCC(C)C(N)C(O)=NC(CC(O)=N)C(O)=O,-1.41,,25.0
48732,CC(C)C(N=C(O)C(N)CC(O)=N)C(O)=O,-1.85,,25.0
48733,CCC(C)C(N=C(O)C(N)CC(O)=N)C(O)=O,-1.43,,25.0
48734,CC(C)C[C@H](N)C(=O)N[C@@H](CC(N)=O)C(O)=O,-1.3,,25.0
48735,CC(C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,-1.4,,25.0
48736,CC(C)[C@H](NC(=O)[C@H](C)NC(=O)CN)C(O)=O,-1.56,,25.0
48737,CC(C)C[C@H](NC(=O)CN)C(=O)NCC(O)=O,-1.23,,25.0
48738,CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(O)=O,-1.46,7.0,25.0
48739,CC(C)CC(N)C(=O)NC(C(C)C)C(O)=O,-2.05,7.0,25.0
48740,CC(C)C[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O,-2.07,7.0,25.0
48741,CCC(C)C(N)C(=O)NC(C(C)CC)C(O)=O,-1.82,7.0,25.0
48742,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC(C)C)C(O)=O,-1.64,7.0,25.0
48743,CSCCC(N)C(=O)NC(C(C)C)C(O)=O,-2.53,7.0,25.0
48744,CC(O)C(NC(=O)C(N)CC1=CNC=N1)C(O)=O,-2.23,7.0,25.0
48745,CC(C)C[C@H](N)C(=O)N[C@H](C(C)C)C(O)=O,0.26,7.0,25.0
48746,CC[C@H](C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,0.16,7.0,25.0
48747,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CC(C)C)C(O)=O,0.68,7.0,25.0
48748,CSCCC(N)C(=O)NC(C(C)C)C(O)=O,-0.28,7.0,25.0
48749,NC(CO)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.79,7.0,25.0
48750,CCC(C)C(N=C(O)C(N)C(C)O)C(O)=O,-0.86,7.0,25.0
48751,CC(C)C(N=C(O)C(N)CC(O)=N)C(O)=O,-1.85,7.0,25.0
48752,CCC(C)C(N=C(O)C(N)CC(O)=N)C(O)=O,-1.43,7.0,25.0
48753,CC(C)C[C@H](N)C(=O)N[C@@H](CC(N)=O)C(O)=O,-1.3,7.0,25.0
48754,CCC(C)C(N)C(O)=NC(CC(O)=N)C(O)=O,-1.41,7.0,25.0
48755,CC(C)C(NC(=O)CCC(N)C(O)=O)C(O)=O,-1.85,7.0,25.0
48756,CC(C)C[C@H](NC(=O)[C@@H](N)CCC(N)=O)C(O)=O,-1.32,7.0,25.0
48757,CC(C)C(N)C(=O)NC(CCC(N)=O)C(O)=O,-1.82,7.0,25.0
48758,CC(C)CC(N=C(O)C(N)CCCCN)C(O)=O,-0.26,13.0,25.0
50499,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,0.5,,37.0
50500,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,-0.5,,37.0
50501,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,0.18,,25.0
50502,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,4.54,,25.0
50503,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,2.07,,25.0
57909,CC(C)C(NC(=O)C(N)CC1=CC=CC=C1)C(O)=O,0.43,,25.0
57910,CC(C)C(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,-0.2,,25.0
57911,NC(CC(N)=O)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.14,,25.0
57912,CC(C)C(N)C(=O)NC(C)C(=O)NC(C(C)C)C(O)=O,-0.67,,25.0
57913,CCC(C)C(NC(=O)C(N)C(C)C)C(=O)NCC(O)=O,-0.45,,25.0
57914,CC(C)C[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,-1.17,7.0,25.0
57915,CC(C)CC(N)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.15,7.0,25.0
57916,C[C@H](NC(=O)[C@@H](N)CC1=CNC2=C1C=CC=C2)C(O)=O,-1.98,7.0,25.0
57917,CC(C)C([NH3+])C(=O)NC(CC1=CC=C(O)C=C1)C([O-])=O,-2.52,7.0,25.0
57918,CSCCC(NC(=O)C(N)CC(C)C)C(O)=O,-1.87,7.0,25.0
57919,CSCCC(N)C(=O)NC(CC(C)C)C(O)=O,-1.84,7.0,25.0
57920,OC(=O)C(CC1=CC=CC=C1)NC(=O)C1CCCN1,-2.07,7.0,25.0
57921,N[C@@H](CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(O)=O,-1.36,7.0,25.0
57922,CC(C)C(NC(=O)C(N)CC1=CC=CC=C1)C(O)=O,0.43,7.0,25.0
57923,CC(C)C(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,-0.2,7.0,25.0
57924,NC(CC(N)=O)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.14,7.0,25.0
59567,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,4.2,,37.0
59568,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,4.5,,37.0
59569,CN1CCN(CC1)C1=C2C=C(C)SC2=NC2=CC=CC=C2N1,3.0,,37.0
59570,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=C1C=CC=C2,6.0,,37.0
59571,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,-0.17,,25.0
66492,CC(C)C(NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(O)=O,0.73,,25.0
66493,CC(C)CC(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,0.32,,25.0
66494,N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,-1.14,,25.0
66495,NC(CC1=CC=CC=C1)C(O)=NC(CCC(O)=N)C(O)=O,-1.03,,25.0
66496,CC(C)CC(NC(=O)C(C)N)C(=O)NC(C(C)C)C(O)=O,-0.14,,25.0
66497,CCC(C)C(NC(=O)C(NC(=O)C(C)N)C(C)C)C(O)=O,-0.2,,25.0
66498,CC(N)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.71,,25.0
66499,CCC(C)C(N)C(=O)NC(C)C(=O)NC(C(C)C)C(O)=O,-0.21,,25.0
66500,[H]OC(=O)C([H])(N([H])C(=O)C([H])(N([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],-0.85,7.0,25.0
66501,CC(C)CC(NC(=O)C(N)CC1=CNC2=C1C=CC=C2)C(O)=O,-0.73,7.0,25.0
66502,CC(C)CC(N)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,-1.94,7.0,25.0
66503,CC(C)CC(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,-1.75,7.0,25.0
66504,CSCC[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,-1.59,7.0,25.0
66505,CC(C)C(NC(=O)C([NH3+])CC1=CC=CC=C1)C(=O)NCC([O-])=O,-2.33,7.0,25.0
66506,CC(C)CC(N)C(=O)NC(CC1=CNC2=C1C=CC=C2)C(O)=O,-2.1,7.0,25.0
66507,CC(C)CC(N)C(=O)NC(C)C(=O)NC(CC(C)C)C(O)=O,-2.03,7.0,25.0
66508,[NH3+]C(CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)NCC([O-])=O,-2.72,7.0,25.0
66509,CC(C)C(NC(=O)CN)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.96,7.0,25.0
66510,CC(C)CC(NC(=O)C(N)CC1=CC=C(O)C=C1)C(O)=O,0.32,7.0,25.0
66511,CC(C)C(NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(O)=O,0.73,7.0,25.0
66512,CSCCC(N)C(O)=NC(CC1=CC=CC=C1)C(O)=O,0.42,7.0,25.0
66513,NC(CCC(=O)NC(CC1=CC=CC=C1)C(O)=O)C(O)=O,-1.14,7.0,25.0
66514,NC(CC1=CC=CC=C1)C(=O)NC(CCC(N)=O)C(O)=O,-1.03,7.0,25.0
66515,NCCCC[C@H](N)C(O)=O.N[C@@H](CC1=CC=CC=C1)C(O)=O,0.14,13.0,25.0
66516,CSCCC(NC(=O)C(C)N)C(=O)NC(C(C)C)C(O)=O,-0.63,7.0,25.0
68020,NC(N)=NC1=NC(CSCC\C(N)=N/S(N)(=O)=O)=CS1,-0.8,,37.0
68021,NS(=O)(=O)C1=CC(C(O)=O)=C(NCC2=CC=CO2)C=C1Cl,2.6,,37.0
68022,CN\C(NCCSCC1=CSC(CN(C)C)=N1)=C/[N+]([O-])=O,-0.2,,37.0
68023,CC1=CC=CC(C)=C1NC(=O)C1=CC(=C(Cl)C=C1O)S(N)(=O)=O,2.8,,37.0
68024,CC(NC(CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCCC1C(O)=O,-0.13,,25.0
68025,NS(=O)(=O)C1=CC(C(O)=O)=C(NCC2=CC=CO2)C=C1Cl,2.53,,25.0
73929,[NH3+]C(CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=CC=C1)C([O-])=O,0.54,,25.0
73930,CC(C)C(N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C)C(O)=O,0.06,,25.0
73931,CCC(C)C(N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C)C(O)=O,0.52,,25.0
73932,CC(C)CC(NC(=O)CNC(=O)C(N)CC1=CC=CC=C1)C(O)=O,0.6,,25.0
73933,CCC(C)C(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NCC(O)=O,0.34,,25.0
73934,CCC(C)C(NC(=O)C(NC(=O)C(N)C(C)C)C(C)C)C(O)=O,0.49,,25.0
73935,CC(NC(=O)C(C)NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(O)=O,-0.38,,25.0
73936,CC(C)CC(N)C(=O)NC(C(C)O)C(=O)NC(CC(C)C)C(O)=O,0.24,,25.0
73937,N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,-0.47,7.0,25.0
73938,N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-1.68,7.0,25.0
73939,N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-1.87,7.0,25.0
73940,CC(C)C(NC(=O)C([NH3+])CC1=CC=CC=C1)C(=O)NC(C)C([O-])=O,-2.19,7.0,25.0
73941,CCC(C)C(NC(=O)C(NC(=O)C([NH3+])CC(C)C)C(C)CC)C([O-])=O,-1.11,7.0,25.0
73942,CC(C)C[C@H](N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(O)=O,-1.57,7.0,25.0
73943,CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(O)=O,-0.94,7.0,25.0
73944,CC(C)CC([NH3+])C(=O)NC(CO)C(=O)NC(CC(C)C)C([O-])=O,-2.35,7.0,25.0
73945,CCC(C)C([NH3+])C(=O)NC(CO)C(=O)NC(CC(C)C)C([O-])=O,-2.28,7.0,25.0
73946,CCC(C)C([NH3+])C(=O)NC(CO)C(=O)NC(C(C)CC)C([O-])=O,-2.64,7.0,25.0
73947,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C([NH3+])CO)C([O-])=O,-1.99,7.0,25.0
73948,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C([NH3+])CO)C([O-])=O,-2.03,7.0,25.0
73949,CCC(C)C(NC(=O)C([NH3+])CC(C)C)C(=O)NC(C(C)O)C([O-])=O,-2.14,7.0,25.0
73950,CCC(C)C(NC(=O)C(NC(=O)C([NH3+])CC(C)C)C(C)O)C([O-])=O,-2.3,7.0,25.0
73951,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C([NH3+])C(C)O)C([O-])=O,-1.66,7.0,25.0
73952,CC(C)CC(NC(=O)C(NC(=O)C(N)C(C)O)C(C)C)C(O)=O,-1.97,7.0,25.0
73953,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C1CCC[NH2+]1)C([O-])=O,-1.64,7.0,25.0
73954,CC(C)CC([NH3+])C(=O)N1CCCC1C(=O)NC(CC(C)C)C([O-])=O,-1.56,7.0,25.0
73955,CC(C)CC([NH3+])C(=O)NC(CC(C)C)C(=O)N1CCCC1C([O-])=O,-1.58,7.0,25.0
73956,CCC(C)C(N)C(=O)N1CCCC1C(=O)NC(C(C)CC)C(O)=O,-1.65,7.0,25.0
73957,[NH3+]C(CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=CC=C1)C([O-])=O,0.54,7.0,25.0
73958,Cl.NCCCCC(N)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.12,13.0,25.0
73959,NCC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CN=CN1)C(O)=O,-0.92,10.0,25.0
73960,CC(C)CC(N)C(=O)NC(CC(O)=O)C(=O)NC(CC(C)C)C(O)=O,0.16,2.0,25.0
73961,CCC(C)C(N)C(=O)NC(CC(C)C)C(=O)NC(CC(O)=O)C(O)=O,-0.04,2.0,25.0
75247,CN1CCN(CC1)C(=O)OC1N(C(=O)C2=C1N=CC=N2)C1=NC=C(Cl)C=C1,1.5,,37.0
75248,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(O)=O,-1.71,,25.0
78262,CCC(C)C(NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(=O)NCC(O)=O,0.62,,25.0
78263,CC(C)C(NC(=O)C(C)NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(O)=O,0.36,,25.0
78264,CC(C)CC(N)C(=O)NC(CO)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.23,,25.0
78265,CC(C)CC(NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(C)N)C(O)=O,-0.04,,25.0
78266,CC(N)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.26,,25.0
78267,N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,-0.27,7.0,25.0
78268,NC(CC1=CNC2=C1C=CC=C2)C(=O)NC(CC1=CC=C(O)C=C1)C(O)=O,-1.13,7.0,25.0
78269,NCC(=O)N[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,-1.33,7.0,25.0
78270,CC(C)CC(NC(=O)C([NH3+])CC1=CC=C(O)C=C1)C(=O)NC(C(C)C)C([O-])=O,-1.45,7.0,25.0
78271,[NH3+]C(CC1=CC=C(O)C=C1)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C([O-])=O,-1.86,7.0,25.0
78272,CCC(C)C(NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(C)[NH3+])C([O-])=O,-2.04,7.0,25.0
78273,CCC(C)C([NH3+])C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(C(C)C)C([O-])=O,-1.77,7.0,25.0
78274,CCC(C)C(NC(=O)C([NH3+])CC1=CC=CC=C1)C(=O)NC(C(C)O)C([O-])=O,-1.95,7.0,25.0
78275,CCC(C)C(N)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(C)CC)C(O)=O,-2.82,7.0,25.0
78276,CCC(C)C(N)C(=O)N1CCCC1C(=O)NCC(=O)NC(C(C)CC)C(O)=O,1.69,7.0,25.0
78277,CC(C)C(N)C(=O)N1CCCC1C(=O)NCC(=O)NC(C(C)C)C(O)=O,-2.83,7.0,25.0
78278,CC(C)C(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CCCCN)C(O)=O,0.51,13.0,25.0
78279,CCC(C)C(N)C(=O)NC(CC1=CN=CN1)C(=O)NC(C(C)C)C(O)=O,-0.24,10.0,25.0
78280,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CC(O)=O)C(O)=O,0.4,2.0,25.0
78281,CCC(C)C(NC(=O)C(N)CC(O)=O)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.61,2.0,25.0
78282,CC(C)CC(NC(=O)C(CC(O)=O)NC(=O)C(N)CC1=CC=CC=C1)C(O)=O,0.39,2.0,25.0
78283,CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)NC(CCC(O)=O)C(O)=O,0.07,2.0,25.0
78904,ClC1=CC=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C(Cl)=C1,4.9,,37.0
78905,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,-2.0,,37.0
78906,CO[C@H]1\C=C/O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC(C)C)CC3)N=C21,4.5,,37.0
78907,CC(C)N1C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1,4.17,,25.0
78908,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,3.96,,25.0
84881,NC(CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(O)=O,0.99,,25.0
84882,NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.02,7.0,25.0
84883,CC(C)C(NC(=O)C([NH3+])CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C([O-])=O,-0.76,7.0,25.0
84884,CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C([NH3+])CC1=CNC2=CC=CC=C12)C([O-])=O,-1.0,7.0,25.0
84885,CC(C)CC(NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C([NH3+])CC1=CNC2=CC=CC=C12)C([O-])=O,0.36,7.0,25.0
84886,CC(C)C[C@H](N)C(\O)=N/[C@@H](CC(C)C)C(\O)=N/[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-1.34,7.0,25.0
84887,CC(C)C([NH3+])C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=C(O)C=C1)C([O-])=O,-1.5,7.0,25.0
84888,CC(C)C(NC(=O)C([NH3+])CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=CC=C1)C([O-])=O,-1.37,7.0,25.0
84889,CC(C)CC(NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C([NH3+])CC1=CC=C(O)C=C1)C([O-])=O,-1.38,7.0,25.0
84890,CSCCC(N)C(=O)NC(CC(C)C)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.03,7.0,25.0
84891,NC(CC1=CC=CC=C1)C(=O)NCC(=O)NCC(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.51,7.0,25.0
84892,CC(C)C(N)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.91,7.0,25.0
84893,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.25,7.0,25.0
84894,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(O)=O,-0.51,7.0,25.0
84895,CC(C)C(N)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.51,7.0,25.0
84896,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(C)N)C(C)C)C(O)=O,-1.74,7.0,25.0
84897,CC(C)CC(N)C(=O)NC(C)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.78,7.0,25.0
84898,NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(O)=O,1.63,7.0,25.0
84899,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.42,7.0,25.0
84900,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.0,7.0,25.0
84901,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.24,7.0,25.0
84902,CCC(C)C(N)C(=O)NC(C(C)CC)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(O)=O,-1.41,7.0,25.0
84903,CCC(C)C(N)C(=O)NC(C(C)CC)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.99,7.0,25.0
84904,NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(O)=O,0.17,7.0,25.0
84905,CC(C)CC(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(N)C(C)C)C(C)C)C(O)=O,-1.23,7.0,25.0
84906,CC(C)CC(NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(O)=O,0.23,7.0,25.0
84907,CC(C)CC(NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(N)CC1=CNC2=CC=CC=C12)C(O)=O,0.06,7.0,25.0
84908,CCC(C)C(NC(=O)C(N)CC1=CC=C(O)C=C1)C(=O)NC(CC(C)C)C(=O)NCC(O)=O,-1.49,7.0,25.0
84909,CC(C)C(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.32,7.0,25.0
84910,CCC(C)C(N)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(C(C)CC)C(=O)NC(C(C)C)C(O)=O,-1.09,7.0,25.0
84911,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)C(C)C)C(=O)NC(C(C)O)C(O)=O,-1.32,7.0,25.0
84912,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(N)CCSC)C(C)CC)C(O)=O,-0.49,7.0,25.0
84913,CCC(C)C(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCSC)NC(=O)C(N)C(C)C)C(O)=O,-0.63,7.0,25.0
