,logP,Temperature,smiles
314,-3.7,,O(C(C(O)C(O)C1O)CO)C1OC(OC(C2O)CO)(C2O)CO
316,0.7,,O=C(OCC(CCC)(C)COC(=O)N)N
317,-0.92,,OCC(O)C
320,-0.62,,O=C(N)C(=C(O)C(N(C)C)C(C1(O)C(O)=C(C2C(O)(c(c3c(O)cc4)c4Cl)C)C3=O)C2)C1=O
321,3.67,,OC(C#C)(C(C(C(C(c(c(cc(O)c1)C2)c1)C3)C2)C4)(C3)C)C4
323,3.21,,O=C(O)c(ccc(S(=O)(=O)N(CCC)CCC)c1)c1
324,-1.22,,c1cc(N)ccc1S(=O)(=O)NC(=N)N
325,0.89,,O=S(=O)(Nc(nc(cc1C)C)n1)c(ccc(N)c2)c2
327,6.16,,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
328,3.87,,O=C(C(C(C(C(C(C(C(=CC(=O)C1)C2)(C1)C)C3)C2)C4)(C3)C)C4)C
335,2.3,,O=C2C(CCS(=O)c1ccccc1)C(=O)N(N2c3ccccc3)c4ccccc4
336,5.8,,c(c(c(c(c1)ccc2)c2)c(c(c3ccc4)c4)C)(c3C)c1
337,2.3,,CN2CCc1cccc3c1C2Cc4ccc(O)c(O)c34
339,-0.07,25.0,CN1C(=O)N(C)c2ncn(C)c2C1(=O)
340,2.69,,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2
341,1.0,,c1ccccc1N2C(=O)C(N(C)C)=C(C)N2C
342,3.36,,O=C(C=C(C(C(C(C(C(C(O)(C)C1)(C2)C)C1)C3)C2)(C4)C)C3)C4
343,3.99,,CC1C(=O)CC2CCC3C4CCC(O)C4(C)CCC3C2(C)C1
345,3.32,,C1C(=O)C=C2CCC3C4CCC(O)C4(C)CCC3C2(C)C1
346,2.44,,CNC2=Nc1ccc(Cl)cc1C(=N(=O)C2)c3ccccc3
347,2.2,,c1cc2C(=O)C=C(C)C(=O)c2cc1
353,4.76,,c1ccc2Sc3ccccc3N(CC(N(C)C)CN(C)C)c2c1
354,4.88,,CN4CCN(CCCN2c1ccccc1Sc3ccc(Cl)cc23)CC4
355,4.2,,OCCN4CCN(CCCN2c1ccccc1Sc3ccc(Cl)cc23)CC4
356,4.55,,c1ccc2Sc3ccccc3N(CCCN(C)C)c2c1
359,-0.02,,CN1C(=O)N(C)c2ncnc2C1(=O)
362,-1.05,,n1cnc2n(C3OC(CO)C(O)C3(O))cnc2c1N
363,-2.1,,OCC1OC(C(O)C1O)n2cnc3C(=O)NC=Nc23
365,-2.2,,s1cccc1CC(=O)NC2C(=O)N3C(C(=O)O[Na])=C(COC(=O)C)CSC23
367,3.27,,O(C(c(cccc1)c1)c(cccc2)c2)CCN(C)C
368,2.95,,COc3ccc(Cc1nccc2cc(OC)c(OC)cc12)cc3OC
371,3.72,,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl
372,4.45,,Oc(c(cc(c1Cl)Cl)Cl)c1Cl
373,-0.07,,O=S(=O)(N)c(c(cc(NCNS1(=O)=O)c12)Cl)c2
374,-0.24,,NS(=O)(=O)c1c(Cl)cc2N=CNS(=O)(=O)c2c1
376,-1.98,,O=C(N(C=CC1=O)C(OC(C2O)CO)C2O)N1
382,-1.85,,O=C(NC(C(=O)O)CCC(=O)O)c(ccc(N(Cc(nc(c(nc(n1)N)n2)c1N)c2)C)c3)c3
384,0.99,,OC(=O)c1c(OCC)cc(N)cc1
385,-0.29,,C1=C(Br)C(=O)NC(=O)N1C2OC(CO)C(O)C2
387,0.33,,CCN(CC)C(=O)c1cccnc1
389,1.26,,c1ccc2C=CC(=O)Nc2c1
393,1.68,,O=S(=O)(Nc(nc(c(n1)ccc2)c2)c1)c(ccc(N)c3)c3
394,-0.31,,CNCC(O)c1cccc(O)c1
396,2.14,,O=C(OCCN(CC)CC)c(ccc(N)c1)c1
397,1.41,,Cc1ccccc1OCC(O)CO
398,1.16,,c1ccc2CC(=O)Nc2c1
399,1.16,,O=C(Oc(c1ccc2)c2)N1
400,3.1,,Oc(ccc(c1C)Cl)c1
406,3.32,,c1c(Cl)c(Cl)ccc1C(O)CNC(C)C
407,1.49,,n1oc(C)cc1C(=O)NNCc2ccccc2
408,-0.26,,CC(=O)Nc1nnc(S(=O)(=O)N)s1
409,0.36,,O=C(O)c(cccn1)c1
411,0.23,,O=C(N)NN=CC(OC(N(=O)=O)=C1)=C1
413,-0.44,,O=NN1CCOCC1
414,-2.39,,O=C(O)C(N)Cc(ccc(O)c1O)c1
417,2.65,,c1ccccc1CC2=NCCN2
422,3.41,,N(=Nc(cccc1)c1)c(ccc(N)c2)c2
424,4.58,,N(=Nc(cccc1)c1)c(ccc(N(C)C)c2)c2
425,1.36,,OCCc(cccc1)c1
428,-1.89,,NC(Cc1ccc(F)cc1)C(O)=O
429,-2.26,,O=C(O)C(N)Cc(ccc(O)c1)c1
434,-1.76,,O=C(NC(=N)N1C)C1
435,0.89,,O(CC)CC
437,-2.95,,O=C(O)CCCCCN
438,7.05,,O=C(O)CCCCCCCC=CCC=CCCCCC
439,-1.05,,N(N)C
440,-1.26,,O=C(N)C
446,0.78,,O=C(NC)CSP(OC)(OC)=S
447,-1.3,,CN(C)C2C1CC4C(=C(O)C1(O)C(=O)C(=C2O)C(N)=O)C(=O)c3c(O)cccc3C4(C)O
448,-0.34,,S=C1NC=CN1C
449,5.4,,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
452,0.38,,c1ccccc1N2C(=O)C=C(C)N2C
455,4.81,,c1ccc2Sc3ccccc3N(CC(C)N(C)C)c2c1
457,5.94,,c1cc2N(CCN(CC)CC)c3cc(Cl)ccc3Sc2cc1
458,-2.96,,c1nc2c(N)ncnc2n1C3OC4COP(=O)(O)OC4C3O
460,4.68,,c1ccc2Sc3ccc(OC)cc3N(CC(C)CN(C)C)c2c1
462,4.9,,c1ccc2Sc3ccc(OC)cc3N(CCCN(C)C)c2c1
470,1.22,,COc1cccc(OC)c1C(=O)NC2C(=O)N3C(C(=O)O)C(C)(C)SC23
471,1.83,,O=C(NC(C(=O)N1C(C(=O)O)C(S2)(C)C)C12)Cc(cccc3)c3
476,1.55,,NCCc1cnc2ccccc12
478,0.95,,O=C1NCCN1c2ncc(s2)N(=O)=O
480,5.12,,OC(=O)c1ccccc1Nc2c(C)c(C)ccc2
482,2.48,,Cc2onc(c1ccccc1Cl)c2C(=O)NC4C3SC(C)(C)C(N3C4=O)C(O)=O
485,-0.31,,CN(H)(H)(Cl)CC(O)c1cccc(O)c1
486,-0.89,,O=C(NCC(=O)O)c(ccc(N)c1)c1
487,2.46,,c1c(Cl)cc2nc(N)oc2c1
488,-0.86,,n1nc(N)nc1
489,-1.52,,O=C(O)C(N)CC(C)C
492,1.89,,O=C(O)c(ccc(N(=O)=O)c1)c1
496,-0.8,,Cl[Hg]CC(OC)CNC(=O)N
497,0.71,,CC(=O)O[Hg]c1ccccc1
498,1.58,,CC(=O)Nc1ccc(OCC)cc1
503,0.9,,Nc(cccc1)c1
505,-0.26,,NC(=S)C
506,-1.08,,NC(=S)N
509,1.86,,OC1C=CC2C3Cc4ccc(O)c5OC1C2(CCN3CC=C)c45
511,1.47,,O=P(OC)(OC)OC=C(Cl)Cl
513,-0.57,,O=NN(C)C
517,2.75,,C1C(=O)C=C2CCC3C4CCC(=O)C4(C)CCC3C2(C)C1
519,2.36,,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC
525,-1.87,,O=C(O)C(N)CCSC
526,-0.62,,O=S(=O)(N)c(ccc(N)c1)c1
527,0.35,,CN1CCC=C(C(=O)OC)C1
528,-2.74,,c1c(O)c(O)ccc1CC(N)C(=O)O
530,-1.38,,O=C(O)C(N)Cc(cccc1)c1
532,0.87,,NC(=O)NC(=O)Cc1ccccc1
533,1.29,,Cc1cccc(NC(N)=O)c1
534,2.63,,CNC(=O)Oc1cccc(c1)C(C)C
536,1.41,,NCCc(cccc1)c1
537,0.83,,O=C(Nc(cccc1)c1)N
538,1.77,,c1cc(OC)ccc1CC(N)C
539,-0.31,,OCC
540,-0.54,,O=CO
541,-0.17,,O=C(O)C
544,3.13,,c1ccccc1C2(OC(=O)CC)C(C)CN(C)C(C)C2
549,1.14,,O=S(=O)(OCC)OCC
554,2.34,,O=C(NCCCC)NS(=O)(=O)c(ccc(c1)C)c1
555,2.88,,C1C(=O)C=C2CCC3C4CCC(C(=O)CO)C4(C)CCC3C2(C)C1
556,1.3,,O=C(NC(C(C(c(c(cc(OC)c1OC)C2)c1OC)=CC=C(OC)C3=O)=C3)C2)C
562,-0.77,,n(c(c(O)c(c1CO)CO)C)c1
567,1.28,,O=C(N)c(c(O)ccc1)c1
568,-2.51,,O=C1N=C(N)C=CN1C2OC(CO)C(O)C2O
569,0.89,,O=C(O)c(c(O)cc(N)c1)c1
571,-0.62,,C1=C(C)C(=O)NC(=O)N1
573,1.87,,O=C(O)c(cccc1)c1
574,-0.83,,C1(=O)NC(=O)NC(C(=O)O)=C1
577,-1.07,,N1C(=O)NC(=O)C=C1
578,-3.61,,N(C)(C)(C)(Br)CCOC(=O)C
579,1.78,,O=CCCCCC
581,0.64,,C1C(O)CC2(O)CCC3C4(O)CCC(C5=CC(=O)OC5)C4(C)CCC3C2(C(=O))C1
585,1.78,,n(c(c(ccc1cccn2)cc3)c12)c3
588,2.07,,O=C1Oc2ccccc2C(O)=C1CC3=C(O)c4ccccc4OC3=O
590,2.38,,Cc2onc(c1ccccc1)c2C(=O)NC4C3SC(C)(C)C(N3C4(=O))C(=O)(O)
591,0.55,,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2
593,1.67,,O=C1C=Cc2cc3ccoc3cc2O1
599,-0.47,,O=C(N(N=CC(OC(N(=O)=O)=C1)=C1)CC2=O)N2
606,-0.04,,O=C(OCC1)N1N=CC(OC(N(=O)=O)=C2)=C2
609,1.01,,N(NC(=C1)C)=C1C
610,-1.47,,O=C(NC(=O)CC1=O)N1
611,-0.77,,OC
613,0.05,,OC(C)C
614,-0.24,,O=C(C)C
615,1.97,,C(Cl)(Cl)Cl
616,-1.35,,O=S(C)C
617,-1.41,,O=S(=O)(C)C
618,4.14,,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl
619,2.48,,C1(=O)C=C2C(F)CC3C4CC5C(C(=O)CO)(OC(C)(C)O5)C4(C)CC(O)C3(F)C2(C)C=C1
620,1.92,,O=C1C=C2CCC3C4CC(OC(=O)C)C(O)(C(=O)COC(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1
628,-2.82,,CCN(I)(CC)(CC)CC
629,0.09,,O=C(O)CS
630,-1.01,,O=CN(C)C
632,2.97,,CC34CCC1C(CCC2=CC(=O)CCC12)C3CCC4(O)C#C
634,5.68,,OCC=C(C=CC=C(C=CC(=C(CCC1)C)C1(C)C)C)C
636,-0.09,,O=S(=O)(Nc(nccc1)n1)c(ccc(N)c2)c2
637,4.62,,c(ccc(c1)C(Cl)(Cl)Cl)(c1)C(Cl)(Cl)Cl
640,-0.13,,O=C2C=C(N1CC1)C(=O)C(=C2N3CC3)N4CC4
645,-1.11,,N1C=Nc2ncnc2C1(=O)
646,3.17,,CC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C
651,4.36,,OCCN4CCN(CCCN2c1ccccc1Sc3ccc(cc23)C(F)(F)F)CC4
654,-0.8,,c12ncnc(N)c1ccn2C3OC(CO)C(O)C3(O)
659,1.35,,CC3(C)SC2C(NC(=O)C(N)c1ccccc1)C(=O)N2C3C(O)=O
661,-3.1,,OCC(O)C(O)C(O)C(O)CO
662,2.26,,O=C(O)c(c(O)ccc1)c1
667,-0.73,,N1C(=O)Nc2ncnc2C1(=O)
668,-1.7,,c1ccccc1C(N)C(=O)O
669,-2.17,,O=C1NC(=O)NC2=C1NC(=O)N2
670,-0.46,,OCC1OC(CC1O)N2C=C(C(=O)NC2(=O))C(F)(F)F
672,2.19,,O=C(c(cccc1)c1)CBr
677,-4.22,,O=C(O)C(N)CCCN
679,7.54,,Oc(c(c(c(c1)Cl)Cl)Cc(c(c(cc2Cl)Cl)Cl)c2O)c1Cl
683,-3.82,,O=C(O)C(N)CC(=O)N
687,0.82,,O=S(=O)(N)c(ccc(c1)C)c1
689,2.03,,O=C(c(ccc(O)c1)c1)CC
691,-3.32,,O=C(O)C(N)CC(N=CN1)=C1
692,0.25,,OCCC
694,-1.73,,N1C(=O)N=C(N)C=C1
695,-1.87,,C1=NC(=O)NC(=O)N1
696,0.88,,OCCCC
697,1.51,,OCCCCC
698,2.13,,c(cccc1)c1
701,2.49,,C(Cl)(Cl)(Cl)C
704,1.85,,C1C(OC6OC(C)C(OC7OC(C)C(OC8OC(C)C(O)C(O)C8)C(O)C7)C(O)C6)CC2CCC3C4(O)CCC(C5=CC(=O)OC5)C4(C)CCC3C2(C)C1
711,-2.82,,CCN(Br)(CC)(CC)CC
713,0.05,,c1cc(N)ccc1S(=O)(=O)Nc2nccs2
715,-2.26,,O=C(O)C(N)C(C)C
716,-2.94,,O=C(O)C(N)C(O)C
717,5.2,,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
720,5.08,,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl
723,6.02,,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
724,6.51,,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
728,4.51,,CNCCC=C2c1ccccc1CCc3ccccc23
733,-1.06,,O=C(O)C(N)CC(c(c(N1)ccc2)c2)=C1
734,-0.09,,n(c(c(ncn1)c1n2)N)c2
736,-1.7,,O=C(O)C(N)C(CC)C
737,-0.91,,N1C(N)=Nc2ncnc2C1(=O)
738,1.89,,NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F
743,2.65,,O=C(O)c(ccc(c1)Cl)c1
751,-4.2,,O=C(O)C(N)CCCNC(=N)N
752,1.09,,C
753,1.19,,BrC
754,1.81,,CC
755,1.13,,C=C
756,0.37,,C#C
757,0.91,,ClC
758,1.51,,CI
759,-0.57,,NC
760,-0.25,,N#C
763,1.7,,BrCBr
764,1.61,,BrCC
765,1.41,,BrCCl
766,2.36,,C(C)C
767,0.94,,C(#C)C
768,1.43,,ClCC
771,2.0,,C(C)I
772,-0.13,,NCC
773,-0.34,,N#CC
774,-0.34,,O=CC
776,1.25,,ClCCl
777,0.2,,FCF
778,2.3,,C(I)I
779,-1.51,,O=CN
781,1.94,,C(=S)=S
784,1.72,,C(C1)C1
786,-0.3,,O(C1)C1
790,2.4,,BrC(Br)Br
791,2.14,,BrC(C)C
792,2.0,,BrC(Cl)Cl
793,2.76,,C(C)(C)C
794,1.9,,C(Cl)(C)C
795,2.89,,C(C)(C)I
796,0.26,,NC(C)C
798,1.79,,C(Cl)(Cl)C
799,2.13,,C(=C)(Cl)Cl
801,0.75,,FC(F)C
802,1.24,,FC(F)=C
804,1.55,,FC(Cl)Cl
806,1.08,,FC(F)Cl
807,0.64,,FC(F)F
809,0.16,,N(C)(C)C
810,-0.35,,O=N(=O)C
813,0.03,,O(C1C)C1
820,1.86,,FC(F)(F)Br
821,0.4,,NC(C)(C)C
822,0.35,,OC(C)(C)C
825,2.53,,FC(Cl)(Cl)Cl
826,2.16,,FC(F)(Cl)Cl
827,1.65,,FC(F)(F)Cl
828,1.18,,FC(F)(F)F
829,2.97,,C[Pb](C)(C)C
831,3.24,,C[Si](C)(C)C
835,2.1,,OCC(Br)(Br)Br
838,3.82,,C(CC)(C)(C)C
839,1.31,,OCC(C)(C)C
840,0.89,,OC(CC)(C)C
842,0.99,,O=CC(Cl)(Cl)Cl
844,0.41,,FC(F)(F)CO
851,1.2,,O=C(C(C)(C)C)C
852,1.48,,O=C(O)C(C)(C)C
853,0.78,,O=C(O)C(Cl)(Cl)C
855,3.22,,C(C(Cl)Cl)(Cl)(Cl)Cl
